onset,offset,role
7,9,mel
15,17,mel
23,32,mel
31,40,mel
40,46,rhythm+harm
46,61,rhythm+harm
61,70,rhythm+harm
75,77,mel
83,86,mel
91,96,mel
99,124,mel
124,132,mel
132,138,mel+rhythm
138,146,rhythm+harm
146,166,rhythm
182,188,mel
188,190,rhythm+harm
198,202,mel
202,206,rhythm+harm
210,214,rhythm+harm
218,226,rhythm
226,238,rhythm+harm
238,258,rhythm+harm
258,262,rhythm
262,275,rhythm+harm
277,288,rhythm
293,298,mel+rhythm
298,320,mel
329,331,mel
338,340,mel
345,348,mel
353,356,mel
374,383,mel
394,410,rhythm
410,419,mel
430,434,rhythm+harm
434,446,mel
445,455,rhythm
455,463,rhythm+harm
470,504,rhythm
504,517,mel+rhythm
530,540,rhythm+harm
548,556,rhythm+harm
556,564,mel
564,572,rhythm
592,600,mel
632,644,rhythm
644,650,rhythm+harm
650,676,rhythm
676,710,rhythm
716,722,mel
722,724,rhythm+harm
724,736,mel
736,740,rhythm+harm
744,748,mel
752,772,rhythm+harm
772,796,rhythm+harm
796,800,rhythm
800,813,rhythm+harm
815,826,rhythm+harm
830,836,rhythm+harm
836,852,mel
852,904,rhythm+harm
904,910,mel
910,912,rhythm+harm
912,917,mel
920,924,mel
924,936,rhythm+harm
936,952,harm
952,987,mel
987,994,rhythm
994,996,rhythm+harm
996,1009,mel
1016,1024,mel+harm
1024,1060,mel
1060,1076,mel
1076,1094,mel
