onset,offset,role
28,32,harm
31,38,rhythm
40,46,rhythm+harm
46,54,rhythm+harm
61,66,rhythm+harm
94,100,harm
99,110,mel
110,124,rhythm
137,140,rhythm
142,146,rhythm+harm
146,150,harm
150,154,mel
154,175,harm
182,188,rhythm
188,190,rhythm+harm
190,202,rhythm
202,206,rhythm+harm
210,214,rhythm+harm
231,238,rhythm+harm
238,258,harm
258,262,rhythm
262,275,rhythm+harm
290,298,rhythm
298,316,mel
339,374,harm
394,410,harm
410,415,rhythm
445,455,rhythm
455,463,rhythm+harm
463,505,rhythm
557,592,harm
592,600,rhythm
600,623,harm
623,624,rhythm
624,632,harm
632,644,harm
644,654,rhythm+harm
654,674,rhythm
720,722,rhythm
722,724,rhythm
728,734,rhythm
744,748,rhythm+harm
750,761,harm
812,826,rhythm
836,852,rhythm
852,860,harm
866,904,harm
904,912,rhythm
916,921,rhythm
924,936,rhythm+harm
972,994,rhythm
994,996,rhythm+harm
1004,1008,rhythm
1024,1060,rhythm
1060,1076,rhythm+harm
1076,1094,rhythm
