onset,offset,role
27,32,harm
31,40,mel
40,46,rhythm+harm
46,61,mel
61,70,rhythm+harm
96,100,harm
99,124,mel
124,134,rhythm
134,140,mel
140,146,rhythm+harm
150,156,mel
185,188,mel
188,190,rhythm+harm
194,198,rhythm
198,202,mel
202,206,rhythm+harm
210,214,rhythm+harm
258,262,mel
262,275,rhythm+harm
280,286,mel+harm
290,294,mel+harm
294,298,rhythm+harm
298,316,mel
366,374,harm
374,383,mel
392,410,harm
410,418,mel
418,422,mel
430,434,rhythm+harm
469,498,rhythm
497,504,mel
532,540,rhythm
540,547,mel+harm
588,592,mel
592,600,mel
600,632,harm
632,636,mel
636,640,harm
640,644,mel
644,656,rhythm+harm
656,674,mel
706,716,mel+harm
718,722,mel
722,724,rhythm+harm
732,736,mel
736,740,rhythm+harm
740,744,harm
744,748,mel
796,800,rhythm
800,812,rhythm+harm
812,816,mel
818,820,mel+harm
822,824,mel+harm
826,828,mel+harm
826,832,mel+harm
832,836,rhythm
836,852,mel
852,904,harm
904,910,rhythm
910,912,rhythm+harm
916,924,mel+harm
924,937,rhythm+harm
988,992,harm
992,994,mel+harm
994,996,rhythm+harm
998,1006,mel
1006,1008,rhythm+harm
1008,1016,mel+harm
1026,1034,mel+harm
1035,1040,mel
1040,1052,mel
1052,1060,rhythm+harm
1060,1076,rhythm+harm
1076,1094,mel
