onset,offset,role
7,9,mel
15,17,mel
23,32,mel
31,40,mel
40,46,rhythm+harm
46,61,rhythm+harm
61,65,rhythm+harm
65,70,mel+rhythm
75,77,mel
83,86,mel
99,124,mel
124,126,rhythm
126,138,mel
138,144,rhythm+harm
144,146,rhythm
146,182,rhythm
182,188,mel
188,190,rhythm+harm
190,202,mel
202,206,rhythm+harm
210,214,rhythm+harm
214,218,harm
218,226,rhythm
226,238,mel+rhythm
238,258,rhythm+harm
258,262,rhythm
262,275,mel+rhythm
277,288,rhythm
293,298,mel+rhythm
298,320,mel
329,331,mel
338,340,mel
345,348,mel
353,356,mel
356,383,mel
393,409,mel
409,418,rhythm
414,419,mel
430,434,rhythm+harm
446,463,mel+rhythm
463,470,rhythm
470,504,rhythm
504,517,mel+rhythm
520,533,rhythm
546,548,mel
548,556,rhythm+harm
556,564,rhythm
564,572,mel
572,580,rhythm
580,592,mel
592,600,mel
600,602,rhythm+harm
602,608,mel
608,610,rhythm+harm
610,632,mel
632,636,rhythm
636,640,mel
640,644,rhythm
644,652,mel+rhythm+harm
652,658,mel+rhythm
658,672,mel
672,676,rhythm
676,696,rhythm
696,700,mel
700,716,rhythm
716,724,mel
724,740,mel
744,748,mel
752,761,rhythm
761,764,mel
764,772,mel+rhythm
772,796,rhythm+harm
796,800,rhythm
800,813,rhythm
815,826,rhythm+harm
830,836,mel+harm
836,852,mel
852,904,rhythm
904,910,mel
910,912,rhythm+harm
912,924,mel
924,936,rhythm+harm
936,952,harm
952,987,mel
987,994,rhythm
994,996,rhythm+harm
996,1006,mel
1006,1009,rhythm+harm
1016,1024,mel+harm
1024,1060,mel+rhythm
1060,1076,mel+rhythm
1076,1094,mel
