onset,offset,role
0,32,rhythm
31,40,mel
40,46,mel+rhythm+harm
46,61,rhythm+harm
61,67,rhythm+harm
67,100,rhythm
99,124,mel
124,134,rhythm
134,138,mel+rhythm
138,146,rhythm
146,182,rhythm
182,188,mel
188,190,rhythm+harm
190,202,mel
202,206,rhythm+harm
210,214,rhythm+harm
214,226,harm
226,238,mel+rhythm
238,258,mel
258,262,rhythm
262,275,mel+rhythm
277,288,rhythm
293,298,mel+rhythm
298,318,mel
318,376,rhythm
376,383,mel
394,414,rhythm
414,419,mel
430,434,rhythm+harm
434,462,mel+rhythm
462,472,mel
471,504,rhythm
504,516,mel+rhythm
516,520,rhythm
520,533,mel
546,548,rhythm
548,556,rhythm+harm
556,564,rhythm
564,592,mel
592,600,mel
600,602,rhythm+harm
602,608,mel
608,610,rhythm+harm
610,632,mel
632,636,rhythm
636,640,mel
640,644,rhythm
644,652,mel+rhythm+harm
652,672,mel
672,676,rhythm
676,716,rhythm
716,722,mel
722,724,rhythm+harm
724,736,mel
736,740,rhythm+harm
744,748,mel
752,760,rhythm+harm
760,764,mel
764,772,mel+rhythm
772,800,mel
800,813,mel+rhythm
815,822,mel
822,826,rhythm+harm
830,836,mel
836,852,mel
852,904,rhythm
904,912,mel
916,924,mel
924,936,mel
936,952,harm
952,987,mel
987,994,mel+rhythm
994,996,rhythm+harm
1000,1006,mel
1006,1009,rhythm+harm
1019,1024,mel+harm
1032,1060,mel+rhythm
1060,1076,mel+rhythm
1076,1094,mel
