onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
27.5,31.875,57,A3,4.375,0,14,2.5,clarinet2
31.875,32.0,74,D5,0.125,0,16,2.875,clarinet2
32.0,33.875,69,A4,1.875,0,17,1.0,clarinet2
33.875,34.0,65,F4,0.125,0,17,2.875,clarinet2
34.0,34.875,62,D4,0.875,0,18,1.0,clarinet2
34.875,35.0,57,A3,0.125,0,18,1.875,clarinet2
35.0,35.75,53,F3,0.75,0,18,2.0,clarinet2
35.75,35.875,69,A4,0.125,0,18,2.75,clarinet2
35.875,36.0,65,F4,0.125,0,18,2.875,clarinet2
36.0,37.25,62,D4,1.25,0,19,1.0,clarinet2
37.25,37.5,65,F4,0.25,0,19,2.25,clarinet2
37.5,37.75,64,E4,0.25,0,19,2.5,clarinet2
37.75,38.0,62,D4,0.25,0,19,2.75,clarinet2
38.0,38.5,69,A4,0.5,0,20,1.0,clarinet2
38.5,39.0,67,G4,0.5,0,20,1.5,clarinet2
39.0,39.5,64,E4,0.5,0,20,2.0,clarinet2
39.5,40.0,69,A4,0.5,0,20,2.5,clarinet2
40.0,40.75,62,D4,0.75,0,21,1.0,clarinet2
41.0,41.75,61,C#4,0.75,0,21,2.0,clarinet2
42.0,42.75,62,D4,0.75,0,22,1.0,clarinet2
44.0,44.75,58,B-3,0.75,0,23,1.0,clarinet2
45.0,45.75,66,F#4,0.75,0,23,2.0,clarinet2
46.0,50.5,67,G4,4.5,0,24,1.0,clarinet2
50.5,51.0,67,G4,0.5,0,26,1.5,clarinet2
51.0,51.5,67,G4,0.5,0,26,2.0,clarinet2
51.5,52.0,67,G4,0.5,0,26,2.5,clarinet2
52.0,52.5,67,G4,0.5,0,27,1.0,clarinet2
54.0,55.0,64,E4,1.0,0,28,1.0,clarinet2
55.0,55.875,61,C#4,0.875,0,28,2.0,clarinet2
55.875,56.0,62,D4,0.125,0,28,2.875,clarinet2
56.0,56.5,62,D4,0.5,0,29,1.0,clarinet2
58.0,59.0,65,F4,1.0,0,30,1.0,clarinet2
59.0,59.875,62,D4,0.875,0,30,2.0,clarinet2
59.875,60.0,64,E4,0.125,0,30,2.875,clarinet2
60.0,60.5,64,E4,0.5,0,31,1.0,clarinet2
61.0,63.0,70,B-4,2.0,0,31,2.0,clarinet2
63.0,65.0,74,D5,2.0,0,32,2.0,clarinet2
65.0,65.5,74,D5,0.5,0,33,2.0,clarinet2
66.0,68.0,69,A4,2.0,0,34,1.0,clarinet2
68.0,70.0,62,D4,2.0,0,35,1.0,clarinet2
70.0,99.875,62,D4,29.875,0,36,1.0,clarinet2
99.875,100.0,70,B-4,0.125,0,50,2.875,clarinet2
100.0,101.875,65,F4,1.875,0,51,1.0,clarinet2
101.875,102.0,62,D4,0.125,0,51,2.875,clarinet2
102.0,102.875,70,B-4,0.875,0,52,1.0,clarinet2
102.875,103.0,65,F4,0.125,0,52,1.875,clarinet2
103.0,103.75,62,D4,0.75,0,52,2.0,clarinet2
103.75,103.875,65,F4,0.125,0,52,2.75,clarinet2
103.875,104.0,62,D4,0.125,0,52,2.875,clarinet2
104.0,105.25,58,B-3,1.25,0,53,1.0,clarinet2
105.25,105.5,62,D4,0.25,0,53,2.25,clarinet2
105.5,105.75,60,C4,0.25,0,53,2.5,clarinet2
105.75,106.0,58,B-3,0.25,0,53,2.75,clarinet2
106.0,106.5,65,F4,0.5,0,54,1.0,clarinet2
106.5,107.0,63,E-4,0.5,0,54,1.5,clarinet2
107.0,107.5,60,C4,0.5,0,54,2.0,clarinet2
107.5,108.0,65,F4,0.5,0,54,2.5,clarinet2
108.0,108.5,62,D4,0.5,0,55,1.0,clarinet2
110.25,110.5,65,F4,0.25,0,56,1.25,clarinet2
110.5,110.75,63,E-4,0.25,0,56,1.5,clarinet2
110.75,111.0,62,D4,0.25,0,56,1.75,clarinet2
111.0,111.5,70,B-4,0.5,0,56,2.0,clarinet2
112.0,112.5,64,E4,0.5,0,57,1.0,clarinet2
114.25,114.5,67,G4,0.25,0,58,1.25,clarinet2
114.5,114.75,65,F4,0.25,0,58,1.5,clarinet2
114.75,115.0,64,E4,0.25,0,58,1.75,clarinet2
115.0,115.5,73,C#5,0.5,0,58,2.0,clarinet2
116.0,116.5,65,F4,0.5,0,59,1.0,clarinet2
118.25,118.5,69,A4,0.25,0,60,1.25,clarinet2
118.5,118.75,67,G4,0.25,0,60,1.5,clarinet2
118.75,119.0,65,F4,0.25,0,60,1.75,clarinet2
119.0,119.5,74,D5,0.5,0,60,2.0,clarinet2
120.25,120.5,69,A4,0.25,0,61,1.25,clarinet2
120.5,120.75,67,G4,0.25,0,61,1.5,clarinet2
120.75,121.0,66,F#4,0.25,0,61,1.75,clarinet2
121.0,121.25,74,D5,0.25,0,61,2.0,clarinet2
121.25,121.5,70,B-4,0.25,0,61,2.25,clarinet2
121.5,121.75,69,A4,0.25,0,61,2.5,clarinet2
121.75,122.0,67,G4,0.25,0,61,2.75,clarinet2
122.0,122.25,74,D5,0.25,0,62,1.0,clarinet2
122.25,122.5,58,B-3,0.25,0,62,1.25,clarinet2
122.5,122.75,57,A3,0.25,0,62,1.5,clarinet2
122.75,123.0,55,G3,0.25,0,62,1.75,clarinet2
123.0,123.25,56,G#3,0.25,0,62,2.0,clarinet2
123.25,123.5,65,F4,0.25,0,62,2.25,clarinet2
123.5,123.75,65,F4,0.25,0,62,2.5,clarinet2
123.75,124.0,65,F4,0.25,0,62,2.75,clarinet2
124.0,128.0,57,A3,4.0,0,63,1.0,clarinet2
128.0,128.5,61,C#4,0.5,0,65,1.0,clarinet2
128.5,129.0,62,D4,0.5,0,65,1.5,clarinet2
129.0,129.5,73,C#5,0.5,0,65,2.0,clarinet2
129.5,130.0,74,D5,0.5,0,65,2.5,clarinet2
130.0,130.75,76,E5,0.75,0,66,1.0,clarinet2
131.0,131.75,74,D5,0.75,0,66,2.0,clarinet2
132.0,132.75,73,C#5,0.75,0,67,1.0,clarinet2
134.0,136.0,69,A4,2.0,0,68,1.0,clarinet2
136.0,136.5,67,G4,0.5,0,69,1.0,clarinet2
136.5,137.0,65,F4,0.5,0,69,1.5,clarinet2
137.0,137.5,64,E4,0.5,0,69,2.0,clarinet2
137.5,138.0,62,D4,0.5,0,69,2.5,clarinet2
138.0,138.5,61,C#4,0.5,0,70,1.0,clarinet2
138.5,139.0,62,D4,0.5,0,70,1.5,clarinet2
139.0,139.5,64,E4,0.5,0,70,2.0,clarinet2
139.5,140.0,65,F4,0.5,0,70,2.5,clarinet2
140.0,140.75,67,G4,0.75,0,71,1.0,clarinet2
141.0,141.75,67,G4,0.75,0,71,2.0,clarinet2
142.0,142.75,72,C5,0.75,0,72,1.0,clarinet2
143.0,143.75,70,B-4,0.75,0,72,2.0,clarinet2
144.0,144.75,75,E-5,0.75,0,73,1.0,clarinet2
145.0,145.75,75,E-5,0.75,0,73,2.0,clarinet2
146.0,147.5,72,C5,1.5,0,74,1.0,clarinet2
147.5,147.75,74,D5,0.25,0,74,2.5,clarinet2
147.75,148.0,75,E-5,0.25,0,74,2.75,clarinet2
148.0,148.5,75,E-5,0.5,0,75,1.0,clarinet2
148.5,148.75,74,D5,0.25,0,75,1.5,clarinet2
148.75,149.0,72,C5,0.25,0,75,1.75,clarinet2
149.0,149.5,72,C5,0.5,0,75,2.0,clarinet2
149.5,149.75,70,B-4,0.25,0,75,2.5,clarinet2
149.75,150.0,69,A4,0.25,0,75,2.75,clarinet2
150.0,151.0,65,F4,1.0,0,76,1.0,clarinet2
154.0,155.5,72,C5,1.5,0,78,1.0,clarinet2
155.5,155.75,74,D5,0.25,0,78,2.5,clarinet2
155.75,156.0,75,E-5,0.25,0,78,2.75,clarinet2
156.0,156.5,75,E-5,0.5,0,79,1.0,clarinet2
156.5,156.75,74,D5,0.25,0,79,1.5,clarinet2
156.75,157.0,72,C5,0.25,0,79,1.75,clarinet2
157.0,157.5,72,C5,0.5,0,79,2.0,clarinet2
157.5,158.0,65,F4,0.5,0,79,2.5,clarinet2
158.0,159.0,65,F4,1.0,0,80,1.0,clarinet2
175.5,176.0,70,B-4,0.5,0,88,2.5,clarinet2
176.0,176.5,71,B4,0.5,0,89,1.0,clarinet2
176.5,177.0,72,C5,0.5,0,89,1.5,clarinet2
177.0,177.5,72,C5,0.5,0,89,2.0,clarinet2
177.5,178.0,72,C5,0.5,0,89,2.5,clarinet2
179.5,180.0,67,G4,0.5,0,90,2.5,clarinet2
180.0,180.5,68,G#4,0.5,0,91,1.0,clarinet2
180.5,181.0,69,A4,0.5,0,91,1.5,clarinet2
181.0,181.5,69,A4,0.5,0,91,2.0,clarinet2
181.5,182.0,69,A4,0.5,0,91,2.5,clarinet2
182.0,182.5,70,B-4,0.5,0,92,1.0,clarinet2
185.25,185.5,70,B-4,0.25,0,93,2.25,clarinet2
185.5,185.75,70,B-4,0.25,0,93,2.5,clarinet2
185.75,186.0,74,D5,0.25,0,93,2.75,clarinet2
186.0,186.25,67,G4,0.25,0,94,1.0,clarinet2
186.25,186.5,70,B-4,0.25,0,94,1.25,clarinet2
186.5,186.75,70,B-4,0.25,0,94,1.5,clarinet2
186.75,187.0,70,B-4,0.25,0,94,1.75,clarinet2
187.0,187.25,70,B-4,0.25,0,94,2.0,clarinet2
187.25,187.5,70,B-4,0.25,0,94,2.25,clarinet2
187.5,187.75,70,B-4,0.25,0,94,2.5,clarinet2
187.75,188.0,70,B-4,0.25,0,94,2.75,clarinet2
188.0,188.5,70,B-4,0.5,0,95,1.0,clarinet2
188.5,189.0,70,B-4,0.5,0,95,1.5,clarinet2
189.5,190.0,69,A4,0.5,0,95,2.5,clarinet2
190.0,191.5,70,B-4,1.5,0,96,1.0,clarinet2
191.5,192.0,69,A4,0.5,0,96,2.5,clarinet2
192.0,192.25,68,A-4,0.25,0,97,1.0,clarinet2
192.25,192.5,67,G4,0.25,0,97,1.25,clarinet2
192.5,192.75,65,F4,0.25,0,97,1.5,clarinet2
192.75,193.0,63,E-4,0.25,0,97,1.75,clarinet2
193.0,193.25,62,D4,0.25,0,97,2.0,clarinet2
193.25,193.5,60,C4,0.25,0,97,2.25,clarinet2
193.5,193.75,58,B-3,0.25,0,97,2.5,clarinet2
193.75,194.0,56,A-3,0.25,0,97,2.75,clarinet2
194.0,195.5,67,G4,1.5,0,98,1.0,clarinet2
195.5,196.0,66,F#4,0.5,0,98,2.5,clarinet2
196.0,196.25,65,F4,0.25,0,99,1.0,clarinet2
196.25,196.5,63,E-4,0.25,0,99,1.25,clarinet2
196.5,196.75,62,D4,0.25,0,99,1.5,clarinet2
196.75,197.0,60,C4,0.25,0,99,1.75,clarinet2
197.0,197.25,59,B3,0.25,0,99,2.0,clarinet2
197.25,197.5,56,A-3,0.25,0,99,2.25,clarinet2
197.5,197.75,55,G3,0.25,0,99,2.5,clarinet2
197.75,198.0,53,F3,0.25,0,99,2.75,clarinet2
198.0,198.25,51,E-3,0.25,0,100,1.0,clarinet2
198.25,198.5,53,F3,0.25,0,100,1.25,clarinet2
198.5,198.75,55,G3,0.25,0,100,1.5,clarinet2
198.75,199.0,57,A3,0.25,0,100,1.75,clarinet2
199.0,199.25,58,B-3,0.25,0,100,2.0,clarinet2
199.25,199.5,60,C4,0.25,0,100,2.25,clarinet2
199.5,199.75,62,D4,0.25,0,100,2.5,clarinet2
199.75,200.0,63,E-4,0.25,0,100,2.75,clarinet2
200.0,200.25,65,F4,0.25,0,101,1.0,clarinet2
200.25,200.5,67,G4,0.25,0,101,1.25,clarinet2
200.5,200.75,69,A4,0.25,0,101,1.5,clarinet2
200.75,201.0,70,B-4,0.25,0,101,1.75,clarinet2
201.0,201.25,72,C5,0.25,0,101,2.0,clarinet2
201.25,201.5,74,D5,0.25,0,101,2.25,clarinet2
201.5,201.75,75,E-5,0.25,0,101,2.5,clarinet2
201.75,202.0,77,F5,0.25,0,101,2.75,clarinet2
202.0,202.5,70,B-4,0.5,0,102,1.0,clarinet2
202.5,202.875,70,B-4,0.375,0,102,1.5,clarinet2
202.875,203.0,70,B-4,0.125,0,102,1.875,clarinet2
203.0,203.5,70,B-4,0.5,0,102,2.0,clarinet2
204.0,204.5,70,B-4,0.5,0,103,1.0,clarinet2
204.5,204.875,70,B-4,0.375,0,103,1.5,clarinet2
204.875,205.0,70,B-4,0.125,0,103,1.875,clarinet2
205.0,205.5,70,B-4,0.5,0,103,2.0,clarinet2
206.0,208.0,70,B-4,2.0,0,104,1.0,clarinet2
208.0,209.0,70,B-4,1.0,0,105,1.0,clarinet2
209.0,210.0,69,A4,1.0,0,105,2.0,clarinet2
210.0,210.5,70,B-4,0.5,0,106,1.0,clarinet2
210.5,210.875,70,B-4,0.375,0,106,1.5,clarinet2
210.875,211.0,70,B-4,0.125,0,106,1.875,clarinet2
211.0,211.5,70,B-4,0.5,0,106,2.0,clarinet2
212.0,212.5,70,B-4,0.5,0,107,1.0,clarinet2
212.5,212.875,70,B-4,0.375,0,107,1.5,clarinet2
212.875,213.0,70,B-4,0.125,0,107,1.875,clarinet2
213.0,213.5,70,B-4,0.5,0,107,2.0,clarinet2
229.0,229.5,58,B-3,0.5,0,115,2.0,clarinet2
230.0,230.5,57,A3,0.5,0,116,1.0,clarinet2
258.5,258.75,66,G-4,0.25,0,130,1.5,clarinet2
258.75,259.25,65,F4,0.5,0,130,1.75,clarinet2
259.25,259.75,65,F4,0.5,0,130,2.25,clarinet2
259.75,260.0,65,F4,0.25,0,130,2.75,clarinet2
260.5,260.75,66,G-4,0.25,0,131,1.5,clarinet2
260.75,261.25,65,F4,0.5,0,131,1.75,clarinet2
261.25,261.75,65,F4,0.5,0,131,2.25,clarinet2
261.75,262.5,65,F4,0.75,0,131,2.75,clarinet2
262.5,263.5,53,F3,1.0,0,132,1.5,clarinet2
263.5,264.5,65,F4,1.0,0,132,2.5,clarinet2
264.5,265.5,53,F3,1.0,0,133,1.5,clarinet2
265.5,266.5,70,B-4,1.0,0,133,2.5,clarinet2
266.5,267.5,58,B-3,1.0,0,134,1.5,clarinet2
267.5,268.5,70,B-4,1.0,0,134,2.5,clarinet2
268.5,269.5,58,B-3,1.0,0,135,1.5,clarinet2
269.5,270.5,70,B-4,1.0,0,135,2.5,clarinet2
270.5,271.5,67,G4,1.0,0,136,1.5,clarinet2
271.5,272.0,70,B-4,0.5,0,136,2.5,clarinet2
272.0,272.5,72,C5,0.5,0,137,1.0,clarinet2
272.5,273.5,53,F3,1.0,0,137,1.5,clarinet2
273.5,274.5,65,F4,1.0,0,137,2.5,clarinet2
274.5,275.0,65,F4,0.5,0,138,1.5,clarinet2
275.25,275.75,70,B-4,0.5,0,138,2.25,clarinet2
275.75,276.25,69,A4,0.5,0,138,2.75,clarinet2
276.25,276.75,67,G4,0.5,0,139,1.25,clarinet2
276.75,277.0,65,F4,0.25,0,139,1.75,clarinet2
277.0,277.25,63,E-4,0.25,0,139,2.0,clarinet2
277.25,277.5,62,D4,0.25,0,139,2.25,clarinet2
279.25,279.75,67,G4,0.5,0,140,2.25,clarinet2
279.75,280.0,67,G4,0.25,0,140,2.75,clarinet2
280.0,280.25,65,F4,0.25,0,141,1.0,clarinet2
280.25,280.75,63,E-4,0.5,0,141,1.25,clarinet2
280.75,281.0,63,E-4,0.25,0,141,1.75,clarinet2
281.0,281.25,65,F4,0.25,0,141,2.0,clarinet2
281.25,281.5,63,E-4,0.25,0,141,2.25,clarinet2
283.25,283.75,77,F5,0.5,0,142,2.25,clarinet2
283.75,284.0,75,E-5,0.25,0,142,2.75,clarinet2
284.0,284.25,74,D5,0.25,0,143,1.0,clarinet2
284.25,284.5,72,C5,0.25,0,143,1.25,clarinet2
284.5,284.75,70,B-4,0.25,0,143,1.5,clarinet2
284.75,285.0,68,A-4,0.25,0,143,1.75,clarinet2
285.0,285.25,67,G4,0.25,0,143,2.0,clarinet2
285.25,285.5,65,F4,0.25,0,143,2.25,clarinet2
288.25,288.75,67,G4,0.5,0,145,1.25,clarinet2
288.75,289.0,65,F4,0.25,0,145,1.75,clarinet2
289.0,289.25,63,E-4,0.25,0,145,2.0,clarinet2
289.25,289.5,62,D4,0.25,0,145,2.25,clarinet2
289.5,289.75,60,C4,0.25,0,145,2.5,clarinet2
289.75,290.0,58,B-3,0.25,0,145,2.75,clarinet2
290.0,290.5,57,A3,0.5,0,146,1.0,clarinet2
290.5,290.75,58,B-3,0.25,0,146,1.5,clarinet2
291.0,291.5,70,B-4,0.5,0,146,2.0,clarinet2
291.5,291.75,67,G4,0.25,0,146,2.5,clarinet2
292.0,292.5,67,G4,0.5,0,147,1.0,clarinet2
292.5,292.75,62,D4,0.25,0,147,1.5,clarinet2
293.0,293.5,62,D4,0.5,0,147,2.0,clarinet2
293.5,293.75,63,E-4,0.25,0,147,2.5,clarinet2
293.75,294.0,60,C4,0.25,0,147,2.75,clarinet2
294.25,294.5,63,E-4,0.25,0,148,1.25,clarinet2
294.5,294.75,74,D5,0.25,0,148,1.5,clarinet2
295.25,295.5,62,D4,0.25,0,148,2.25,clarinet2
295.5,295.75,72,C5,0.25,0,148,2.5,clarinet2
296.25,296.5,60,C4,0.25,0,149,1.25,clarinet2
296.5,296.75,70,B-4,0.25,0,149,1.5,clarinet2
297.0,297.5,67,G4,0.5,0,149,2.0,clarinet2
297.5,297.75,65,F4,0.25,0,149,2.5,clarinet2
297.75,298.0,57,A3,0.25,0,149,2.75,clarinet2
298.0,299.5,58,B-3,1.5,0,150,1.0,clarinet2
299.5,299.875,58,B-3,0.375,0,150,2.5,clarinet2
299.875,300.0,58,B-3,0.125,0,150,2.875,clarinet2
300.0,301.5,62,D4,1.5,0,151,1.0,clarinet2
301.5,301.875,62,D4,0.375,0,151,2.5,clarinet2
301.875,302.0,62,D4,0.125,0,151,2.875,clarinet2
302.0,303.5,65,F4,1.5,0,152,1.0,clarinet2
