onset,offset,role
7.0,9,mel
15.0,17,mel
23.0,32,mel
31.0,40,mel
40.0,46,rhythm+harm
46.0,61,rhythm+harm
61.0,65,rhythm+harm
65.0,70,mel+rhythm
75.0,77,mel
83.0,86,mel
91.0,124,mel
124.0,126,rhythm
126.0,138,mel
138.0,144,rhythm+harm
144.0,146,rhythm
146.0,182,rhythm
182.0,188,mel
188.0,190,rhythm+harm
190.0,202,mel
202.0,206,rhythm+harm
210.0,214,rhythm+harm
214.0,218,harm
218.0,226,rhythm
226.0,238,mel+rhythm
238.0,258,rhythm+harm
258.0,262,rhythm
262.0,275,mel+rhythm
277.0,288,rhythm
293.0,298,mel+rhythm
298.0,320,mel
329.0,331,mel
337.875,340,mel
345.0,348,mel
353.0,356,mel
356.0,383,mel
393.0,409,mel
409.0,418,rhythm
414.0,419,mel
430.0,434,rhythm+harm
446.0,463,mel+rhythm
463.0,470,rhythm
470.0,504,rhythm
504.0,517,mel+rhythm
520.0,533,rhythm
546.0,548,mel
548.0,556,rhythm+harm
556.0,564,rhythm
564.0,572,mel
572.0,580,rhythm
580.0,592,mel
592.0,600,mel
600.0,602,rhythm+harm
602.0,608,mel
608.0,610,rhythm+harm
610.0,632,mel
632.0,636,rhythm
636.0,640,mel
640.0,644,rhythm
644.0,652,mel+rhythm+harm
652.0,658,mel+rhythm
658.0,672,mel
672.0,676,rhythm
676.0,696,rhythm
696.0,700,mel
700.0,716,rhythm
716.0,724,mel
724.0,740,mel
744.0,748,mel
752.0,761,rhythm
761.0,764,mel
764.0,772,mel+rhythm
772.0,796,rhythm+harm
796.0,800,rhythm
800.0,813,rhythm
815.0,826,rhythm+harm
830.0,836,mel+harm
836.0,852,mel
852.0,904,rhythm
904.0,910,mel
910.0,912,rhythm+harm
912.0,924,mel
924.0,936,rhythm+harm
936.0,952,harm
952.0,987,mel
987.0,994,rhythm
994.0,996,rhythm+harm
996.0,1006,mel
1006.0,1009,rhythm+harm
1016.0,1024,mel+harm
1024.0,1060,mel+rhythm
1060.0,1076,mel+rhythm
1076.0,1094,mel
