onset,offset,role
7.0,9,mel
15.0,17,mel
23.0,32,mel
31.0,40,mel
40.0,46,rhythm+harm
46.0,61,rhythm+harm
61.0,70,rhythm+harm
75.0,77,mel
83.0,86,mel
91.0,96,mel
99.0,124,mel
124.0,132,mel
132.0,138,mel+rhythm
138.0,146,rhythm+harm
146.0,166,rhythm
182.0,188,mel
188.0,190,rhythm+harm
198.0,202,mel
202.0,206,rhythm+harm
210.0,214,rhythm+harm
218.0,226,rhythm
226.0,238,rhythm+harm
238.0,258,rhythm+harm
258.0,262,rhythm
262.0,275,rhythm+harm
277.0,288,rhythm
293.0,298,mel+rhythm
298.0,320,mel
329.0,331,mel
337.875,340,mel
345.0,348,mel
353.0,356,mel
356.0,374,rhythm
374.0,383,mel
394.0,410,rhythm
410.0,419,mel
430.0,434,rhythm+harm
434.0,446,mel
445.0,455,rhythm
455.0,463,rhythm+harm
470.0,504,rhythm
504.0,517,mel+rhythm
530.0,540,rhythm+harm
548.0,556,rhythm+harm
556.0,564,mel
564.0,572,rhythm
592.0,600,mel
600.0,632,rhythm
632.0,644,rhythm
644.0,650,rhythm+harm
650.0,676,rhythm
676.0,710,rhythm
716.0,722,mel
722.0,724,rhythm+harm
724.0,736,mel
736.0,740,rhythm+harm
744.0,748,mel
752.0,772,rhythm+harm
772.0,796,rhythm+harm
796.0,800,rhythm
800.0,813,rhythm+harm
815.0,826,rhythm+harm
830.0,836,rhythm+harm
836.0,852,mel
852.0,904,rhythm+harm
904.0,910,mel
910.0,912,rhythm+harm
912.0,917,mel
920.0,924,mel
924.0,936,rhythm+harm
936.0,952,harm
952.0,987,mel
987.0,994,rhythm
994.0,996,rhythm+harm
996.0,1009,mel
1016.0,1024,mel+harm
1024.0,1060,mel
1060.0,1076,mel
1076.0,1094,mel
