onset,offset,role
24,32,harm
31,40,mel
40,46,mel
46,61,mel
61,70,rhythm+harm
92,100,harm
99,124,mel
124,134,mel
134,140,mel
140,146,rhythm+harm
146,156,mel
160,184,mel
185,188,mel
188,190,rhythm+harm
190,198,rhythm
198,202,mel
202,206,mel
210,214,mel
214,226,mel
226,231,rhythm+harm
234,258,mel
258,262,rhythm
262,275,rhythm+harm
276,290,mel
290,294,mel+harm
294,298,rhythm+harm
298,320,mel
339,362,harm
361,383,mel
386,392,mel
394,410,harm
410,419,mel
430,434,rhythm+harm
433,446,rhythm
446,462,mel
462,470,mel+rhythm
470,504,mel
504,532,mel
532,540,mel+rhythm
540,549,mel
552,557,mel
563,565,mel+harm
565,572,rhythm
572,580,harm
580,584,mel
584,588,harm
588,592,mel
592,600,mel
600,632,harm
632,636,mel
636,640,harm
640,644,mel
644,656,rhythm+harm
656,676,mel
676,686,mel
690,694,mel
702,704,mel
708,716,mel
716,722,mel
722,724,rhythm+harm
732,738,mel
738,740,rhythm+harm
744,748,mel
748,760,mel
764,768,mel
772,796,rhythm
796,800,rhythm
800,812,mel+rhythm
812,832,mel
832,836,rhythm
836,853,mel
862,868,mel
878,904,mel
904,912,mel
912,924,mel
924,937,mel
946,957,mel
966,968,mel
974,976,mel
980,982,mel
984,986,mel
987,994,mel
994,996,rhythm+harm
1000,1006,mel
1006,1009,rhythm+harm
1020,1024,mel
1040,1052,mel
1052,1060,rhythm+harm
1060,1076,rhythm+harm
1076,1094,mel
