phrase onset,phrase offset,section,theme
0,15,I_exposition,intro
15,168,I_exposition,1st
168,228,I_exposition,1st
228,276,I_exposition,1st
276,324,I_exposition,2nd
324,429,I_exposition,2nd
429,450,I_exposition,transition
450,594,I_exposition,1st
594,654,I_exposition,1st
654,702,I_exposition,transition
702,750,I_exposition,2nd
750,855,I_exposition,2nd
855,900,I_exposition,transition
900,954,I_exposition,coda
954,1008,I_development,1st
1008,1098,I_development,1st
1098,1167,I_development,1st
1167,1227,I_development,1st
1227,1311,I_development,1st
1311,1413,I_development,1st
1413,1461,I_development,2nd
1461,1566,I_development,2nd
1566,1623,I_development,transition
1623,1677,I_development,coda
1677,1731,I_development,1st
1731,1821,I_development,1st
1821,1890,I_development,1st
1890,1950,I_development,1st
1950,2034,I_development,1st
2034,2136,I_development,1st
2136,2184,I_development,2nd
2184,2289,I_development,2nd
2289,2334,I_development,transition
2334,2358,I_development,coda
2358,2390,I_recapitulation,transition
2390,2430,II,3rd
2430,2456,II,3rd
2456,2488,II,3rd
2488,2582,II,4th
2582,2666,II,4th
2666,2730,II,5th
2730,2762,II,5th
2762,2796,II,3rd
2796,2860,II,3rd
2860,2942,II,4th
2942,3070,II,5th
3070,3134,II,5th
3134,3166,II,5th
3166,3190,III_exposition,intro
3190,3334,III_exposition,1st
3334,3394,III_exposition,1st
3394,3442,III_exposition,transition
3442,3466,III_exposition,2nd
3466,3595,III_exposition,2nd
3595,3616,III_exposition,transition
3616,3760,III_exposition,1st
3760,3820,III_exposition,1st
3820,3868,III_exposition,transition
3868,3916,III_exposition,2nd
3916,4021,III_exposition,2nd
4021,4066,III_exposition,transition
4066,4120,III_exposition,coda
4120,4174,III_development,1st
4174,4264,III_development,1st
4264,4333,III_development,1st
4333,4393,III_development,1st
4393,4477,III_development,1st
4477,4579,III_development,1st
4579,4627,III_development,2nd
4627,4732,III_development,2nd
4732,4753,III_development,transition
4753,4777,III_development,coda
4777,4801,III_development,coda
4801,4833,III_recapitulation,transition
4833,4874,III_recapitulation,coda
