onset,offset,role
12,15,mel+rhythm
168,228,rhythm
330,336,rhythm
594,654,rhythm
756,762,rhythm
1008,1053,mel+rhythm
1191,1194,mel+rhythm
1203,1206,mel+rhythm
1215,1142,rhythm
1242,1275,rhythm
1293,1312,rhythm
1402,1413,rhythm
1413,1468,rhythm
1479,1485,rhythm
1515,1551,rhythm
1569,1573,rhythm
1587,1597,rhythm
1731,1776,mel+rhythm
1914,1917,mel+rhythm
1926,1929,mel+rhythm
1938,1865,rhythm
1965,1998,rhythm
2016,2035,rhythm
2125,2136,rhythm
2136,2191,rhythm
2202,2208,rhythm
2238,2274,rhythm
2292,2296,rhythm
2316,2320,rhythm
2358,2382,rhythm
3178,3181,mel+rhythm
3334,3394,rhythm
3496,3502,rhythm
3760,3820,rhythm
3922,3928,rhythm
4170,4215,mel+rhythm
4353,4356,mel+rhythm
4365,4368,mel+rhythm
4377,4304,rhythm
4404,4437,rhythm
4455,4474,rhythm
4564,4575,rhythm
4575,4630,rhythm
4641,4647,rhythm
4677,4713,rhythm
4731,4735,rhythm
4755,4759,rhythm
4797,4821,rhythm
