onset,offset,role
15,18,mel
117,168,rhythm
168,229,rhythm
324,342,rhythm
390,414,rhythm
543,594,rhythm
594,655,rhythm
750,768,rhythm
816,840,rhythm
936,939,rhythm
1065,1068,rhythm
1167,1170,mel+rhythm
1197,1200,mel+rhythm
1209,1212,mel+rhythm
1215,1142,rhythm
1242,1275,rhythm
1278,1287,rhythm
1413,1468,rhythm
1472,1486,rhythm
1515,1551,rhythm
1659,1662,rhythm
1788,1791,rhythm
1890,1893,mel+rhythm
1920,1923,mel+rhythm
1932,1935,mel+rhythm
1938,1865,rhythm
1965,1998,rhythm
2001,2010,rhythm
2136,2191,rhythm
2195,2209,rhythm
2238,2274,rhythm
2328,2334,rhythm
2358,2382,rhythm
2382,2391,rhythm
2666,2667,rhythm
2700,2731,rhythm
2942,2943,rhythm
2976,3006,rhythm
3052,3071,rhythm+harm
3096,3102,harm
3102,3139,harm
3181,3184,mel
3283,3334,rhythm
3334,3395,rhythm
3490,3508,rhythm
3556,3580,rhythm
3709,3760,rhythm
3760,3821,rhythm
3916,3934,rhythm
3982,4006,rhythm
4098,4101,rhythm
4227,4230,rhythm
4329,4332,mel+rhythm
4359,4362,mel+rhythm
4371,4374,mel+rhythm
4377,4304,rhythm
4404,4437,rhythm
4440,4449,rhythm
4575,4630,rhythm
4634,4648,rhythm
4677,4713,rhythm
4767,4773,rhythm
4797,4821,rhythm
4821,4830,rhythm
4861,4870,mel+rhythm
