onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.5,50,D3,1.5,0,1,1.0,doublebass
1.5,2.0,38,D2,0.5,0,1,2.5,doublebass
2.0,3.0,38,D2,1.0,0,1,3.0,doublebass
6.0,7.5,45,A2,1.5,0,3,1.0,doublebass
7.5,8.0,33,A1,0.5,0,3,2.5,doublebass
8.0,9.0,33,A1,1.0,0,3,3.0,doublebass
15.0,16.5,38,D2,1.5,0,6,1.0,doublebass
16.5,17.0,26,D1,0.5,0,6,2.5,doublebass
17.0,18.0,26,D1,1.0,0,6,3.0,doublebass
72.0,73.5,45,A2,1.5,0,25,1.0,doublebass
73.5,74.0,33,A1,0.5,0,25,2.5,doublebass
74.0,75.0,33,A1,1.0,0,25,3.0,doublebass
75.0,76.0,38,D2,1.0,0,26,1.0,doublebass
76.0,77.0,40,E2,1.0,0,26,2.0,doublebass
77.0,78.0,41,F2,1.0,0,26,3.0,doublebass
78.0,79.0,40,E2,1.0,0,27,1.0,doublebass
79.0,80.0,41,F2,1.0,0,27,2.0,doublebass
80.0,81.0,43,G2,1.0,0,27,3.0,doublebass
81.0,82.0,41,F2,1.0,0,28,1.0,doublebass
82.0,83.0,40,E2,1.0,0,28,2.0,doublebass
83.0,84.0,38,D2,1.0,0,28,3.0,doublebass
84.0,85.0,41,F2,1.0,0,29,1.0,doublebass
85.0,86.0,40,E2,1.0,0,29,2.0,doublebass
86.0,87.0,38,D2,1.0,0,29,3.0,doublebass
87.0,88.0,36,C2,1.0,0,30,1.0,doublebass
88.0,89.0,35,B1,1.0,0,30,2.0,doublebass
89.0,90.0,33,A1,1.0,0,30,3.0,doublebass
90.0,91.0,32,G#1,1.0,0,31,1.0,doublebass
91.0,92.0,33,A1,1.0,0,31,2.0,doublebass
92.0,93.0,35,B1,1.0,0,31,3.0,doublebass
93.0,94.0,33,A1,1.0,0,32,1.0,doublebass
94.0,95.0,32,G#1,1.0,0,32,2.0,doublebass
95.0,96.0,33,A1,1.0,0,32,3.0,doublebass
96.0,97.0,33,A1,1.0,0,33,1.0,doublebass
97.0,98.0,33,A1,1.0,0,33,2.0,doublebass
98.0,99.0,33,A1,1.0,0,33,3.0,doublebass
99.0,100.0,33,A1,1.0,0,34,1.0,doublebass
100.0,101.0,33,A1,1.0,0,34,2.0,doublebass
101.0,102.0,33,A1,1.0,0,34,3.0,doublebass
102.0,103.0,33,A1,1.0,0,35,1.0,doublebass
103.0,104.0,33,A1,1.0,0,35,2.0,doublebass
104.0,105.0,33,A1,1.0,0,35,3.0,doublebass
105.0,106.0,33,A1,1.0,0,36,1.0,doublebass
106.0,107.0,33,A1,1.0,0,36,2.0,doublebass
107.0,108.0,33,A1,1.0,0,36,3.0,doublebass
108.0,109.0,33,A1,1.0,0,37,1.0,doublebass
109.0,110.0,33,A1,1.0,0,37,2.0,doublebass
110.0,111.0,33,A1,1.0,0,37,3.0,doublebass
111.0,112.0,33,A1,1.0,0,38,1.0,doublebass
