onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.5,62,D4,1.5,0,1,1.0,violoncello
1.5,2.0,50,D3,0.5,0,1,2.5,violoncello
2.0,3.0,50,D3,1.0,0,1,3.0,violoncello
6.0,7.5,57,A3,1.5,0,3,1.0,violoncello
7.5,8.0,45,A2,0.5,0,3,2.5,violoncello
8.0,9.0,45,A2,1.0,0,3,3.0,violoncello
15.0,16.5,50,D3,1.5,0,6,1.0,violoncello
16.5,17.0,38,D2,0.5,0,6,2.5,violoncello
17.0,18.0,38,D2,1.0,0,6,3.0,violoncello
48.0,49.5,69,A4,1.5,0,17,1.0,violoncello
49.5,50.0,57,A3,0.5,0,17,2.5,violoncello
50.0,51.0,57,A3,1.0,0,17,3.0,violoncello
51.0,52.0,62,D4,1.0,0,18,1.0,violoncello
52.0,53.0,64,E4,1.0,0,18,2.0,violoncello
53.0,54.0,65,F4,1.0,0,18,3.0,violoncello
54.0,55.0,64,E4,1.0,0,19,1.0,violoncello
55.0,56.0,65,F4,1.0,0,19,2.0,violoncello
56.0,57.0,67,G4,1.0,0,19,3.0,violoncello
57.0,58.0,65,F4,1.0,0,20,1.0,violoncello
58.0,59.0,64,E4,1.0,0,20,2.0,violoncello
59.0,60.0,62,D4,1.0,0,20,3.0,violoncello
60.0,61.0,65,F4,1.0,0,21,1.0,violoncello
61.0,62.0,64,E4,1.0,0,21,2.0,violoncello
62.0,63.0,62,D4,1.0,0,21,3.0,violoncello
63.0,64.0,60,C4,1.0,0,22,1.0,violoncello
64.0,65.0,59,B3,1.0,0,22,2.0,violoncello
65.0,66.0,57,A3,1.0,0,22,3.0,violoncello
66.0,67.0,56,G#3,1.0,0,23,1.0,violoncello
67.0,68.0,57,A3,1.0,0,23,2.0,violoncello
68.0,69.0,59,B3,1.0,0,23,3.0,violoncello
69.0,70.0,57,A3,1.0,0,24,1.0,violoncello
70.0,71.0,56,G#3,1.0,0,24,2.0,violoncello
71.0,72.0,57,A3,1.0,0,24,3.0,violoncello
72.0,73.0,55,G3,1.0,0,25,1.0,violoncello
73.0,74.0,53,F3,1.0,0,25,2.0,violoncello
74.0,75.0,52,E3,1.0,0,25,3.0,violoncello
75.0,76.0,50,D3,1.0,0,26,1.0,violoncello
76.0,77.0,57,A3,1.0,0,26,2.0,violoncello
77.0,78.0,57,A3,1.0,0,26,3.0,violoncello
78.0,79.0,57,A3,1.0,0,27,1.0,violoncello
79.0,80.0,57,A3,1.0,0,27,2.0,violoncello
80.0,81.0,57,A3,1.0,0,27,3.0,violoncello
81.0,82.0,57,A3,1.0,0,28,1.0,violoncello
82.0,83.0,69,A4,1.0,0,28,2.0,violoncello
83.0,84.0,69,A4,1.0,0,28,3.0,violoncello
84.0,85.0,69,A4,1.0,0,29,1.0,violoncello
85.0,86.0,69,A4,1.0,0,29,2.0,violoncello
86.0,87.0,69,A4,1.0,0,29,3.0,violoncello
87.0,88.0,69,A4,1.0,0,30,1.0,violoncello
88.0,89.0,64,E4,1.0,0,30,2.0,violoncello
89.0,90.0,64,E4,1.0,0,30,3.0,violoncello
90.0,91.0,62,D4,1.0,0,31,1.0,violoncello
91.0,92.0,60,C4,1.0,0,31,2.0,violoncello
92.0,93.0,59,B3,1.0,0,31,3.0,violoncello
93.0,94.0,60,C4,1.0,0,32,1.0,violoncello
94.0,95.0,62,D4,1.0,0,32,2.0,violoncello
95.0,96.0,60,C4,1.0,0,32,3.0,violoncello
96.0,97.0,58,B-3,1.0,0,33,1.0,violoncello
97.0,98.0,57,A3,1.0,0,33,2.0,violoncello
98.0,99.0,55,G3,1.0,0,33,3.0,violoncello
99.0,100.0,53,F3,1.0,0,34,1.0,violoncello
100.0,101.0,52,E3,1.0,0,34,2.0,violoncello
101.0,102.0,50,D3,1.0,0,34,3.0,violoncello
102.0,103.0,49,C#3,1.0,0,35,1.0,violoncello
103.0,104.0,50,D3,1.0,0,35,2.0,violoncello
104.0,105.0,52,E3,1.0,0,35,3.0,violoncello
105.0,106.0,50,D3,1.0,0,36,1.0,violoncello
106.0,107.0,49,C#3,1.0,0,36,2.0,violoncello
107.0,108.0,50,D3,1.0,0,36,3.0,violoncello
108.0,109.0,47,B2,1.0,0,37,1.0,violoncello
109.0,110.0,48,C3,1.0,0,37,2.0,violoncello
110.0,111.0,53,F3,1.0,0,37,3.0,violoncello
111.0,112.0,52,E3,1.0,0,38,1.0,violoncello
112.0,113.0,53,F3,1.0,0,38,2.0,violoncello
113.0,114.0,52,E3,1.0,0,38,3.0,violoncello
114.0,115.0,50,D3,1.0,0,39,1.0,violoncello
115.0,116.0,52,E3,1.0,0,39,2.0,violoncello
116.0,117.0,53,F3,1.0,0,39,3.0,violoncello
117.0,118.0,52,E3,1.0,0,40,1.0,violoncello
118.0,119.0,53,F3,1.0,0,40,2.0,violoncello
119.0,120.0,52,E3,1.0,0,40,3.0,violoncello
120.0,121.0,55,G3,1.0,0,41,1.0,violoncello
121.0,122.0,53,F3,1.0,0,41,2.0,violoncello
122.0,123.0,52,E3,1.0,0,41,3.0,violoncello
123.0,124.0,50,D3,1.0,0,42,1.0,violoncello
124.0,125.0,52,E3,1.0,0,42,2.0,violoncello
125.0,126.0,53,F3,1.0,0,42,3.0,violoncello
126.0,127.0,52,E3,1.0,0,43,1.0,violoncello
127.0,128.0,53,F3,1.0,0,43,2.0,violoncello
128.0,129.0,55,G3,1.0,0,43,3.0,violoncello
129.0,130.0,57,A3,1.0,0,44,1.0,violoncello
130.0,131.0,55,G3,1.0,0,44,2.0,violoncello
131.0,132.0,53,F3,1.0,0,44,3.0,violoncello
132.0,133.0,55,G3,1.0,0,45,1.0,violoncello
133.0,134.0,53,F3,1.0,0,45,2.0,violoncello
134.0,135.0,52,E3,1.0,0,45,3.0,violoncello
135.0,136.0,53,F3,1.0,0,46,1.0,violoncello
136.0,137.0,55,G3,1.0,0,46,2.0,violoncello
137.0,138.0,53,F3,1.0,0,46,3.0,violoncello
138.0,139.0,55,G3,1.0,0,47,1.0,violoncello
139.0,140.0,53,F3,1.0,0,47,2.0,violoncello
140.0,141.0,52,E3,1.0,0,47,3.0,violoncello
141.0,142.0,53,F3,1.0,0,48,1.0,violoncello
142.0,143.0,55,G3,1.0,0,48,2.0,violoncello
143.0,144.0,53,F3,1.0,0,48,3.0,violoncello
144.0,145.0,55,G3,1.0,0,49,1.0,violoncello
145.0,146.0,53,F3,1.0,0,49,2.0,violoncello
146.0,147.0,52,E3,1.0,0,49,3.0,violoncello
147.0,148.0,53,F3,1.0,0,50,1.0,violoncello
148.0,149.0,55,G3,1.0,0,50,2.0,violoncello
149.0,150.0,53,F3,1.0,0,50,3.0,violoncello
150.0,151.0,52,E3,1.0,0,51,1.0,violoncello
151.0,152.0,50,D3,1.0,0,51,2.0,violoncello
152.0,153.0,49,C#3,1.0,0,51,3.0,violoncello
153.0,154.0,50,D3,1.0,0,52,1.0,violoncello
154.0,155.0,52,E3,1.0,0,52,2.0,violoncello
155.0,156.0,50,D3,1.0,0,52,3.0,violoncello
156.0,157.0,52,E3,1.0,0,53,1.0,violoncello
157.0,158.0,50,D3,1.0,0,53,2.0,violoncello
158.0,159.0,49,C#3,1.0,0,53,3.0,violoncello
159.0,160.0,50,D3,1.0,0,54,1.0,violoncello
160.0,161.0,52,E3,1.0,0,54,2.0,violoncello
161.0,162.0,50,D3,1.0,0,54,3.0,violoncello
162.0,163.0,52,E3,1.0,0,55,1.0,violoncello
163.0,164.0,50,D3,1.0,0,55,2.0,violoncello
164.0,165.0,49,C#3,1.0,0,55,3.0,violoncello
165.0,166.0,61,C#4,1.0,0,56,1.0,violoncello
166.0,167.0,62,D4,1.0,0,56,2.0,violoncello
167.0,168.0,64,E4,1.0,0,56,3.0,violoncello
168.0,169.0,50,D3,1.0,0,57,1.0,violoncello
171.0,172.0,62,D4,1.0,0,58,1.0,violoncello
174.0,175.0,57,A3,1.0,0,59,1.0,violoncello
177.0,178.0,50,D3,1.0,0,60,1.0,violoncello
180.0,181.0,55,G3,1.0,0,61,1.0,violoncello
183.0,184.0,57,A3,1.0,0,62,1.0,violoncello
186.0,187.0,45,A2,1.0,0,63,1.0,violoncello
189.0,190.0,50,D3,1.0,0,64,1.0,violoncello
