onset,offset,role
2,12,mel
23,29,mel
43,48,mel
55,60,mel
71,80,mel
80,96,mel+harm
95,98,harm
104,107,harm
117,143,harm
143,150,mel
150,165,harm
165,166,mel
166,168,mel
169,186,harm
185,189,mel
189,197,harm
197,202,mel
202,213,mel+harm
213,222,mel
222,233,mel
233,238,harm
238,239,harm
286,292,mel
292,324,mel+harm
324,345,harm
347,378,harm
378,382,mel+harm
381,409,harm
408,413,mel+harm
413,428,harm
427,434,mel
435,449,harm
449,468,mel
468,476,mel
476,488,harm
487,492,mel
493,498,harm
509,548,harm
547,552,mel
553,566,harm
566,575,harm
573,584,mel+harm
584,597,mel
602,608,mel
608,668,harm
671,672,harm
673,695,mel
695,703,harm
702,710,mel
