onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
1.5,2.0,67,G4,0.5,0,1,2.5,bassoon1
2.0,5.0,65,F4,3.0,0,1,3.0,bassoon1
5.0,7.5,63,E-4,2.5,0,2,2.0,bassoon1
7.5,8.0,62,D4,0.5,0,2,4.5,bassoon1
8.0,9.0,62,D4,1.0,0,3,1.0,bassoon1
23.5,24.0,57,A3,0.5,0,6,4.5,bassoon1
24.0,25.0,58,B-3,1.0,0,7,1.0,bassoon1
25.0,25.5,62,D4,0.5,0,7,2.0,bassoon1
25.5,26.0,60,C4,0.5,0,7,2.5,bassoon1
26.0,26.5,58,B-3,0.5,0,7,3.0,bassoon1
26.5,27.0,57,A3,0.5,0,7,3.5,bassoon1
27.0,27.5,67,G4,0.5,0,7,4.0,bassoon1
27.5,28.0,65,F4,0.5,0,7,4.5,bassoon1
28.0,29.0,65,F4,1.0,0,8,1.0,bassoon1
43.0,44.0,57,A3,1.0,0,11,4.0,bassoon1
44.0,45.5,57,A3,1.5,0,12,1.0,bassoon1
45.5,46.0,58,B-3,0.5,0,12,2.5,bassoon1
46.0,47.0,58,B-3,1.0,0,12,3.0,bassoon1
55.0,56.0,58,B-3,1.0,0,14,4.0,bassoon1
56.0,57.0,55,G3,1.0,0,15,1.0,bassoon1
57.0,58.5,57,A3,1.5,0,15,2.0,bassoon1
58.5,59.0,58,B-3,0.5,0,15,3.5,bassoon1
71.0,71.5,63,E-4,0.5,0,18,4.0,bassoon1
71.5,72.0,60,C4,0.5,0,18,4.5,bassoon1
72.0,73.5,60,C4,1.5,0,19,1.0,bassoon1
73.5,74.0,62,D4,0.5,0,19,2.5,bassoon1
74.0,75.0,58,B-3,1.0,0,19,3.0,bassoon1
75.0,75.5,62,D4,0.5,0,19,4.0,bassoon1
75.5,76.0,63,E-4,0.5,0,19,4.5,bassoon1
76.0,77.5,63,E-4,1.5,0,20,1.0,bassoon1
77.5,78.0,65,F4,0.5,0,20,2.5,bassoon1
78.0,78.5,63,E-4,0.5,0,20,3.0,bassoon1
78.5,79.0,55,G3,0.5,0,20,3.5,bassoon1
79.0,79.5,63,E-4,0.5,0,20,4.0,bassoon1
79.5,80.0,55,G3,0.5,0,20,4.5,bassoon1
80.0,80.5,55,G3,0.5,0,21,1.0,bassoon1
80.5,81.0,55,G3,0.5,0,21,1.5,bassoon1
81.0,81.5,55,G3,0.5,0,21,2.0,bassoon1
81.5,82.0,55,G3,0.5,0,21,2.5,bassoon1
82.0,82.5,55,G3,0.5,0,21,3.0,bassoon1
82.5,83.0,55,G3,0.5,0,21,3.5,bassoon1
83.0,83.5,55,G3,0.5,0,21,4.0,bassoon1
83.5,84.0,55,G3,0.5,0,21,4.5,bassoon1
84.0,84.5,55,G3,0.5,0,22,1.0,bassoon1
84.5,85.0,53,F3,0.5,0,22,1.5,bassoon1
85.0,85.5,53,F3,0.5,0,22,2.0,bassoon1
85.5,86.0,53,F3,0.5,0,22,2.5,bassoon1
86.0,86.5,41,F2,0.5,0,22,3.0,bassoon1
86.5,87.5,53,F3,1.0,0,22,3.5,bassoon1
87.5,88.0,57,A3,0.5,0,22,4.5,bassoon1
88.0,91.0,57,A3,3.0,0,23,1.0,bassoon1
91.0,97.0,57,A3,6.0,0,23,4.0,bassoon1
101.5,103.0,62,D4,1.5,0,26,3.5,bassoon1
103.0,103.5,61,C#4,0.5,0,27,2.0,bassoon1
107.5,108.5,66,F#4,1.0,0,28,3.5,bassoon1
108.5,109.5,64,E4,1.0,0,29,1.5,bassoon1
110.5,111.5,67,G4,1.0,0,29,3.5,bassoon1
111.5,112.5,66,F#4,1.0,0,30,1.5,bassoon1
112.5,113.25,54,F#3,0.75,0,30,2.5,bassoon1
113.25,113.5,55,G3,0.25,0,30,3.25,bassoon1
113.5,113.75,57,A3,0.25,0,30,3.5,bassoon1
113.75,114.0,54,F#3,0.25,0,30,3.75,bassoon1
114.0,114.5,57,A3,0.5,0,31,1.0,bassoon1
114.5,115.5,55,G3,1.0,0,31,1.5,bassoon1
115.5,115.75,59,B3,0.25,0,31,2.5,bassoon1
115.75,116.0,67,G4,0.25,0,31,2.75,bassoon1
116.0,116.25,66,F#4,0.25,0,31,3.0,bassoon1
