onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
73.0,73.5,53,F3,0.5,0,19,2.0,timpani
73.5,74.0,46,B-2,0.5,0,19,2.5,timpani
74.0,75.0,46,B-2,1.0,0,19,3.0,timpani
77.0,77.5,53,F3,0.5,0,20,2.0,timpani
77.5,78.0,46,B-2,0.5,0,20,2.5,timpani
78.0,79.0,46,B-2,1.0,0,20,3.0,timpani
215.0,215.5,53,F3,0.5,0,59,2.0,timpani
215.5,216.0,46,B-2,0.5,0,59,2.5,timpani
216.0,217.0,46,B-2,1.0,0,59,3.0,timpani
219.0,219.5,53,F3,0.5,0,60,2.0,timpani
219.5,220.0,46,B-2,0.5,0,60,2.5,timpani
220.0,221.0,46,B-2,1.0,0,60,3.0,timpani
357.5,358.5,53,F3,1.0,0,99,2.0,timpani
360.5,361.5,53,F3,1.0,0,99,4.0,timpani
363.5,364.5,53,F3,1.0,0,100,2.0,timpani
366.5,367.5,53,F3,1.0,0,100,4.0,timpani
368.0,369.0,46,B-2,1.0,0,101,1.0,timpani
369.5,370.5,53,F3,1.0,0,101,2.0,timpani
371.0,372.0,46,B-2,1.0,0,101,3.0,timpani
372.5,373.5,46,B-2,1.0,0,101,4.0,timpani
375.5,376.5,53,F3,1.0,0,102,2.0,timpani
378.5,379.5,53,F3,1.0,0,102,4.0,timpani
381.5,382.5,53,F3,1.0,0,103,2.0,timpani
384.5,385.5,53,F3,1.0,0,103,4.0,timpani
387.5,388.5,53,F3,1.0,0,104,2.0,timpani
390.5,391.5,53,F3,1.0,0,104,4.0,timpani
393.5,394.5,53,F3,1.0,0,105,2.0,timpani
395.0,396.0,46,B-2,1.0,0,105,3.0,timpani
396.5,397.5,46,B-2,1.0,0,105,4.0,timpani
398.0,399.0,46,B-2,1.0,0,106,1.0,timpani
399.5,400.5,46,B-2,1.0,0,106,2.0,timpani
401.0,402.0,53,F3,1.0,0,106,3.0,timpani
402.5,403.5,53,F3,1.0,0,106,4.0,timpani
405.5,406.5,53,F3,1.0,0,107,2.0,timpani
407.0,408.0,46,B-2,1.0,0,107,3.0,timpani
408.0,408.5,53,F3,0.5,0,107,11/3,timpani
408.5,409.5,53,F3,1.0,0,107,4.0,timpani
411.5,412.5,53,F3,1.0,0,108,2.0,timpani
413.0,414.0,46,B-2,1.0,0,108,3.0,timpani
414.0,414.5,46,B-2,0.5,0,108,11/3,timpani
414.5,415.5,46,B-2,1.0,0,108,4.0,timpani
417.5,418.5,53,F3,1.0,0,109,2.0,timpani
420.5,421.5,53,F3,1.0,0,109,4.0,timpani
423.5,424.5,53,F3,1.0,0,110,2.0,timpani
426.5,427.5,46,B-2,1.0,0,110,4.0,timpani
429.5,430.5,53,F3,1.0,0,111,2.0,timpani
431.0,432.0,53,F3,1.0,0,111,3.0,timpani
432.0,432.5,46,B-2,0.5,0,111,11/3,timpani
432.5,433.0,46,B-2,0.5,0,111,4.0,timpani
433.0,433.5,46,B-2,0.5,0,111,13/3,timpani
433.5,434.0,46,B-2,0.5,0,111,14/3,timpani
434.0,435.0,46,B-2,1.0,0,112,1.0,timpani
435.5,436.5,46,B-2,1.0,0,112,2.0,timpani
438.5,439.5,46,B-2,1.0,0,112,4.0,timpani
441.5,442.5,53,F3,1.0,0,113,2.0,timpani
444.5,445.5,53,F3,1.0,0,113,4.0,timpani
447.5,448.0,53,F3,0.5,0,114,2.0,timpani
448.5,449.0,46,B-2,0.5,0,114,8/3,timpani
449.0,450.0,46,B-2,1.0,0,114,3.0,timpani
453.5,454.5,53,F3,1.0,0,115,2.0,timpani
454.5,455.0,46,B-2,0.5,0,115,8/3,timpani
455.0,456.0,46,B-2,1.0,0,115,3.0,timpani
459.5,460.5,53,F3,1.0,0,116,2.0,timpani
460.5,461.0,46,B-2,0.5,0,116,8/3,timpani
461.0,462.0,46,B-2,1.0,0,116,3.0,timpani
462.5,463.5,46,B-2,1.0,0,116,4.0,timpani
463.5,464.0,46,B-2,0.5,0,116,14/3,timpani
464.0,465.0,46,B-2,1.0,0,117,1.0,timpani
465.5,466.5,46,B-2,1.0,0,117,2.0,timpani
466.5,467.0,46,B-2,0.5,0,117,8/3,timpani
467.0,468.0,46,B-2,1.0,0,117,3.0,timpani
468.5,469.5,46,B-2,1.0,0,117,4.0,timpani
469.5,470.0,46,B-2,0.5,0,117,14/3,timpani
470.0,471.0,46,B-2,1.0,0,118,1.0,timpani
471.5,472.5,53,F3,1.0,0,118,2.0,timpani
472.5,473.0,53,F3,0.5,0,118,8/3,timpani
473.0,474.0,53,F3,1.0,0,118,3.0,timpani
474.5,475.5,53,F3,1.0,0,118,4.0,timpani
475.5,476.0,53,F3,0.5,0,118,14/3,timpani
476.0,477.0,53,F3,1.0,0,119,1.0,timpani
477.5,478.5,53,F3,1.0,0,119,2.0,timpani
478.5,479.0,53,F3,0.5,0,119,8/3,timpani
479.0,480.0,53,F3,1.0,0,119,3.0,timpani
480.5,481.5,53,F3,1.0,0,119,4.0,timpani
481.5,482.0,46,B-2,0.5,0,119,14/3,timpani
482.0,483.0,53,F3,1.0,0,120,1.0,timpani
483.5,484.5,53,F3,1.0,0,120,2.0,timpani
484.5,485.0,53,F3,0.5,0,120,8/3,timpani
485.0,486.0,53,F3,1.0,0,120,3.0,timpani
486.5,487.0,53,F3,0.5,0,120,4.0,timpani
495.5,496.0,46,B-2,0.5,0,122,2.0,timpani
496.5,496.75,46,B-2,0.25,0,122,8/3,timpani
496.75,497.0,46,B-2,0.25,0,122,17/6,timpani
497.0,498.0,46,B-2,1.0,0,122,3.0,timpani
555.5,556.0,46,B-2,0.5,0,132,2.0,timpani
556.5,556.75,46,B-2,0.25,0,132,8/3,timpani
556.75,557.0,46,B-2,0.25,0,132,17/6,timpani
