onset,resolve time,offset,cadence type
151,3,178,AC
268,1,270,AC
362,2,371,AC
458,2,466,AC
554,2,562,AC
650,2,658,AC
712,2,715,AC
728,4,734,AC
799,1,828,AC
821,12,841,AC
929,2,933,AC
941,4,949,AC
1043,2,1049,AC
1053,4,1059.5,AC
1153,2,1161,AC
1173,12,1189,HC
1323,3,1335,AC
1467,3,1479,AC
1495.5,1.5,1500,AC
1609.5,1.5,1614,AC
1750.5,3,1780,HC
1965,9,1977,AC
1980,3,1987,AC
2078,10,2136,HC
2580,3,2595,AC
2793,12,2811,AC
3309,12,3323,AC
3453,8,3469,AC
3565,4,3573,AC
3617,2,3621,HC
3632.5,3.5,3639,AC
3697,8,3714,AC
