onset,offset,role
903,935,mel
1015,1047,mel
1127,1159,mel
1159,1199,rhythm+harm
1439,1502,mel
1835,1979,mel
1991,2041,mel
2043,2089,mel+harm
2089,2137,mel
2137,2185,mel+harm
2209,2281,mel+harm
2283,2305,rhythm+harm
2331,2353,harm
2401,2452,rhythm+harm
2452,2500,mel+rhythm
2500,2584,rhythm+harm
2584,2632,mel+rhythm
2632,2680,rhythm+harm
2680,2734,rhythm+harm
2737,2746,rhythm+harm
2746,2806,harm
2830,2854,mel+rhythm+harm
2878,2896,mel+rhythm+harm
2896,2932,rhythm+harm
2932,3004,rhythm+harm
3132,3156,mel+rhythm
3156,3168,mel
3176,3192,mel
3192,3200,rhythm+harm
3200,3210,mel
3224,3252,mel+rhythm
3261,3282,mel
3372,3396,mel
3396,3408,harm
3408,3428,mel
3428,3458,rhythm+harm
3460,3472,mel
3472,3532,rhythm+harm
3532,3604,mel
3614,3621,rhythm+harm
3622,3632,mel
