onset,offset,role
2043,2089,mel+harm
2089,2137,mel
2251,2255,harm
2275,2281,harm
2283,2305,rhythm+harm
2331,2353,harm
2362,2452,rhythm+harm
2452,2500,mel+rhythm
2500,2581,rhythm+harm
2581,2590,mel+rhythm
2590,2638,mel+rhythm
2638,2665,rhythm+harm
2667,2674,rhythm+harm
2677,2725,rhythm+harm
2746,2806,rhythm+harm
3356,3428,rhythm
3428,3472,rhythm
3472,3536,rhythm+harm
3536,3544,harm
3544,3552,rhythm+harm
3552,3560,harm
3560,3580,rhythm
3580,3616,mel+rhythm
3622,3628,mel+rhythm+harm
3628,3660,rhythm
3660,3712,rhythm+harm
