onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
762.0,763.0,57,A3,1.0,0,216,3.0,baritonesolo
763.0,763.0,57,A3,0.0,0,217,2.0,baritonesolo
763.0,763.0,57,A3,0.0,0,217,2.0,baritonesolo
763.0,767.0,64,E4,4.0,0,217,2.0,baritonesolo
763.0,767.0,61,C#4,4.0,0,217,2.0,baritonesolo
767.0,767.5,62,D4,0.5,0,218,3.0,baritonesolo
767.5,768.0,61,C#4,0.5,0,218,3.5,baritonesolo
768.0,768.5,62,D4,0.5,0,218,1.0,baritonesolo
768.5,769.0,64,E4,0.5,0,218,1.5,baritonesolo
769.0,770.0,64,E4,1.0,0,219,1.0,baritonesolo
770.0,771.0,55,G3,1.0,0,219,2.0,baritonesolo
771.5,772.0,55,G3,0.5,0,219,3.5,baritonesolo
772.0,774.0,58,B-3,2.0,0,220,1.0,baritonesolo
773.0,774.0,57,A3,1.0,0,220,2.0,baritonesolo
775.0,776.0,53,F3,1.0,0,221,1.0,baritonesolo
776.0,777.0,53,F3,1.0,0,221,2.0,baritonesolo
784.0,786.0,56,G#3,2.0,0,224,1.0,baritonesolo
786.0,787.0,56,G#3,1.0,0,224,3.0,baritonesolo
788.0,789.5,62,D4,1.5,0,225,2.0,baritonesolo
789.5,790.0,59,B3,0.5,0,225,3.5,baritonesolo
790.0,791.0,59,B3,1.0,0,226,1.0,baritonesolo
791.0,791.5,56,G#3,0.5,0,226,2.0,baritonesolo
791.5,792.0,57,A3,0.5,0,226,2.5,baritonesolo
792.0,792.5,59,B3,0.5,0,226,3.0,baritonesolo
792.5,793.0,61,C#4,0.5,0,226,3.5,baritonesolo
793.0,793.5,64,E4,0.5,0,227,1.0,baritonesolo
793.5,794.0,62,D4,0.5,0,227,1.5,baritonesolo
794.0,794.5,61,C#4,0.5,0,227,2.0,baritonesolo
794.5,795.0,62,D4,0.5,0,227,2.5,baritonesolo
795.0,795.5,59,B3,0.5,0,227,3.0,baritonesolo
795.5,796.0,56,G#3,0.5,0,227,3.5,baritonesolo
796.0,796.5,52,E3,0.5,0,228,1.0,baritonesolo
796.5,797.0,50,D3,0.5,0,228,1.5,baritonesolo
797.0,798.0,50,D3,1.0,0,228,2.0,baritonesolo
798.0,798.5,54,F#3,0.5,0,228,3.0,baritonesolo
798.5,799.0,52,E3,0.5,0,228,3.5,baritonesolo
799.0,800.0,50,D3,1.0,0,229,1.0,baritonesolo
800.0,801.0,49,C#3,1.0,0,229,2.0,baritonesolo
804.0,805.0,57,A3,1.0,0,230,3.0,baritonesolo
805.0,806.5,62,D4,1.5,0,231,1.0,baritonesolo
806.5,807.0,64,E4,0.5,0,231,2.5,baritonesolo
807.0,807.5,66,F#4,0.5,0,231,3.0,baritonesolo
807.5,808.0,64,E4,0.5,0,231,3.5,baritonesolo
808.0,808.5,64,E4,0.5,0,232,1.0,baritonesolo
808.5,809.0,62,D4,0.5,0,232,1.5,baritonesolo
809.0,809.5,62,D4,0.5,0,232,2.0,baritonesolo
809.5,810.0,61,C#4,0.5,0,232,2.5,baritonesolo
