onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,7.5,29,F1,7.5,0,0,3.0,contrabassoon
7.5,8.0,41,F2,0.5,0,3,1.5,contrabassoon
8.0,8.5,41,F2,0.5,0,3,2.0,contrabassoon
8.5,9.0,33,A1,0.5,0,3,2.5,contrabassoon
9.0,9.5,33,A1,0.5,0,3,3.0,contrabassoon
9.5,10.0,38,D2,0.5,0,3,3.5,contrabassoon
10.0,10.5,38,D2,0.5,0,4,1.0,contrabassoon
10.5,11.0,29,F1,0.5,0,4,1.5,contrabassoon
11.0,11.5,29,F1,0.5,0,4,2.0,contrabassoon
11.5,12.0,33,A1,0.5,0,4,2.5,contrabassoon
12.0,12.5,33,A1,0.5,0,4,3.0,contrabassoon
12.5,13.0,26,D1,0.5,0,4,3.5,contrabassoon
13.0,13.5,26,D1,0.5,0,5,1.0,contrabassoon
13.5,14.0,38,D2,0.5,0,5,1.5,contrabassoon
14.0,14.5,38,D2,0.5,0,5,2.0,contrabassoon
14.5,15.0,36,C2,0.5,0,5,2.5,contrabassoon
15.0,15.5,36,C2,0.5,0,5,3.0,contrabassoon
15.5,16.0,35,B1,0.5,0,5,3.5,contrabassoon
16.0,16.5,35,B1,0.5,0,6,1.0,contrabassoon
16.5,17.0,34,B-1,0.5,0,6,1.5,contrabassoon
17.0,17.5,34,B-1,0.5,0,6,2.0,contrabassoon
17.5,18.0,34,B-1,0.5,0,6,2.5,contrabassoon
18.0,18.5,34,B-1,0.5,0,6,3.0,contrabassoon
18.5,19.0,46,B-2,0.5,0,6,3.5,contrabassoon
19.0,20.0,46,B-2,1.0,0,7,1.0,contrabassoon
20.0,21.0,45,A2,1.0,0,7,2.0,contrabassoon
51.0,53.5,30,F#1,2.5,0,17,3.0,contrabassoon
53.5,54.0,45,A2,0.5,0,18,2.5,contrabassoon
54.0,54.5,45,A2,0.5,0,18,3.0,contrabassoon
54.5,55.0,48,C3,0.5,0,18,3.5,contrabassoon
55.0,55.5,48,C3,0.5,0,19,1.0,contrabassoon
55.5,56.0,42,F#2,0.5,0,19,1.5,contrabassoon
56.0,56.5,42,F#2,0.5,0,19,2.0,contrabassoon
56.5,57.0,45,A2,0.5,0,19,2.5,contrabassoon
57.0,57.5,45,A2,0.5,0,19,3.0,contrabassoon
57.5,58.0,36,C2,0.5,0,19,3.5,contrabassoon
58.0,58.5,36,C2,0.5,0,20,1.0,contrabassoon
58.5,59.0,39,E-2,0.5,0,20,1.5,contrabassoon
59.0,59.5,39,E-2,0.5,0,20,2.0,contrabassoon
59.5,60.0,33,A1,0.5,0,20,2.5,contrabassoon
60.0,60.5,33,A1,0.5,0,20,3.0,contrabassoon
60.5,61.0,36,C2,0.5,0,20,3.5,contrabassoon
61.0,61.5,36,C2,0.5,0,21,1.0,contrabassoon
61.5,62.0,30,F#1,0.5,0,21,1.5,contrabassoon
62.0,62.5,30,F#1,0.5,0,21,2.0,contrabassoon
62.5,63.0,33,A1,0.5,0,21,2.5,contrabassoon
63.0,63.5,33,A1,0.5,0,21,3.0,contrabassoon
63.5,64.0,30,F#1,0.5,0,21,3.5,contrabassoon
64.0,64.5,30,F#1,0.5,0,22,1.0,contrabassoon
64.5,65.0,36,C2,0.5,0,22,1.5,contrabassoon
65.0,65.5,36,C2,0.5,0,22,2.0,contrabassoon
65.5,66.0,34,B-1,0.5,0,22,2.5,contrabassoon
66.0,66.5,34,B-1,0.5,0,22,3.0,contrabassoon
66.5,67.0,33,A1,0.5,0,22,3.5,contrabassoon
67.0,67.5,33,A1,0.5,0,23,1.0,contrabassoon
67.5,68.0,31,G1,0.5,0,23,1.5,contrabassoon
68.0,68.5,31,G1,0.5,0,23,2.0,contrabassoon
68.5,69.0,30,F#1,0.5,0,23,2.5,contrabassoon
69.0,69.5,30,F#1,0.5,0,23,3.0,contrabassoon
69.5,70.0,30,F#1,0.5,0,23,3.5,contrabassoon
70.0,71.0,30,F#1,1.0,0,24,1.0,contrabassoon
72.5,73.0,29,F1,0.5,0,24,3.5,contrabassoon
73.0,74.0,29,F1,1.0,0,25,1.0,contrabassoon
86.0,86.5,34,B-1,0.5,0,29,2.0,contrabassoon
87.0,87.5,34,B-1,0.5,0,29,3.0,contrabassoon
88.0,103.875,37,C#2,15.875,0,30,1.0,contrabassoon
103.875,104.0,33,A1,0.125,0,37,2.875,contrabassoon
104.0,105.0,30,F#1,1.0,0,38,1.0,contrabassoon
240.0,241.0,40,E2,1.0,0,81,2.0,contrabassoon
243.0,244.0,37,C#2,1.0,0,82,2.0,contrabassoon
246.0,247.0,31,G1,1.0,0,83,2.0,contrabassoon
249.0,250.0,30,F#1,1.0,0,84,2.0,contrabassoon
261.0,262.0,31,G1,1.0,0,88,2.0,contrabassoon
262.0,262.5,43,G2,0.5,0,88,3.0,contrabassoon
269.0,270.0,33,A1,1.0,0,91,1.0,contrabassoon
271.0,272.0,26,D1,1.0,0,91,3.0,contrabassoon
560.0,561.0,50,D3,1.0,0,164,1.0,contrabassoon
561.5,562.0,38,D2,0.5,0,164,2.5,contrabassoon
562.0,563.0,50,D3,1.0,0,164,3.0,contrabassoon
563.5,564.0,38,D2,0.5,0,164,4.5,contrabassoon
564.0,565.0,45,A2,1.0,0,165,1.0,contrabassoon
565.5,566.0,33,A1,0.5,0,165,2.5,contrabassoon
566.0,567.0,45,A2,1.0,0,165,3.0,contrabassoon
567.5,568.0,33,A1,0.5,0,165,4.5,contrabassoon
568.0,569.0,38,D2,1.0,0,166,1.0,contrabassoon
571.0,572.0,38,D2,1.0,0,166,4.0,contrabassoon
572.0,573.0,45,A2,1.0,0,167,1.0,contrabassoon
574.0,575.0,33,A1,1.0,0,167,3.0,contrabassoon
576.0,577.0,50,D3,1.0,0,168,1.0,contrabassoon
577.5,578.0,38,D2,0.5,0,168,2.5,contrabassoon
578.0,579.0,50,D3,1.0,0,168,3.0,contrabassoon
579.5,580.0,38,D2,0.5,0,168,4.5,contrabassoon
580.0,581.0,45,A2,1.0,0,169,1.0,contrabassoon
581.5,582.0,33,A1,0.5,0,169,2.5,contrabassoon
582.0,583.0,45,A2,1.0,0,169,3.0,contrabassoon
583.5,584.0,33,A1,0.5,0,169,4.5,contrabassoon
584.0,585.0,38,D2,1.0,0,170,1.0,contrabassoon
587.0,588.0,38,D2,1.0,0,170,4.0,contrabassoon
588.0,589.0,33,A1,1.0,0,171,1.0,contrabassoon
590.0,591.0,38,D2,1.0,0,171,3.0,contrabassoon
592.0,593.0,33,A1,1.0,0,172,1.0,contrabassoon
593.5,594.0,33,A1,0.5,0,172,2.5,contrabassoon
594.0,595.0,45,A2,1.0,0,172,3.0,contrabassoon
595.0,596.0,38,D2,1.0,0,172,4.0,contrabassoon
596.0,597.0,33,A1,1.0,0,173,1.0,contrabassoon
597.5,598.0,33,A1,0.5,0,173,2.5,contrabassoon
598.0,599.0,45,A2,1.0,0,173,3.0,contrabassoon
599.0,600.0,38,D2,1.0,0,173,4.0,contrabassoon
600.0,601.0,33,A1,1.0,0,174,1.0,contrabassoon
601.5,602.0,45,A2,0.5,0,174,2.5,contrabassoon
602.0,602.5,46,B-2,0.5,0,174,3.0,contrabassoon
603.0,603.5,42,F#2,0.5,0,174,4.0,contrabassoon
604.0,604.5,47,B2,0.5,0,175,1.0,contrabassoon
605.0,605.5,40,E2,0.5,0,175,2.0,contrabassoon
606.0,606.5,45,A2,0.5,0,175,3.0,contrabassoon
607.0,607.5,33,A1,0.5,0,175,4.0,contrabassoon
608.0,609.0,50,D3,1.0,0,176,1.0,contrabassoon
609.5,610.0,38,D2,0.5,0,176,2.5,contrabassoon
610.0,611.0,50,D3,1.0,0,176,3.0,contrabassoon
611.5,612.0,38,D2,0.5,0,176,4.5,contrabassoon
612.0,613.0,45,A2,1.0,0,177,1.0,contrabassoon
613.5,614.0,33,A1,0.5,0,177,2.5,contrabassoon
614.0,615.0,45,A2,1.0,0,177,3.0,contrabassoon
615.5,616.0,33,A1,0.5,0,177,4.5,contrabassoon
616.0,617.0,38,D2,1.0,0,178,1.0,contrabassoon
