onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,2.5,70,B-4,2.5,0,0,3.0,flute2
2.5,3.0,69,A4,0.5,0,1,2.5,flute2
3.0,3.5,69,A4,0.5,0,1,3.0,flute2
3.5,4.0,74,D5,0.5,0,1,3.5,flute2
4.0,4.5,74,D5,0.5,0,2,1.0,flute2
4.5,5.0,77,F5,0.5,0,2,1.5,flute2
5.0,5.5,77,F5,0.5,0,2,2.0,flute2
5.5,6.0,81,A5,0.5,0,2,2.5,flute2
6.0,6.5,81,A5,0.5,0,2,3.0,flute2
6.5,7.0,74,D5,0.5,0,2,3.5,flute2
7.0,7.5,74,D5,0.5,0,3,1.0,flute2
7.5,8.0,77,F5,0.5,0,3,1.5,flute2
8.0,8.5,77,F5,0.5,0,3,2.0,flute2
13.5,14.0,77,F5,0.5,0,5,1.5,flute2
14.0,14.5,77,F5,0.5,0,5,2.0,flute2
14.5,15.0,78,F#5,0.5,0,5,2.5,flute2
15.0,15.5,78,F#5,0.5,0,5,3.0,flute2
15.5,16.0,79,G5,0.5,0,5,3.5,flute2
16.0,16.5,79,G5,0.5,0,6,1.0,flute2
16.5,17.0,80,G#5,0.5,0,6,1.5,flute2
17.0,17.5,80,G#5,0.5,0,6,2.0,flute2
17.5,18.0,86,D6,0.5,0,6,2.5,flute2
18.0,18.5,86,D6,0.5,0,6,3.0,flute2
18.5,19.0,86,D6,0.5,0,6,3.5,flute2
19.0,20.0,86,D6,1.0,0,7,1.0,flute2
20.0,21.0,81,A5,1.0,0,7,2.0,flute2
55.5,56.0,78,F#5,0.5,0,19,1.5,flute2
56.0,56.5,78,F#5,0.5,0,19,2.0,flute2
56.5,57.0,81,A5,0.5,0,19,2.5,flute2
57.0,57.5,81,A5,0.5,0,19,3.0,flute2
57.5,58.0,72,C5,0.5,0,19,3.5,flute2
58.0,58.5,72,C5,0.5,0,20,1.0,flute2
67.0,67.5,84,C6,0.5,0,23,1.0,flute2
67.5,68.0,86,D6,0.5,0,23,1.5,flute2
68.0,68.5,86,D6,0.5,0,23,2.0,flute2
68.5,69.0,87,E-6,0.5,0,23,2.5,flute2
69.0,69.5,84,C6,0.5,0,23,3.0,flute2
69.5,70.0,84,C6,0.5,0,23,3.5,flute2
70.0,71.0,84,C6,1.0,0,24,1.0,flute2
72.5,73.0,84,C6,0.5,0,24,3.5,flute2
73.0,74.0,84,C6,1.0,0,25,1.0,flute2
86.0,86.5,86,D6,0.5,0,29,2.0,flute2
87.0,87.5,86,D6,0.5,0,29,3.0,flute2
88.0,105.0,81,A5,17.0,0,30,1.0,flute2
240.0,241.0,85,C#6,1.0,0,81,2.0,flute2
243.0,244.0,79,G5,1.0,0,82,2.0,flute2
246.0,247.0,85,C#6,1.0,0,83,2.0,flute2
249.0,250.0,81,A5,1.0,0,84,2.0,flute2
261.0,262.0,83,B5,1.0,0,88,2.0,flute2
262.0,262.5,83,B5,0.5,0,88,3.0,flute2
269.0,270.0,85,C#6,1.0,0,91,1.0,flute2
271.0,272.0,86,D6,1.0,0,91,3.0,flute2
560.0,562.0,86,D6,2.0,0,164,1.0,flute2
562.0,563.0,88,E6,1.0,0,164,3.0,flute2
563.0,564.0,90,F#6,1.0,0,164,4.0,flute2
564.0,565.0,90,F#6,1.0,0,165,1.0,flute2
565.0,566.0,88,E6,1.0,0,165,2.0,flute2
566.0,567.0,86,D6,1.0,0,165,3.0,flute2
567.0,568.0,81,A5,1.0,0,165,4.0,flute2
568.0,569.0,78,F#5,1.0,0,166,1.0,flute2
569.0,570.0,78,F#5,1.0,0,166,2.0,flute2
570.0,571.0,81,A5,1.0,0,166,3.0,flute2
571.0,572.0,86,D6,1.0,0,166,4.0,flute2
572.0,573.5,86,D6,1.5,0,167,1.0,flute2
573.5,574.0,85,C#6,0.5,0,167,2.5,flute2
574.0,576.0,85,C#6,2.0,0,167,3.0,flute2
576.0,578.0,86,D6,2.0,0,168,1.0,flute2
578.0,579.0,88,E6,1.0,0,168,3.0,flute2
579.0,580.0,90,F#6,1.0,0,168,4.0,flute2
580.0,581.0,90,F#6,1.0,0,169,1.0,flute2
581.0,582.0,88,E6,1.0,0,169,2.0,flute2
582.0,583.0,86,D6,1.0,0,169,3.0,flute2
