onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
3349.0,3350.0,95,B6,1.0,0,849,1.5,piccolo
3350.0,3351.0,93,A6,1.0,0,849,2.0,piccolo
3351.0,3352.0,95,B6,1.0,0,849,2.5,piccolo
3352.0,3353.0,93,A6,1.0,0,850,1.0,piccolo
3353.0,3354.0,95,B6,1.0,0,850,1.5,piccolo
3354.0,3355.0,93,A6,1.0,0,850,2.0,piccolo
3355.0,3355.5,95,B6,0.5,0,850,2.5,piccolo
3355.5,3356.0,97,C#7,0.5,0,850,2.75,piccolo
3356.0,3357.0,98,D7,1.0,0,851,1.0,piccolo
3357.0,3358.0,98,D7,1.0,0,851,1.5,piccolo
3358.0,3359.0,97,C#7,1.0,0,851,2.0,piccolo
3359.0,3360.0,93,A6,1.0,0,851,2.5,piccolo
3360.0,3361.0,100,E7,1.0,0,852,1.0,piccolo
3361.0,3362.0,100,E7,1.0,0,852,1.5,piccolo
3362.0,3363.0,99,E-7,1.0,0,852,2.0,piccolo
3363.0,3364.0,95,B6,1.0,0,852,2.5,piccolo
3364.0,3365.0,100,E7,1.0,0,853,1.0,piccolo
3365.0,3366.0,102,F#7,1.0,0,853,1.5,piccolo
3366.0,3367.0,103,G7,1.0,0,853,2.0,piccolo
3367.0,3368.0,104,G#7,1.0,0,853,2.5,piccolo
3368.0,3369.0,105,A7,1.0,0,854,1.0,piccolo
3369.0,3370.0,104,G#7,1.0,0,854,1.5,piccolo
3370.0,3371.0,105,A7,1.0,0,854,2.0,piccolo
3371.0,3372.0,103,G7,1.0,0,854,2.5,piccolo
3372.0,3373.0,102,F#7,1.0,0,855,1.0,piccolo
3373.0,3373.5,102,F#7,0.5,0,855,1.5,piccolo
3373.5,3374.0,103,G7,0.5,0,855,1.75,piccolo
3374.0,3375.0,105,A7,1.0,0,855,2.0,piccolo
3376.0,3377.0,91,G6,1.0,0,856,1.0,piccolo
3377.0,3377.5,91,G6,0.5,0,856,1.5,piccolo
3377.5,3378.0,93,A6,0.5,0,856,1.75,piccolo
3378.0,3379.0,95,B6,1.0,0,856,2.0,piccolo
3379.0,3379.5,95,B6,0.5,0,856,2.5,piccolo
3379.5,3380.0,93,A6,0.5,0,856,2.75,piccolo
3380.0,3381.0,91,G6,1.0,0,857,1.0,piccolo
3381.0,3381.5,91,G6,0.5,0,857,1.5,piccolo
3381.5,3382.0,90,F#6,0.5,0,857,1.75,piccolo
3382.0,3383.0,88,E6,1.0,0,857,2.0,piccolo
3383.0,3383.5,88,E6,0.5,0,857,2.5,piccolo
3383.5,3384.0,86,D6,0.5,0,857,2.75,piccolo
3384.0,3385.0,85,C#6,1.0,0,858,1.0,piccolo
3385.0,3385.5,85,C#6,0.5,0,858,1.5,piccolo
3385.5,3386.0,83,B5,0.5,0,858,1.75,piccolo
3386.0,3387.0,81,A5,1.0,0,858,2.0,piccolo
3387.0,3388.0,87,E-6,1.0,0,858,2.5,piccolo
3388.0,3389.0,88,E6,1.0,0,859,1.0,piccolo
3389.0,3390.0,90,F#6,1.0,0,859,1.5,piccolo
3390.0,3391.0,91,G6,1.0,0,859,2.0,piccolo
3391.0,3392.0,92,G#6,1.0,0,859,2.5,piccolo
3392.0,3393.0,93,A6,1.0,0,860,1.0,piccolo
3393.0,3394.0,92,G#6,1.0,0,860,1.5,piccolo
3394.0,3394.5,93,A6,0.5,0,860,2.0,piccolo
3394.5,3395.0,95,B6,0.5,0,860,2.25,piccolo
3395.0,3395.5,97,C#7,0.5,0,860,2.5,piccolo
3395.5,3396.0,98,D7,0.5,0,860,2.75,piccolo
3396.0,3397.5,100,E7,1.5,0,861,1.0,piccolo
