onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
1015.0,1016.0,76,E5,1.0,0,285,1.0,sopranochoir
1016.0,1017.0,76,E5,1.0,0,285,2.0,sopranochoir
1017.0,1018.0,78,F#5,1.0,0,285,3.0,sopranochoir
1018.0,1019.0,74,D5,1.0,0,285,4.0,sopranochoir
1019.0,1020.0,76,E5,1.0,0,286,1.0,sopranochoir
1020.0,1020.5,78,F#5,0.5,0,286,2.0,sopranochoir
1020.5,1021.0,79,G5,0.5,0,286,2.5,sopranochoir
1021.0,1022.0,78,F#5,1.0,0,286,3.0,sopranochoir
1022.0,1023.0,74,D5,1.0,0,286,4.0,sopranochoir
1023.0,1024.0,76,E5,1.0,0,287,1.0,sopranochoir
1024.0,1024.5,78,F#5,0.5,0,287,2.0,sopranochoir
1024.5,1025.0,79,G5,0.5,0,287,2.5,sopranochoir
1025.0,1026.0,78,F#5,1.0,0,287,3.0,sopranochoir
1026.0,1027.0,76,E5,1.0,0,287,4.0,sopranochoir
1027.0,1028.0,74,D5,1.0,0,288,1.0,sopranochoir
1028.0,1029.0,76,E5,1.0,0,288,2.0,sopranochoir
1029.0,1030.0,69,A4,1.0,0,288,3.0,sopranochoir
1030.0,1032.0,78,F#5,2.0,0,288,4.0,sopranochoir
1032.0,1033.0,78,F#5,1.0,0,289,2.0,sopranochoir
1033.0,1034.0,79,G5,1.0,0,289,3.0,sopranochoir
1034.0,1035.0,81,A5,1.0,0,289,4.0,sopranochoir
1035.0,1036.0,81,A5,1.0,0,290,1.0,sopranochoir
1036.0,1037.0,79,G5,1.0,0,290,2.0,sopranochoir
1037.0,1038.0,78,F#5,1.0,0,290,3.0,sopranochoir
1038.0,1039.0,76,E5,1.0,0,290,4.0,sopranochoir
1039.0,1040.0,74,D5,1.0,0,291,1.0,sopranochoir
1040.0,1041.0,74,D5,1.0,0,291,2.0,sopranochoir
1041.0,1042.0,76,E5,1.0,0,291,3.0,sopranochoir
1042.0,1043.0,78,F#5,1.0,0,291,4.0,sopranochoir
1043.0,1044.5,76,E5,1.5,0,292,1.0,sopranochoir
1044.5,1045.0,74,D5,0.5,0,292,2.5,sopranochoir
1045.0,1047.0,74,D5,2.0,0,292,3.0,sopranochoir
1127.0,1127.5,78,F#5,0.5,0,313,1.0,sopranochoir
1127.5,1128.0,76,E5,0.5,0,313,1.5,sopranochoir
1128.0,1128.5,74,D5,0.5,0,313,2.0,sopranochoir
1128.5,1129.0,76,E5,0.5,0,313,2.5,sopranochoir
1129.0,1129.5,79,G5,0.5,0,313,3.0,sopranochoir
1129.5,1130.0,78,F#5,0.5,0,313,3.5,sopranochoir
1130.0,1130.5,76,E5,0.5,0,313,4.0,sopranochoir
1130.5,1131.0,74,D5,0.5,0,313,4.5,sopranochoir
