onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
104.0,105.0,54,F#3,1.0,0,38,1.0,viola
104.0,105.0,57,A3,1.0,0,38,1.0,viola
134.0,135.0,64,E4,1.0,0,48,1.0,viola
137.0,138.0,57,A3,1.0,0,49,1.0,viola
140.0,141.0,52,E3,1.0,0,50,1.0,viola
143.0,144.0,57,A3,1.0,0,51,1.0,viola
146.0,147.0,60,C4,1.0,0,52,1.0,viola
149.0,150.0,53,F3,1.0,0,53,1.0,viola
152.0,153.0,48,C3,1.0,0,54,1.0,viola
152.0,153.0,60,C4,1.0,0,54,1.0,viola
155.0,156.0,53,F3,1.0,0,55,1.0,viola
368.0,370.0,66,F#4,2.0,0,116,1.0,viola
370.0,371.0,67,G4,1.0,0,116,3.0,viola
371.0,372.0,69,A4,1.0,0,116,4.0,viola
372.0,373.0,69,A4,1.0,0,117,1.0,viola
373.0,374.0,67,G4,1.0,0,117,2.0,viola
374.0,375.0,66,F#4,1.0,0,117,3.0,viola
375.0,376.0,64,E4,1.0,0,117,4.0,viola
376.0,378.0,62,D4,2.0,0,118,1.0,viola
378.0,379.0,64,E4,1.0,0,118,3.0,viola
379.0,380.0,66,F#4,1.0,0,118,4.0,viola
380.0,381.0,66,F#4,1.0,0,119,1.0,viola
381.0,382.0,64,E4,1.0,0,119,2.0,viola
382.0,384.0,64,E4,2.0,0,119,3.0,viola
384.0,386.0,66,F#4,2.0,0,120,1.0,viola
386.0,387.0,67,G4,1.0,0,120,3.0,viola
387.0,388.0,69,A4,1.0,0,120,4.0,viola
388.0,389.0,69,A4,1.0,0,121,1.0,viola
389.0,390.0,67,G4,1.0,0,121,2.0,viola
390.0,391.0,66,F#4,1.0,0,121,3.0,viola
391.0,392.0,64,E4,1.0,0,121,4.0,viola
392.0,394.0,62,D4,2.0,0,122,1.0,viola
394.0,395.0,64,E4,1.0,0,122,3.0,viola
395.0,396.0,66,F#4,1.0,0,122,4.0,viola
396.0,397.5,64,E4,1.5,0,123,1.0,viola
397.5,398.0,62,D4,0.5,0,123,2.5,viola
398.0,400.0,62,D4,2.0,0,123,3.0,viola
400.0,402.0,64,E4,2.0,0,124,1.0,viola
402.0,403.0,66,F#4,1.0,0,124,3.0,viola
403.0,404.0,62,D4,1.0,0,124,4.0,viola
404.0,405.0,64,E4,1.0,0,125,1.0,viola
405.0,405.5,66,F#4,0.5,0,125,2.0,viola
405.5,406.0,67,G4,0.5,0,125,2.5,viola
406.0,407.0,66,F#4,1.0,0,125,3.0,viola
407.0,408.0,62,D4,1.0,0,125,4.0,viola
408.0,409.0,64,E4,1.0,0,126,1.0,viola
409.0,409.5,66,F#4,0.5,0,126,2.0,viola
409.5,410.0,67,G4,0.5,0,126,2.5,viola
410.0,411.0,66,F#4,1.0,0,126,3.0,viola
411.0,412.0,64,E4,1.0,0,126,4.0,viola
412.0,413.0,62,D4,1.0,0,127,1.0,viola
413.0,414.0,64,E4,1.0,0,127,2.0,viola
414.0,415.0,57,A3,1.0,0,127,3.0,viola
415.0,417.0,66,F#4,2.0,0,127,4.0,viola
417.0,418.0,66,F#4,1.0,0,128,2.0,viola
418.0,419.0,67,G4,1.0,0,128,3.0,viola
419.0,420.0,69,A4,1.0,0,128,4.0,viola
420.0,421.0,69,A4,1.0,0,129,1.0,viola
421.0,422.0,67,G4,1.0,0,129,2.0,viola
422.0,423.0,66,F#4,1.0,0,129,3.0,viola
423.0,424.0,64,E4,1.0,0,129,4.0,viola
424.0,426.0,62,D4,2.0,0,130,1.0,viola
426.0,427.0,64,E4,1.0,0,130,3.0,viola
427.0,428.0,66,F#4,1.0,0,130,4.0,viola
428.0,429.5,64,E4,1.5,0,131,1.0,viola
429.5,430.0,62,D4,0.5,0,131,2.5,viola
430.0,432.0,62,D4,2.0,0,131,3.0,viola
432.0,434.0,64,E4,2.0,0,132,1.0,viola
434.0,435.0,66,F#4,1.0,0,132,3.0,viola
435.0,436.0,62,D4,1.0,0,132,4.0,viola
436.0,437.0,64,E4,1.0,0,133,1.0,viola
437.0,437.5,66,F#4,0.5,0,133,2.0,viola
437.5,438.0,67,G4,0.5,0,133,2.5,viola
438.0,439.0,66,F#4,1.0,0,133,3.0,viola
439.0,440.0,62,D4,1.0,0,133,4.0,viola
440.0,441.0,64,E4,1.0,0,134,1.0,viola
441.0,441.5,66,F#4,0.5,0,134,2.0,viola
441.5,442.0,67,G4,0.5,0,134,2.5,viola
442.0,443.0,66,F#4,1.0,0,134,3.0,viola
443.0,444.0,64,E4,1.0,0,134,4.0,viola
444.0,445.0,62,D4,1.0,0,135,1.0,viola
445.0,446.0,64,E4,1.0,0,135,2.0,viola
446.0,447.0,57,A3,1.0,0,135,3.0,viola
447.0,449.0,66,F#4,2.0,0,135,4.0,viola
449.0,450.0,66,F#4,1.0,0,136,2.0,viola
450.0,451.0,67,G4,1.0,0,136,3.0,viola
451.0,452.0,69,A4,1.0,0,136,4.0,viola
452.0,453.0,69,A4,1.0,0,137,1.0,viola
453.0,454.0,67,G4,1.0,0,137,2.0,viola
454.0,455.0,66,F#4,1.0,0,137,3.0,viola
455.0,456.0,64,E4,1.0,0,137,4.0,viola
456.0,458.0,62,D4,2.0,0,138,1.0,viola
458.0,459.0,64,E4,1.0,0,138,3.0,viola
