onset,offset,role
0,7,harm
7,21,mel
51,71,mel
72,74,mel+rhythm
86,88,mel+rhythm
88,105,harm
240,250,rhythm
261,263,rhythm
269,272,rhythm+harm
560,708,rhythm
708,712,mel
712,716,rhythm
727,732,mel
732,736,rhythm+harm
738,760,mel
801,804,rhythm+harm
815,817,rhythm+harm
822,823,rhythm+harm
1126,1158,rhythm
1159,1179,rhythm+harm
1179,1183,rhythm
1183,1187,rhythm+harm
1187,1191,rhythm
1191,1199,rhythm+harm
1199,1331,rhythm
1475,1500,rhythm
2043,2089,rhythm
2043,2089,rhythm
2137,2185,rhythm
2404,2452,rhythm
2452,2500,rhythm+harm
2500,2536,mel+harm
2536,2581,rhythm+harm
2590,2608,rhythm
2611,2632,mel+rhythm
2641,2680,rhythm+harm
2680,2734,rhythm
2743,2797,rhythm+harm
3349,3356,mel+rhythm
3356,3372,mel
3372,3396,mel
3396,3428,mel
3428,3472,rhythm
3472,3532,rhythm+harm
3532,3564,mel
3564,3617,rhythm
3622,3628,mel
3628,3644,rhythm
3644,3660,rhythm
3660,3712,rhythm+harm
