onset,offset,role
903,935,mel
1015,1047,mel+rhythm
1127,1135,mel+rhythm
1135,1159,mel
1159,1199,rhythm+harm
1835,1979,mel
2041,2089,mel+harm
2137,2185,mel+harm
2209,2281,mel+harm
2283,2305,rhythm+harm
2325,2353,harm
2353,2452,rhythm+harm
2458,2476,rhythm+harm
2476,2500,mel+rhythm
2500,2548,mel+rhythm
2551,2572,rhythm+harm
2581,2629,rhythm+harm
2632,2680,mel+rhythm
2680,2716,rhythm+harm
2716,2734,mel+rhythm
2746,2806,mel+rhythm
2854,2878,mel+rhythm+harm
2878,2896,mel+rhythm+harm
2896,2932,rhythm+harm
2932,3004,rhythm+harm
3132,3156,mel+rhythm
3156,3168,mel
3176,3192,mel
3192,3200,rhythm+harm
3200,3210,mel
3224,3252,mel+rhythm
3261,3282,mel
3372,3396,mel
3396,3408,harm
3408,3444,rhythm+harm
3444,3458,mel
3460,3472,mel
3472,3532,rhythm+harm
3532,3604,mel
3614,3621,rhythm+harm
3622,3632,mel
