onset,offset,role
0,7,harm
7,21,rhythm
51,59,harm
59,62,rhythm
72,74,mel+rhythm
179,188,harm
738,760,rhythm
1195,1199,rhythm+harm
1223,1235,rhythm
1235,1281,mel
1283,1310,mel
1310,1331,rhythm
1331,1399,mel
1398,1502,rhythm
1511,1529,rhythm
1562,1595,rhythm
1595,1652,rhythm
1664,1680,rhythm
2746,2806,mel+rhythm
2770,2776,rhythm
2776,2794,mel+rhythm
3100,3156,harm
3156,3193,rhythm
3204,3208,rhythm+harm
3208,3240,mel+rhythm
3240,3261,rhythm
3261,3275,mel
3278,3279,rhythm+harm
3349,3396,rhythm
3428,3472,rhythm+harm
3472,3536,rhythm+harm
3536,3544,harm
3544,3552,rhythm+harm
3552,3560,harm
3560,3564,rhythm+harm
3564,3580,rhythm
