onset,offset,role
1015,1047,mel
1127,1159,mel
1159,1199,rhythm+harm
1835,1979,mel
2041,2089,mel+harm
2137,2185,mel+harm
2209,2281,mel+harm
2283,2305,rhythm+harm
2325,2353,harm
2356,2404,mel+rhythm
2410,2428,rhythm+harm
2428,2452,mel+rhythm
2452,2488,mel+harm
2497,2581,rhythm+harm
2584,2626,mel+rhythm
2629,2680,rhythm+harm
2680,2716,rhythm+harm
2716,2734,rhythm
2734,2785,harm
2785,2806,rhythm+harm
2878,2896,mel+rhythm+harm
2896,2932,rhythm+harm
2932,3004,rhythm+harm
3132,3156,mel+rhythm
3156,3168,mel
3176,3192,mel
3192,3200,rhythm+harm
3200,3210,mel
3224,3252,mel+rhythm
3261,3282,mel
3372,3396,mel
3396,3408,harm
3408,3458,mel
3460,3472,mel
3472,3532,rhythm+harm
3532,3544,harm
3544,3604,mel
3614,3621,rhythm+harm
3622,3632,mel
