onset,offset,role
0,21,rhythm
48,71,rhythm
72,74,mel+rhythm
86,105,mel+rhythm
246,252,rhythm
261,263,rhythm
269,272,rhythm+harm
560,681,mel
684,708,rhythm
708,716,mel
727,732,mel
732,736,rhythm+harm
738,751,mel
751,759,rhythm
801,804,rhythm+harm
815,817,rhythm+harm
822,823,rhythm+harm
903,950,rhythm
1015,1062,rhythm
1126,1143,rhythm
1143,1199,rhythm+harm
1247,1262,rhythm
1271,1296,rhythm
1307,1331,rhythm
1343,1356,rhythm
1367,1394,rhythm
1403,1502,rhythm
1835,1856,rhythm
1856,1859,mel
1859,1880,rhythm
1880,1883,mel
1883,1928,rhythm
1928,1931,mel
1931,1990,rhythm
2353,2401,rhythm+harm
2410,2488,rhythm
2488,2495,rhythm
2497,2542,rhythm+harm
2542,2581,rhythm+harm
2590,2608,rhythm
2614,2662,rhythm
2668,2674,rhythm+harm
2680,2710,rhythm
2710,2734,rhythm+harm
2734,2746,harm
2746,2785,harm
2785,2806,rhythm+harm
2896,2932,rhythm+harm
2977,3004,rhythm+harm
3156,3190,rhythm
3240,3274,rhythm
3349,3356,rhythm
3356,3996,rhythm
3428,3464,rhythm
3484,3536,rhythm+harm
3536,3544,harm
3544,3552,rhythm+harm
3552,3560,harm
3560,3564,rhythm+harm
3564,3580,rhythm
3580,3592,mel
3592,3600,harm
3600,3616,mel
3616,3624,rhythm+harm
3624,3644,mel
3644,3656,mel+rhythm
3656,3660,rhythm
3660,3692,rhythm+harm
3692,3700,harm
3700,3710,rhythm+harm
3996,3428,harm
