onset,offset,role
88,104,harm
134,158,rhythm
462,560,mel+rhythm
560,653,rhythm+harm
654,708,rhythm
708,712,mel
712,716,rhythm
716,727,mel+harm
727,736,rhythm
738,760,mel
776,784,mel+harm
784,799,harm
801,804,rhythm+harm
815,817,rhythm+harm
822,823,rhythm+harm
829,855,rhythm
855,863,mel+harm
863,903,rhythm
903,935,mel
935,950,mel
1015,1062,rhythm
1079,1087,rhythm
1097,1159,rhythm
1159,1179,rhythm+harm
1179,1183,rhythm
1183,1187,rhythm+harm
1187,1191,rhythm
1191,1199,rhythm+harm
1280,1284,mel
1328,1332,mel
1376,1380,mel
1424,1428,mel
1451,1475,rhythm
1475,1496,rhythm+harm
1496,1502,rhythm
1502,1511,mel
1511,1553,mel+rhythm
1553,1577,rhythm
1577,1595,mel
1595,1613,rhythm
1613,1634,mel+rhythm
1634,1663,rhythm
1662,1685,rhythm
1685,1715,rhythm
1715,1757,rhythm
1757,1782,rhythm
1793,1799,harm
1811,1817,harm
1829,1835,harm
1835,1991,rhythm
2039,2089,rhythm
2135,2185,rhythm
2307,2325,harm
2325,2353,rhythm+harm
2353,2452,rhythm+harm
2458,2500,rhythm
2500,2581,rhythm
2581,2632,rhythm+harm
2632,2680,rhythm
2680,2716,rhythm+harm
2716,2734,mel+rhythm
2746,2806,rhythm
2806,2896,mel+rhythm+harm
2896,2932,rhythm+harm
2932,3004,rhythm+harm
3006,3021,rhythm
3040,3100,rhythm
3100,3132,rhythm
3132,3176,mel+rhythm
3176,3193,rhythm
3194,3210,mel+rhythm
3224,3232,rhythm
3232,3258,mel+rhythm
3258,3281,rhythm
3286,3295,rhythm+harm
3296,3324,rhythm+harm
3324,3357,mel+rhythm
3370,3388,mel
3388,3396,rhythm
3396,3412,mel+rhythm
3412,3430,rhythm
3430,3456,mel+rhythm
3456,3472,mel
3472,3532,rhythm+harm
3532,3536,rhythm+harm
3536,3564,mel+rhythm
3564,3619,rhythm
3620,3644,rhythm
3644,3660,mel+rhythm
3660,3712,rhythm+harm
