onset,offset,role
10,17,mel
18,24,rhythm+harm
28,35,mel
36,43,rhythm+harm
69,77,mel
104,112,harm
112,116,rhythm+harm
116,124,harm
124,129,rhythm+harm
172,180,harm
180,196,mel
196,248,harm
248,256,rhythm
256,264,mel
264,272,rhythm
272,290,mel
296,312,mel
340,344,harm
344,348,mel
348,352,rhythm
352,356,rhythm+harm
383,391,mel
418,426,harm
426,430,rhythm+harm
430,438,harm
438,443,rhythm+harm
486,494,harm
494,510,mel
510,562,harm
562,570,rhythm
570,578,mel
578,586,rhythm
586,604,mel
610,626,mel
654,658,harm
658,662,mel
662,666,rhythm
666,668,rhythm+harm
716,718,mel
720,722,mel
724,726,mel
728,730,mel
738,747,harm
754,762,harm
762,770,rhythm+harm
778,786,harm
786,794,rhythm
794,802,harm
802,810,rhythm
810,818,mel
818,827,rhythm+harm
881,889,mel
952,968,mel
968,976,harm
976,977,rhythm+harm
995,1012,rhythm
1012,1020,mel
1020,1028,rhythm
1028,1040,mel
1096,1120,harm
1120,1128,rhythm+harm
1128,1136,harm
1136,1176,rhythm+harm
1176,1180,mel
1180,1184,rhythm
1184,1192,harm
1192,1200,rhythm
1200,1209,rhythm+harm
