onset,offset,role
18,24,rhythm+harm
36,44,rhythm+harm
76,92,harm
104,112,harm
112,116,rhythm
116,124,harm
124,130,rhythm+harm
340,348,harm
348,352,rhythm
352,356,rhythm+harm
390,406,harm
418,426,harm
426,430,rhythm
430,438,harm
438,444,rhythm+harm
654,662,harm
662,666,rhythm
666,668,rhythm+harm
690,700,mel
738,747,harm
754,762,harm
762,771,rhythm+harm
778,786,harm
794,802,harm
810,827,rhythm+harm
888,904,harm
904,910,rhythm+harm
996,1004,harm
1096,1104,mel
1104,1120,harm
1120,1128,rhythm+harm
1128,1136,harm
1136,1180,rhythm+harm
1180,1184,rhythm
1184,1200,harm
1200,1210,rhythm+harm
