onset,offset,role
10,15,harm
15,17,rhythm+harm
18,24,rhythm+harm
28,35,mel
36,43,rhythm+harm
62,76,mel
76,92,harm
92,101,mel
104,112,harm
112,116,rhythm+harm
116,124,harm
124,129,rhythm+harm
180,196,mel
196,228,harm
240,249,harm
346,348,mel
348,352,rhythm
352,356,rhythm+harm
376,390,mel
390,406,harm
406,415,mel
418,426,harm
426,430,rhythm+harm
430,438,harm
438,443,rhythm+harm
494,510,mel
510,542,harm
554,563,harm
660,662,mel
662,666,rhythm
666,668,rhythm+harm
706,715,mel
716,718,mel
720,722,mel
724,726,mel
728,730,mel
746,754,mel
754,762,harm
762,771,rhythm+harm
778,786,harm
786,794,rhythm
794,802,harm
802,810,rhythm
810,826,rhythm+harm
826,842,mel
874,888,mel
888,904,harm
904,910,rhythm+harm
968,976,harm
976,977,rhythm+harm
990,1012,rhythm
1012,1020,mel
1020,1028,rhythm
1028,1040,mel
1068,1080,rhythm
1096,1120,harm
1120,1128,rhythm+harm
1128,1136,harm
1136,1152,rhythm+harm
1152,1160,mel
1160,1176,rhythm+harm
1176,1180,mel
1180,1184,rhythm
1184,1192,harm
1192,1200,rhythm
1200,1209,rhythm+harm
