onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
5.0,6.25,52,E3,1.25,0,3,3.0,clarinet1
18.4375,18.5,75,E-5,0.0625,0,10,1.875,clarinet1
18.5,19.5,75,E-5,1.0,0,10,2.0,clarinet1
20.4375,20.5,75,E-5,0.0625,0,11,1.875,clarinet1
20.5,21.5,75,E-5,1.0,0,11,2.0,clarinet1
22.4375,22.5,75,E-5,0.0625,0,12,1.875,clarinet1
22.5,22.875,75,E-5,0.375,0,12,2.0,clarinet1
23.4375,23.5,75,E-5,0.0625,0,12,3.875,clarinet1
23.5,23.875,75,E-5,0.375,0,12,4.0,clarinet1
30.0,32.125,68,A-4,2.125,0,16,1.0,clarinet1
34.0,36.0,71,B4,2.0,0,18,1.0,clarinet1
36.0,36.125,78,F#5,0.125,0,19,1.0,clarinet1
37.0,37.125,78,F#5,0.125,0,19,3.0,clarinet1
38.0,38.125,78,F#5,0.125,0,20,1.0,clarinet1
39.0,39.125,78,F#5,0.125,0,20,3.0,clarinet1
40.0,40.125,76,E5,0.125,0,21,1.0,clarinet1
41.625,41.75,76,E5,0.125,0,21,4.25,clarinet1
41.75,41.875,76,E5,0.125,0,21,4.5,clarinet1
41.875,42.0,76,E5,0.125,0,21,4.75,clarinet1
42.0,42.125,79,G5,0.125,0,22,1.0,clarinet1
42.5,42.625,78,F#5,0.125,0,22,2.0,clarinet1
53.5,54.0,67,G4,0.5,0,27,2.5,clarinet1
54.0,54.75,67,G4,0.75,0,28,1.0,clarinet1
54.75,55.0,71,B4,0.25,0,28,1.75,clarinet1
55.0,55.5,71,B4,0.5,0,28,2.0,clarinet1
55.5,56.0,66,F#4,0.5,0,28,2.5,clarinet1
56.0,56.75,67,G4,0.75,0,29,1.0,clarinet1
56.75,57.0,71,B4,0.25,0,29,1.75,clarinet1
57.0,57.5,71,B4,0.5,0,29,2.0,clarinet1
57.5,58.0,66,F#4,0.5,0,29,2.5,clarinet1
58.0,58.75,67,G4,0.75,0,30,1.0,clarinet1
58.75,59.0,71,B4,0.25,0,30,1.75,clarinet1
59.0,59.5,71,B4,0.5,0,30,2.0,clarinet1
59.5,60.0,66,F#4,0.5,0,30,2.5,clarinet1
60.0,60.5,67,G4,0.5,0,31,1.0,clarinet1
76.0,78.5,71,B4,2.5,0,39,1.0,clarinet1
80.0,82.5,72,C5,2.5,0,41,1.0,clarinet1
84.0,86.5,75,D#5,2.5,0,43,1.0,clarinet1
88.0,90.5,76,E5,2.5,0,45,1.0,clarinet1
104.0,106.0,78,F#5,2.0,0,53,1.0,clarinet1
106.0,108.0,78,F#5,2.0,0,54,1.0,clarinet1
108.0,110.0,79,G5,2.0,0,55,1.0,clarinet1
110.0,112.0,79,G5,2.0,0,56,1.0,clarinet1
112.0,112.5,78,F#5,0.5,0,57,1.0,clarinet1
113.0,115.5,71,B4,2.5,0,57,2.0,clarinet1
115.5,116.0,75,D#5,0.5,0,58,2.5,clarinet1
116.0,120.0,71,B4,4.0,0,59,1.0,clarinet1
120.0,124.0,79,G5,4.0,0,61,1.0,clarinet1
124.0,125.0,71,B4,1.0,0,63,1.0,clarinet1
125.5,126.0,71,B4,0.5,0,63,2.5,clarinet1
126.0,127.0,71,B4,1.0,0,64,1.0,clarinet1
127.5,128.0,71,B4,0.5,0,64,2.5,clarinet1
128.0,128.5,71,B4,0.5,0,65,1.0,clarinet1
130.0,131.5,71,B4,1.5,0,66,1.0,clarinet1
131.5,132.0,69,A4,0.5,0,66,2.5,clarinet1
132.0,133.5,67,G4,1.5,0,67,1.0,clarinet1
133.5,134.0,66,F#4,0.5,0,67,2.5,clarinet1
134.0,135.5,64,E4,1.5,0,68,1.0,clarinet1
135.5,136.0,62,D4,0.5,0,68,2.5,clarinet1
136.0,136.5,60,C4,0.5,0,69,1.0,clarinet1
136.5,137.5,72,C5,1.0,0,69,1.5,clarinet1
137.5,138.0,71,B4,0.5,0,69,2.5,clarinet1
138.0,139.5,69,A4,1.5,0,70,1.0,clarinet1
139.5,140.0,67,G4,0.5,0,70,2.5,clarinet1
140.0,141.5,66,F#4,1.5,0,71,1.0,clarinet1
141.5,142.0,64,E4,0.5,0,71,2.5,clarinet1
142.0,143.5,62,D4,1.5,0,72,1.0,clarinet1
143.5,144.0,60,C4,0.5,0,72,2.5,clarinet1
144.0,146.0,59,B3,2.0,0,73,1.0,clarinet1
148.0,150.0,58,B-3,2.0,0,75,1.0,clarinet1
152.25,152.5,59,B3,0.25,0,77,1.25,clarinet1
152.5,152.75,64,E4,0.25,0,77,1.5,clarinet1
152.75,153.0,67,G4,0.25,0,77,1.75,clarinet1
153.0,154.0,71,B4,1.0,0,77,2.0,clarinet1
154.25,154.5,58,B-3,0.25,0,78,1.25,clarinet1
154.5,154.75,64,E4,0.25,0,78,1.5,clarinet1
154.75,155.0,67,G4,0.25,0,78,1.75,clarinet1
155.0,156.0,70,B-4,1.0,0,78,2.0,clarinet1
156.0,156.25,59,B3,0.25,0,79,1.0,clarinet1
156.25,156.5,62,D4,0.25,0,79,1.25,clarinet1
156.5,156.75,67,G4,0.25,0,79,1.5,clarinet1
156.75,157.0,71,B4,0.25,0,79,1.75,clarinet1
157.0,158.0,74,D5,1.0,0,79,2.0,clarinet1
158.25,158.5,62,D4,0.25,0,80,1.25,clarinet1
158.5,158.75,66,F#4,0.25,0,80,1.5,clarinet1
158.75,159.0,72,C5,0.25,0,80,1.75,clarinet1
159.0,161.0,74,D5,2.0,0,80,2.0,clarinet1
161.0,163.5,77,F5,2.5,0,81,2.0,clarinet1
163.5,164.0,72,C5,0.5,0,82,2.5,clarinet1
164.0,165.0,74,D5,1.0,0,83,1.0,clarinet1
165.0,167.5,77,F5,2.5,0,83,2.0,clarinet1
167.5,168.0,72,C5,0.5,0,84,2.5,clarinet1
168.0,170.0,77,F5,2.0,0,85,1.0,clarinet1
170.0,172.0,76,E5,2.0,0,86,1.0,clarinet1
172.0,173.0,75,E-5,1.0,0,87,1.0,clarinet1
173.0,174.0,79,G5,1.0,0,87,2.0,clarinet1
174.0,175.0,75,E-5,1.0,0,88,1.0,clarinet1
175.0,176.0,79,G5,1.0,0,88,2.0,clarinet1
176.0,177.0,75,E-5,1.0,0,89,1.0,clarinet1
177.0,178.0,79,G5,1.0,0,89,2.0,clarinet1
178.0,179.0,75,E-5,1.0,0,90,1.0,clarinet1
179.0,180.0,79,G5,1.0,0,90,2.0,clarinet1
180.0,181.5,74,D5,1.5,0,91,1.0,clarinet1
181.5,182.0,70,B-4,0.5,0,91,2.5,clarinet1
182.0,184.0,69,A4,2.0,0,92,1.0,clarinet1
184.0,185.5,74,D5,1.5,0,93,1.0,clarinet1
185.5,186.0,67,G4,0.5,0,93,2.5,clarinet1
186.0,186.25,69,A4,0.25,0,94,1.0,clarinet1
186.25,186.5,70,B-4,0.25,0,94,1.25,clarinet1
186.5,187.0,72,C5,0.5,0,94,1.5,clarinet1
187.0,188.0,70,B-4,1.0,0,94,2.0,clarinet1
188.0,189.5,74,D5,1.5,0,95,1.0,clarinet1
189.5,190.0,70,B-4,0.5,0,95,2.5,clarinet1
190.0,192.0,69,A4,2.0,0,96,1.0,clarinet1
192.0,193.5,74,D5,1.5,0,97,1.0,clarinet1
193.5,194.0,67,G4,0.5,0,97,2.5,clarinet1
194.0,194.25,69,A4,0.25,0,98,1.0,clarinet1
194.25,194.5,70,B-4,0.25,0,98,1.25,clarinet1
194.5,195.0,72,C5,0.5,0,98,1.5,clarinet1
195.0,196.5,70,B-4,1.5,0,98,2.0,clarinet1
222.0,222.5,68,G#4,0.5,0,112,1.0,clarinet1
222.5,223.0,71,B4,0.5,0,112,1.5,clarinet1
223.0,223.25,71,B4,0.25,0,112,2.0,clarinet1
223.25,223.5,70,A#4,0.25,0,112,2.25,clarinet1
223.5,224.0,68,G#4,0.5,0,112,2.5,clarinet1
226.0,226.5,68,G#4,0.5,0,114,1.0,clarinet1
226.5,227.0,71,B4,0.5,0,114,1.5,clarinet1
227.0,227.25,71,B4,0.25,0,114,2.0,clarinet1
227.25,227.5,70,A#4,0.25,0,114,2.25,clarinet1
227.5,228.0,68,G#4,0.5,0,114,2.5,clarinet1
228.0,232.0,71,B4,4.0,0,115,1.0,clarinet1
232.0,236.0,72,C5,4.0,0,117,1.0,clarinet1
236.0,240.0,76,E5,4.0,0,119,1.0,clarinet1
240.0,244.0,76,E5,4.0,0,121,1.0,clarinet1
244.0,248.0,71,B4,4.0,0,123,1.0,clarinet1
248.0,248.5,71,B4,0.5,0,125,1.0,clarinet1
249.0,249.75,71,B4,0.75,0,125,2.0,clarinet1
249.75,250.0,71,B4,0.25,0,125,2.75,clarinet1
250.0,250.5,71,B4,0.5,0,126,1.0,clarinet1
251.0,251.75,71,B4,0.75,0,126,2.0,clarinet1
251.75,252.0,71,B4,0.25,0,126,2.75,clarinet1
252.0,252.5,71,B4,0.5,0,127,1.0,clarinet1
253.0,253.75,71,B4,0.75,0,127,2.0,clarinet1
253.75,254.0,71,B4,0.25,0,127,2.75,clarinet1
254.0,254.5,71,B4,0.5,0,128,1.0,clarinet1
255.0,255.75,71,B4,0.75,0,128,2.0,clarinet1
255.75,256.0,71,B4,0.25,0,128,2.75,clarinet1
256.0,257.0,71,B4,1.0,0,129,1.0,clarinet1
257.0,258.0,74,D5,1.0,0,129,2.0,clarinet1
