onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
0.0,1.0,52,E3,1.0,0,1,1.0,doublebass
1.0,2.0,50,D3,1.0,0,1,3.0,doublebass
2.0,3.0,48,C3,1.0,0,2,1.0,doublebass
3.0,4.0,47,B2,1.0,0,2,3.0,doublebass
4.0,5.0,45,A2,1.0,0,3,1.0,doublebass
5.0,5.25,40,E2,0.25,0,3,3.0,doublebass
5.5,5.75,45,A2,0.25,0,3,4.0,doublebass
6.0,6.25,40,E2,0.25,0,4,1.0,doublebass
17.625,17.875,38,D2,0.25,0,9,4.25,doublebass
17.875,18.0,39,E-2,0.125,0,9,4.75,doublebass
18.0,18.125,33,A1,0.125,0,10,1.0,doublebass
19.625,19.875,38,D2,0.25,0,10,4.25,doublebass
19.875,20.0,39,E-2,0.125,0,10,4.75,doublebass
20.0,20.125,33,A1,0.125,0,11,1.0,doublebass
21.625,21.875,38,D2,0.25,0,11,4.25,doublebass
21.875,22.0,39,E-2,0.125,0,11,4.75,doublebass
22.0,22.125,33,A1,0.125,0,12,1.0,doublebass
22.625,22.875,38,D2,0.25,0,12,2.25,doublebass
22.875,23.0,39,E-2,0.125,0,12,2.75,doublebass
23.0,23.125,33,A1,0.125,0,12,3.0,doublebass
23.625,23.875,38,D2,0.25,0,12,4.25,doublebass
23.875,24.0,39,E-2,0.125,0,12,4.75,doublebass
24.0,25.0,33,A1,1.0,0,13,1.0,doublebass
25.0,25.5,36,C2,0.5,0,13,3.0,doublebass
25.5,26.0,27,E-1,0.5,0,13,4.0,doublebass
26.0,27.0,30,F#1,1.0,0,14,1.0,doublebass
27.0,27.5,29,F1,0.5,0,14,3.0,doublebass
27.5,28.0,27,E-1,0.5,0,14,4.0,doublebass
28.0,28.5,34,B-1,0.5,0,15,1.0,doublebass
28.5,29.0,34,B-1,0.5,0,15,2.0,doublebass
29.0,29.5,34,B-1,0.5,0,15,3.0,doublebass
29.5,30.0,34,B-1,0.5,0,15,4.0,doublebass
30.0,30.125,34,B-1,0.125,0,16,1.0,doublebass
32.0,32.5,34,B-1,0.5,0,17,1.0,doublebass
32.5,33.0,34,B-1,0.5,0,17,2.0,doublebass
33.0,33.5,34,B-1,0.5,0,17,3.0,doublebass
33.5,34.0,34,B-1,0.5,0,17,4.0,doublebass
34.0,34.125,34,B-1,0.125,0,18,1.0,doublebass
36.0,36.125,35,B1,0.125,0,19,1.0,doublebass
37.0,37.125,35,B1,0.125,0,19,3.0,doublebass
38.0,38.125,35,B1,0.125,0,20,1.0,doublebass
39.0,39.125,36,C2,0.125,0,20,3.0,doublebass
40.0,40.25,36,C2,0.25,0,21,1.0,doublebass
40.25,40.5,55,G3,0.25,0,21,1.5,doublebass
40.5,40.75,52,E3,0.25,0,21,2.0,doublebass
40.75,41.0,48,C3,0.25,0,21,2.5,doublebass
41.0,41.25,46,B-2,0.25,0,21,3.0,doublebass
41.25,41.5,43,G2,0.25,0,21,3.5,doublebass
41.5,41.66666666666666,40,E2,0.1666666666666666,0,21,4.0,doublebass
41.66666666666666,41.83333333333333,37,C#2,0.1666666666666666,0,21,4.333333333333333,doublebass
41.833333333333336,42.0,34,B-1,0.1666666666666666,0,21,4.666666666666667,doublebass
42.0,42.125,35,B1,0.125,0,22,1.0,doublebass
42.5,42.625,35,B1,0.125,0,22,2.0,doublebass
46.0,47.0,40,E2,1.0,0,24,1.0,doublebass
50.0,51.0,36,C2,1.0,0,26,1.0,doublebass
52.0,53.0,40,E2,1.0,0,27,1.0,doublebass
54.0,55.0,40,E2,1.0,0,28,1.0,doublebass
55.5,56.0,35,B1,0.5,0,28,2.5,doublebass
56.0,57.0,40,E2,1.0,0,29,1.0,doublebass
57.5,58.0,35,B1,0.5,0,29,2.5,doublebass
58.0,59.0,40,E2,1.0,0,30,1.0,doublebass
59.5,60.0,35,B1,0.5,0,30,2.5,doublebass
60.0,61.0,40,E2,1.0,0,31,1.0,doublebass
62.0,63.0,40,E2,1.0,0,32,1.0,doublebass
64.0,65.0,40,E2,1.0,0,33,1.0,doublebass
66.0,67.0,36,C2,1.0,0,34,1.0,doublebass
68.0,69.0,43,G2,1.0,0,35,1.0,doublebass
70.0,71.0,43,G2,1.0,0,36,1.0,doublebass
71.5,72.0,38,D2,0.5,0,36,2.5,doublebass
72.0,73.0,43,G2,1.0,0,37,1.0,doublebass
73.5,74.0,38,D2,0.5,0,37,2.5,doublebass
74.0,75.0,43,G2,1.0,0,38,1.0,doublebass
75.5,76.0,38,D2,0.5,0,38,2.5,doublebass
76.0,77.5,35,B1,1.5,0,39,1.0,doublebass
77.5,78.0,39,E-2,0.5,0,39,2.5,doublebass
78.0,78.5,42,F#2,0.5,0,40,1.0,doublebass
78.5,80.0,47,B2,1.5,0,40,1.5,doublebass
