onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
36.0,36.125,47,B2,0.125,0,19,1.0,trombone4
37.0,37.125,47,B2,0.125,0,19,3.0,trombone4
38.0,38.125,47,B2,0.125,0,20,1.0,trombone4
39.0,39.125,48,C3,0.125,0,20,3.0,trombone4
40.0,40.125,48,C3,0.125,0,21,1.0,trombone4
41.625,41.75,52,E3,0.125,0,21,4.25,trombone4
41.75,41.875,49,C#3,0.125,0,21,4.5,trombone4
41.875,42.0,46,A#2,0.125,0,21,4.75,trombone4
42.0,42.125,47,B2,0.125,0,22,1.0,trombone4
42.5,42.625,47,B2,0.125,0,22,2.0,trombone4
76.0,78.5,47,B2,2.5,0,39,1.0,trombone4
80.0,82.5,52,E3,2.5,0,41,1.0,trombone4
84.0,86.5,51,D#3,2.5,0,43,1.0,trombone4
88.0,90.5,52,E3,2.5,0,45,1.0,trombone4
116.0,117.5,40,E2,1.5,0,59,1.0,trombone4
117.5,118.0,43,G2,0.5,0,59,2.5,trombone4
118.0,118.5,47,B2,0.5,0,60,1.0,trombone4
118.5,120.0,52,E3,1.5,0,60,1.5,trombone4
120.0,121.0,55,G3,1.0,0,61,1.0,trombone4
121.0,121.5,52,E3,0.5,0,61,2.0,trombone4
121.5,122.0,48,C3,0.5,0,61,2.5,trombone4
122.0,122.5,47,B2,0.5,0,62,1.0,trombone4
122.5,124.0,40,E2,1.5,0,62,1.5,trombone4
124.0,125.0,52,E3,1.0,0,63,1.0,trombone4
125.5,126.0,47,B2,0.5,0,63,2.5,trombone4
126.0,127.0,52,E3,1.0,0,64,1.0,trombone4
127.5,128.0,47,B2,0.5,0,64,2.5,trombone4
128.0,128.5,52,E3,0.5,0,65,1.0,trombone4
130.0,131.0,45,A2,1.0,0,66,1.0,trombone4
131.5,132.0,52,E3,0.5,0,66,2.5,trombone4
132.0,133.0,52,E3,1.0,0,67,1.0,trombone4
135.5,136.0,45,A2,0.5,0,68,2.5,trombone4
136.0,137.0,50,D3,1.0,0,69,1.0,trombone4
139.5,140.0,50,D3,0.5,0,70,2.5,trombone4
140.0,141.0,43,G2,1.0,0,71,1.0,trombone4
143.5,144.0,43,G2,0.5,0,72,2.5,trombone4
144.0,146.0,49,C#3,2.0,0,73,1.0,trombone4
148.0,150.0,48,C3,2.0,0,75,1.0,trombone4
340.0,341.5,55,G3,1.5,0,171,1.0,trombone4
341.5,342.0,55,G3,0.5,0,171,2.5,trombone4
342.0,342.5,52,E3,0.5,0,172,1.0,trombone4
342.5,344.0,50,D3,1.5,0,172,1.5,trombone4
344.0,344.75,55,G3,0.75,0,173,1.0,trombone4
344.75,345.0,59,B3,0.25,0,173,1.75,trombone4
345.0,345.5,50,D3,0.5,0,173,2.0,trombone4
346.0,346.5,50,D3,0.5,0,174,1.0,trombone4
347.5,348.0,50,D3,0.5,0,174,2.5,trombone4
348.0,348.5,55,G3,0.5,0,175,1.0,trombone4
348.5,349.0,50,D3,0.5,0,175,1.5,trombone4
349.0,349.5,55,G3,0.5,0,175,2.0,trombone4
349.5,350.0,50,D3,0.5,0,175,2.5,trombone4
350.0,350.5,55,G3,0.5,0,176,1.0,trombone4
350.5,351.0,50,D3,0.5,0,176,1.5,trombone4
351.0,351.5,55,G3,0.5,0,176,2.0,trombone4
351.5,352.0,50,D3,0.5,0,176,2.5,trombone4
352.0,352.5,55,G3,0.5,0,177,1.0,trombone4
353.0,353.5,50,D3,0.5,0,177,2.0,trombone4
354.0,354.5,47,B2,0.5,0,178,1.0,trombone4
390.0,392.5,47,B2,2.5,0,196,1.0,trombone4
394.0,396.5,52,E3,2.5,0,198,1.0,trombone4
398.0,400.5,51,D#3,2.5,0,200,1.0,trombone4
402.0,404.5,52,E3,2.5,0,202,1.0,trombone4
430.0,431.5,40,E2,1.5,0,216,1.0,trombone4
431.5,432.0,43,G2,0.5,0,216,2.5,trombone4
432.0,432.5,47,B2,0.5,0,217,1.0,trombone4
432.5,434.0,52,E3,1.5,0,217,1.5,trombone4
434.0,435.0,55,G3,1.0,0,218,1.0,trombone4
435.0,435.5,52,E3,0.5,0,218,2.0,trombone4
435.5,436.0,48,C3,0.5,0,218,2.5,trombone4
436.0,436.5,47,B2,0.5,0,219,1.0,trombone4
436.5,438.0,40,E2,1.5,0,219,1.5,trombone4
438.0,439.0,52,E3,1.0,0,220,1.0,trombone4
439.5,440.0,47,B2,0.5,0,220,2.5,trombone4
440.0,441.0,52,E3,1.0,0,221,1.0,trombone4
441.5,442.0,47,B2,0.5,0,221,2.5,trombone4
442.0,442.5,52,E3,0.5,0,222,1.0,trombone4
444.0,445.0,45,A2,1.0,0,223,1.0,trombone4
445.5,446.0,52,E3,0.5,0,223,2.5,trombone4
446.0,447.0,52,E3,1.0,0,224,1.0,trombone4
449.5,450.0,45,A2,0.5,0,225,2.5,trombone4
450.0,451.0,50,D3,1.0,0,226,1.0,trombone4
453.5,454.0,50,D3,0.5,0,227,2.5,trombone4
454.0,455.0,43,G2,1.0,0,228,1.0,trombone4
457.5,458.0,43,G2,0.5,0,229,2.5,trombone4
458.0,460.0,49,C#3,2.0,0,230,1.0,trombone4
462.0,464.0,48,C3,2.0,0,232,1.0,trombone4
654.0,655.5,55,G3,1.5,0,328,1.0,trombone4
655.5,656.0,55,G3,0.5,0,328,2.5,trombone4
656.0,656.5,52,E3,0.5,0,329,1.0,trombone4
656.5,658.0,50,D3,1.5,0,329,1.5,trombone4
658.0,658.75,55,G3,0.75,0,330,1.0,trombone4
658.75,659.0,59,B3,0.25,0,330,1.75,trombone4
659.0,659.5,50,D3,0.5,0,330,2.0,trombone4
660.0,660.5,50,D3,0.5,0,331,1.0,trombone4
661.5,662.0,50,D3,0.5,0,331,2.5,trombone4
662.0,662.5,55,G3,0.5,0,332,1.0,trombone4
662.5,663.0,50,D3,0.5,0,332,1.5,trombone4
