onset,offset,role
36,44,rhythm+harm
76,92,harm
104,124,rhythm
124,130,rhythm+harm
144,146,rhythm+harm
148,150,rhythm+harm
340,347,harm
347,352,rhythm
352,356,rhythm+harm
390,406,harm
418,438,rhythm
438,444,rhythm+harm
458,460,rhythm+harm
462,464,rhythm+harm
654,661,harm
661,666,rhythm
666,668,rhythm+harm
672,676,rhythm
680,684,rhythm
704,709,mel
709,730,rhythm
730,738,mel
738,748,harm
754,762,harm
762,770,rhythm+harm
778,786,harm
786,794,rhythm
794,802,harm
802,810,rhythm
810,827,rhythm+harm
888,904,harm
904,910,rhythm+harm
1104,1120,mel
1120,1128,rhythm+harm
1128,1136,harm
1136,1152,rhythm
1152,1180,rhythm+harm
1180,1184,rhythm
1184,1192,harm
1192,1200,rhythm
1200,1210,rhythm+harm
