ï»¿onset,offset,role,instrument
0,16,harm,English horn
0,16,harm,bassoon
0,16,harm,horn12
0,16,harm,horn34
0,16,mel,trumpet
0,16,harm,trombone1
0,16,mel,trombone2
0,16,harm,trombone3
0,16,harm,tuba
14,16,rhythm,timpani
16,71,harm,violin1
16,71,harm,violin2
16,71,harm,viola
16,71,harm,violoncello
16,25,harm,doublebass
24,71,mel,English horn
40,56,mel,clarinet1
40,56,mel,clarinet2
56,72,harm,doublebass
64,72,mel,bassoon
72,79,mel,clarinet1
72,79,mel,clarinet2
84,100,harm,oboe1
84,100,harm,oboe2
72,100,harm,bassoon
80,100,harm,clarinet1
80,100,harm,clarinet2
80,85,harm,horn34
82,100,mel,flute1
82,100,mel,flute2
90,97,mel,horn12
98,102,harm,horn12
98,102,harm,horn34
98,102,mel,trumpet
98,102,harm,trombone1
98,102,harm,trombone2
98,102,harm,trombone3
98,102,rhythm,timpani
80,83,mel,violoncello
102,140,mel,violin1
102,140,harm,violin2
102,140,mel,violoncello
102,108,harm,viola
108,112,mel,viola
112,116,harm,viola
116,140,mel,viola
102,155,harm,doublebass
140,155,mel,English horn
140,145,harm,violin1
145,148,mel,violin1
148,155,harm,violin1
140,145,harm,violin2
145,148,mel,violin2
148,155,harm,violin2
148,155,mel,bassoon
140,155,harm,viola
140,155,harm,violoncello
156,159,mel,clarinet1
156,159,mel,clarinet2
156,159,harm,bassoon
160,164,mel,violin1
160,164,harm,violin2
160,168,harm,viola
160,176,harm,violoncello
164,180,mel,horn12
164,172,harm,violin1
180,211,mel,flute1
180,211,mel,flute2
180,284,mel,oboe1
180,236,mel,oboe2
236,252,harm,oboe2
252,284,mel,oboe2
180,211,rhythm+harm,violin2
211,212,harm,violin2
180,207,rhythm+harm,viola
204,211,harm,clarinet1
204,211,harm,clarinet2
204,211,harm,horn12
204,209,harm,violoncello
208,212,mel,viola
210,212,mel,violoncello
212,236,mel,clarinet1
212,224,mel,clarinet2
224,232,harm,clarinet2
212,251,rhythm,violin1
212,252,mel+rhythm,doublebass
224,284,mel,flute1
224,228,mel,flute2
228,252,harm,flute2
252,284,mel,flute2
229,230,harm,violin2
236,251,harm,clarinet1
236,251,harm,clarinet2
252,284,rhythm,clarinet1
252,284,rhythm,clarinet2
252,356,mel,violin1
252,284,rhythm+harm,violin2
252,284,rhythm+harm,violoncello
288,304,harm,violin2
288,292,harm,viola
292,304,mel,viola
302,307,rhythm,violoncello
304,308,harm,doublebass
308,311,harm,clarinet1
312,320,mel,clarinet1
320,344,harm,clarinet1
308,344,harm,clarinet2
308,343,rhythm+harm,violin2
308,343,rhythm,viola
308,343,mel+rhythm,violoncello
344,356,harm,violin2
344,356,harm,viola
344,371,harm,violoncello
344,356,harm,doublebass
356,360,mel+rhythm,oboe1
356,360,mel+rhythm,oboe2
360,364,mel,flute1
360,364,mel,flute2
360,364,harm,oboe1
360,364,harm,oboe2
360,364,mel+rhythm,clarinet1
360,364,mel+rhythm,clarinet2
364,368,mel+rhythm,flute1
364,368,mel+rhythm,flute2
364,368,mel,oboe1
364,368,mel,oboe2
364,368,rhythm,clarinet1
364,368,rhythm,clarinet2
364,368,harm,violin2
360,375,harm,viola
360,371,harm,violoncello
368,380,rhythm,flute1
368,380,rhythm,flute2
368,380,rhythm,oboe1
368,380,rhythm,oboe2
368,371,mel,clarinet1
368,371,mel,clarinet2
372,380,rhythm,clarinet1
372,380,rhythm,clarinet2
372,380,rhythm,bassoon
368,371,mel+rhythm,violin1
368,371,mel+rhythm,violin2
372,375,mel,violin1
372,375,mel,violin2
372,380,mel+rhythm,violoncello
372,380,mel+rhythm,doublebass
376,382,rhythm,violin1
376,382,rhythm,violin2
376,380,mel,viola
376,399,mel,trumpet
380,384,harm,flute1
380,384,harm,flute2
380,384,harm,oboe1
380,384,harm,oboe2
380,384,harm,clarinet1
380,384,harm,clarinet2
380,384,harm,bassoon
380,382,harm,horn12
380,387,harm,horn34
383,387,mel,horn12
380,388,mel,trombone1
380,388,mel,trombone2
380,387,mel,trombone3
380,400,rhythm+harm,timpani
383,400,mel,violin1
383,400,mel,violin2
380,392,rhythm+harm,viola
380,392,rhythm+harm,violoncello
380,392,rhythm+harm,doublebass
385,392,rhythm+harm,flute1
385,392,rhythm+harm,flute2
385,392,rhythm+harm,oboe1
385,392,rhythm+harm,oboe2
385,392,rhythm+harm,clarinet1
385,392,rhythm+harm,clarinet2
385,392,rhythm+harm,bassoon
392,396,harm,flute1
392,396,harm,flute2
392,396,harm,oboe1
392,396,harm,oboe2
392,396,harm,clarinet1
392,396,harm,clarinet2
392,396,harm,bassoon
392,396,harm,viola
392,396,harm,violoncello
392,400,harm,doublebass
396,400,mel,viola
396,400,mel,violoncello
400,418,mel,English horn
400,402,harm,trumpet
400,415,harm,violin1
400,415,harm,violin2
400,415,harm,viola
400,415,harm,violoncello
416,435,harm,doublebass
416,436,mel,violin1
416,435,mel,viola
416,435,rhythm+harm,violin2
436,452,mel,violin1
436,443,harm,viola
436,448,mel,violoncello
444,452,harm,violin2
444,448,mel,viola
444,452,harm,doublebass
448,452,harm,viola
448,452,harm,violoncello
450,455,mel,oboe1
450,455,mel,oboe2
452,460,mel,clarinet1
452,460,mel,clarinet2
452,464,harm,bassoon
454,464,harm,horn12
460,464,harm,clarinet1
460,464,harm,clarinet2
454,476,mel,violin1
476,496,harm,bassoon
