onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,2.0,47,B2,2.0,0,1,1.0,bassoon1
2.0,4.0,46,B-2,2.0,0,1,3.0,bassoon1
4.0,6.0,47,B2,2.0,0,2,1.0,bassoon1
6.0,8.0,44,A-2,2.0,0,2,3.0,bassoon1
8.0,10.0,49,D-3,2.0,0,3,1.0,bassoon1
10.0,12.0,54,G-3,2.0,0,3,3.0,bassoon1
12.0,16.5,49,D-3,4.5,0,4,1.0,bassoon1
64.0,64.75,53,F3,0.75,0,17,1.0,bassoon1
64.75,65.0,56,A-3,0.25,0,17,1.75,bassoon1
65.0,66.0,56,A-3,1.0,0,17,2.0,bassoon1
66.0,66.75,61,D-4,0.75,0,17,3.0,bassoon1
66.75,67.0,63,E-4,0.25,0,17,3.75,bassoon1
67.0,68.0,65,F4,1.0,0,17,4.0,bassoon1
68.0,68.75,63,E-4,0.75,0,18,1.0,bassoon1
68.75,69.0,61,D-4,0.25,0,18,1.75,bassoon1
69.0,69.5,63,E-4,0.5,0,18,2.0,bassoon1
69.5,70.0,58,B-3,0.5,0,18,2.5,bassoon1
70.0,72.0,61,D-4,2.0,0,18,3.0,bassoon1
72.0,74.0,61,D-4,2.0,0,19,1.0,bassoon1
74.0,76.0,56,A-3,2.0,0,19,3.0,bassoon1
76.0,80.0,61,D-4,4.0,0,20,1.0,bassoon1
80.0,84.0,56,A-3,4.0,0,21,1.0,bassoon1
84.0,86.0,61,D-4,2.0,0,22,1.0,bassoon1
86.0,88.0,59,B3,2.0,0,22,3.0,bassoon1
88.0,90.0,61,D-4,2.0,0,23,1.0,bassoon1
90.0,92.0,58,B-3,2.0,0,23,3.0,bassoon1
92.0,94.0,66,G-4,2.0,0,24,1.0,bassoon1
94.0,96.0,63,E-4,2.0,0,24,3.0,bassoon1
96.0,101.0,61,D-4,5.0,0,25,1.0,bassoon1
146.0,146.75,53,F3,0.75,0,38,3.0,bassoon1
146.75,147.0,56,A-3,0.25,0,38,3.75,bassoon1
147.0,148.0,56,A-3,1.0,0,38,4.0,bassoon1
148.0,148.75,61,D-4,0.75,0,38,1.0,bassoon1
148.75,149.0,63,E-4,0.25,0,38,1.75,bassoon1
149.0,150.0,65,F4,1.0,0,38,2.0,bassoon1
150.0,150.75,63,E-4,0.75,0,39,3.0,bassoon1
150.75,151.0,61,D-4,0.25,0,39,3.75,bassoon1
151.0,151.5,63,E-4,0.5,0,39,4.0,bassoon1
151.5,152.0,58,B-3,0.5,0,39,4.5,bassoon1
152.0,154.0,61,D-4,2.0,0,39,1.0,bassoon1
154.0,156.0,61,D-4,2.0,0,40,1.0,bassoon1
156.0,158.0,56,A-3,2.0,0,40,3.0,bassoon1
202.0,203.0,61,C#4,1.0,0,52,1.0,bassoon1
203.0,204.0,59,B3,1.0,0,52,2.0,bassoon1
204.0,206.0,57,A3,2.0,0,52,3.0,bassoon1
206.0,210.0,49,C#3,4.0,0,53,1.0,bassoon1
370.0,370.1666666666667,56,G#3,1/6,0,94,1.0,bassoon1
2221/6,1111/3,56,G#3,1/6,0,94,7/6,bassoon1
1111/3,741/2,56,G#3,1/6,0,94,4/3,bassoon1
370.5,370.6666666666667,56,G#3,1/6,0,94,1.5,bassoon1
1112/3,2225/6,56,G#3,1/6,0,94,5/3,bassoon1
2225/6,2227/6,56,G#3,1/3,0,94,11/6,bassoon1
2227/6,1114/3,56,G#3,1/6,0,94,13/6,bassoon1
1114/3,743/2,56,G#3,1/6,0,94,7/3,bassoon1
371.5,371.6666666666667,56,G#3,1/6,0,94,2.5,bassoon1
1115/3,2231/6,56,G#3,1/6,0,94,8/3,bassoon1
2231/6,2233/6,56,G#3,1/3,0,94,17/6,bassoon1
2233/6,1117/3,56,G#3,1/6,0,94,19/6,bassoon1
1117/3,745/2,56,G#3,1/6,0,94,10/3,bassoon1
