onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,2.0,56,G#3,2.0,0,1,1.0,trombone1
2.0,4.0,53,F3,2.0,0,1,3.0,trombone1
4.0,6.0,56,G#3,2.0,0,2,1.0,trombone1
6.0,8.0,53,F3,2.0,0,2,3.0,trombone1
8.0,10.0,52,F-3,2.0,0,3,1.0,trombone1
10.0,12.0,57,B--3,2.0,0,3,3.0,trombone1
12.0,16.5,56,A-3,4.5,0,4,1.0,trombone1
98.0,102.5,61,D-4,4.5,0,25,3.0,trombone1
366.0,368.0,61,C#4,2.0,0,93,3.0,trombone1
378.0,378.75,49,C#3,0.75,0,96,1.0,trombone1
378.75,379.0,52,E3,0.25,0,96,1.75,trombone1
379.0,379.25,57,A3,0.25,0,96,2.0,trombone1
379.25,380.0,61,C#4,0.75,0,96,2.25,trombone1
380.0,381.5,64,E4,1.5,0,96,3.0,trombone1
384.0,384.75,49,C#3,0.75,0,97,3.0,trombone1
384.75,385.0,52,E3,0.25,0,97,3.75,trombone1
385.0,385.25,57,A3,0.25,0,97,4.0,trombone1
385.25,386.0,61,C#4,0.75,0,97,4.25,trombone1
386.0,387.5,64,E4,1.5,0,98,1.0,trombone1
394.0,396.0,61,C#4,2.0,0,100,3.0,trombone1
414.0,416.0,63,E-4,2.0,0,105,3.0,trombone1
438.0,440.0,63,E-4,2.0,0,111,3.0,trombone1
474.0,476.0,61,D-4,2.0,0,120,1.0,trombone1
476.0,478.0,62,D4,2.0,0,120,3.0,trombone1
478.0,480.0,61,D-4,2.0,0,121,1.0,trombone1
480.0,482.0,62,D4,2.0,0,121,3.0,trombone1
482.0,484.0,61,D-4,2.0,0,122,1.0,trombone1
484.0,486.0,63,E-4,2.0,0,122,3.0,trombone1
486.0,490.0,61,D-4,4.0,0,123,1.0,trombone1
486.0,490.0,65,F4,4.0,0,123,1.0,trombone1
