onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
16.0,18.0,56,A-3,2.0,0,5,1.0,viola
16.0,18.0,53,F3,2.0,0,5,1.0,viola
18.0,20.5,56,A-3,2.5,0,5,3.0,viola
18.0,20.5,53,F3,2.5,0,5,3.0,viola
20.5,21.0,56,A-3,0.5,0,6,1.5,viola
20.5,21.0,51,E-3,0.5,0,6,1.5,viola
21.0,24.0,56,A-3,3.0,0,6,2.0,viola
21.0,24.0,53,F3,3.0,0,6,2.0,viola
24.0,26.0,53,F3,2.0,0,7,1.0,viola
24.0,26.0,56,A-3,2.0,0,7,1.0,viola
26.0,28.0,53,F3,2.0,0,7,3.0,viola
24.0,28.0,49,D-3,4.0,0,7,1.0,viola
28.0,32.0,51,E-3,4.0,0,8,1.0,viola
28.0,32.0,54,G-3,4.0,0,8,1.0,viola
32.0,34.0,53,F3,2.0,0,9,1.0,viola
32.0,34.0,49,D-3,2.0,0,9,1.0,viola
34.0,36.0,53,F3,2.0,0,9,3.0,viola
34.0,36.0,53,F3,2.0,0,9,3.0,viola
36.0,38.0,54,G-3,2.0,0,10,1.0,viola
36.0,38.0,54,G-3,2.0,0,10,1.0,viola
38.0,40.0,53,F3,2.0,0,10,3.0,viola
38.0,40.0,49,D-3,2.0,0,10,3.0,viola
40.0,48.0,49,D-3,8.0,0,11,1.0,viola
48.0,56.0,49,D-3,8.0,0,13,1.0,viola
56.0,60.0,49,D-3,4.0,0,15,1.0,viola
56.0,60.0,53,F3,4.0,0,15,1.0,viola
60.0,61.0,54,G-3,1.0,0,16,1.0,viola
61.0,61.75,51,E-3,0.75,0,16,2.0,viola
61.75,62.0,53,F3,0.25,0,16,2.75,viola
62.0,64.0,54,G-3,2.0,0,16,3.0,viola
64.0,65.0,53,F3,1.0,0,17,1.0,viola
65.0,66.0,51,E-3,1.0,0,17,2.0,viola
66.0,68.0,53,F3,2.0,0,17,3.0,viola
