onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
16.0,18.0,61,D-4,2.0,0,5,1.0,violin2
18.0,20.5,61,D-4,2.5,0,5,3.0,violin2
20.5,21.0,60,C4,0.5,0,6,1.5,violin2
21.0,24.0,61,D-4,3.0,0,6,2.0,violin2
24.0,26.0,61,D-4,2.0,0,7,1.0,violin2
26.0,32.0,56,A-3,6.0,0,7,3.0,violin2
32.0,34.0,56,A-3,2.0,0,9,1.0,violin2
34.0,36.0,57,A3,2.0,0,9,3.0,violin2
36.0,37.0,58,B-3,1.0,0,10,1.0,violin2
37.0,38.0,60,C4,1.0,0,10,2.0,violin2
38.0,40.0,61,D-4,2.0,0,10,3.0,violin2
40.0,42.0,58,B-3,2.0,0,11,1.0,violin2
42.0,43.0,56,A-3,1.0,0,11,3.0,violin2
43.0,44.0,58,B-3,1.0,0,11,4.0,violin2
44.0,45.0,58,B-3,1.0,0,12,1.0,violin2
45.0,46.0,56,A-3,1.0,0,12,2.0,violin2
46.0,48.0,58,B-3,2.0,0,12,3.0,violin2
48.0,50.0,58,B-3,2.0,0,13,1.0,violin2
50.0,51.0,56,A-3,1.0,0,13,3.0,violin2
51.0,52.0,58,B-3,1.0,0,13,4.0,violin2
52.0,53.0,58,B-3,1.0,0,14,1.0,violin2
53.0,54.0,56,A-3,1.0,0,14,2.0,violin2
54.0,56.0,58,B-3,2.0,0,14,3.0,violin2
56.0,60.0,56,A-3,4.0,0,15,1.0,violin2
60.0,64.0,56,A-3,4.0,0,16,1.0,violin2
64.0,66.0,56,A-3,2.0,0,17,1.0,violin2
66.0,68.0,61,D-4,2.0,0,17,3.0,violin2
68.0,69.5,61,D-4,1.5,0,18,1.0,violin2
69.5,70.0,58,B-3,0.5,0,18,2.5,violin2
70.0,72.0,56,A-3,2.0,0,18,3.0,violin2
102.0,108.0,68,A-4,6.0,0,26,3.0,violin2
108.0,112.0,65,F4,4.0,0,28,1.0,violin2
112.0,116.0,68,A-4,4.0,0,29,1.0,violin2
116.0,118.5,65,F4,2.5,0,30,1.0,violin2
118.5,119.5,65,F4,1.0,0,30,3.5,violin2
119.5,120.0,65,F4,0.5,0,30,4.5,violin2
120.0,122.5,65,F4,2.5,0,31,1.0,violin2
122.5,123.5,65,F4,1.0,0,31,3.5,violin2
123.5,132.0,65,F4,8.5,0,31,4.5,violin2
132.0,134.0,65,F4,2.0,0,34,1.0,violin2
134.0,135.0,65,F4,1.0,0,35,1.0,violin2
135.0,136.0,66,G-4,1.0,0,35,2.0,violin2
136.0,138.0,64,E4,2.0,0,35,3.0,violin2
136.0,138.0,67,G4,2.0,0,35,3.0,violin2
138.0,139.0,68,A-4,1.0,0,36,3.0,violin2
138.0,139.0,65,F4,1.0,0,36,3.0,violin2
139.0,140.0,65,F4,1.0,0,36,4.0,violin2
139.0,140.0,61,D-4,1.0,0,36,4.0,violin2
140.0,142.0,61,D-4,2.0,0,36,1.0,violin2
140.0,142.0,61,D-4,2.0,0,36,1.0,violin2
142.0,144.5,60,C4,2.5,0,37,1.0,violin2
144.5,145.0,66,G-4,0.5,0,37,3.5,violin2
145.0,145.5,65,F4,0.5,0,37,4.0,violin2
145.5,146.0,63,E-4,0.5,0,37,4.5,violin2
146.0,148.0,56,A-3,2.0,0,38,1.0,violin2
148.0,150.0,61,D-4,2.0,0,38,3.0,violin2
150.0,152.0,58,B-3,2.0,0,39,1.0,violin2
152.0,154.0,61,D-4,2.0,0,39,3.0,violin2
158.0,161.0,70,B-4,3.0,0,41,1.0,violin2
161.0,162.0,63,E-4,1.0,0,41,4.0,violin2
162.0,163.0,65,F4,1.0,0,42,1.0,violin2
178.0,180.0,68,G#4,2.0,0,46,1.0,violin2
180.0,182.0,66,F#4,2.0,0,46,3.0,violin2
182.0,184.0,68,G#4,2.0,0,47,1.0,violin2
184.0,186.0,66,F#4,2.0,0,47,3.0,violin2
186.0,187.0,63,D#4,1.0,0,48,1.0,violin2
187.0,189.0,64,E4,2.0,0,48,2.0,violin2
189.0,190.0,63,D#4,1.0,0,48,4.0,violin2
190.0,192.0,68,G#4,2.0,0,49,1.0,violin2
192.0,194.0,68,G#4,2.0,0,49,3.0,violin2
194.0,196.0,68,G#4,2.0,0,50,1.0,violin2
196.0,198.0,66,F#4,2.0,0,50,3.0,violin2
198.0,200.0,68,G#4,2.0,0,51,1.0,violin2
200.0,202.0,66,F#4,2.0,0,51,3.0,violin2
202.0,204.0,61,C#4,2.0,0,52,1.0,violin2
202.0,204.0,64,E4,2.0,0,52,1.0,violin2
204.0,206.0,61,C#4,2.0,0,52,3.0,violin2
204.0,206.0,64,E4,2.0,0,52,3.0,violin2
206.0,210.0,61,C#4,4.0,0,53,1.0,violin2
206.0,210.0,64,E4,4.0,0,53,1.0,violin2
206.0,210.0,68,G#4,4.0,0,53,1.0,violin2
210.0,210.5,61,C#4,0.5,0,54,1.0,violin2
210.0,210.5,64,E4,0.5,0,54,1.0,violin2
210.0,210.5,68,G#4,0.5,0,54,1.0,violin2
227.0,228.0,61,C#4,1.0,0,58,2.0,violin2
227.0,228.0,64,E4,1.0,0,58,2.0,violin2
228.0,229.0,61,C#4,1.0,0,58,3.0,violin2
228.0,229.0,64,E4,1.0,0,58,3.0,violin2
250.0,252.0,68,G#4,2.0,0,64,1.0,violin2
252.0,254.0,66,F#4,2.0,0,64,3.0,violin2
254.0,256.0,68,G#4,2.0,0,65,1.0,violin2
256.0,258.0,66,F#4,2.0,0,65,3.0,violin2
258.0,259.0,63,D#4,1.0,0,66,1.0,violin2
259.0,261.0,64,E4,2.0,0,66,2.0,violin2
261.0,262.0,63,D#4,1.0,0,66,4.0,violin2
262.0,263.0,64,E4,1.0,0,67,1.0,violin2
263.0,266.0,68,G#4,3.0,0,67,2.0,violin2
266.0,268.0,68,G#4,2.0,0,68,1.0,violin2
268.0,270.0,67,G4,2.0,0,68,3.0,violin2
268.0,270.0,69,A4,2.0,0,68,3.0,violin2
270.0,272.0,68,G#4,2.0,0,69,1.0,violin2
272.0,274.0,67,G4,2.0,0,69,3.0,violin2
272.0,274.0,69,A4,2.0,0,69,3.0,violin2
274.0,276.0,66,F#4,2.0,0,70,1.0,violin2
274.0,276.0,69,A4,2.0,0,70,1.0,violin2
276.0,278.0,69,A4,2.0,0,70,3.0,violin2
278.0,280.0,76,E5,2.0,0,71,1.0,violin2
280.0,281.5,73,C#5,1.5,0,71,3.0,violin2
281.5,281.625,76,E5,0.125,0,71,4.5,violin2
281.625,281.75,76,E5,0.125,0,71,4.625,violin2
281.75,281.875,76,E5,0.125,0,71,4.75,violin2
281.875,282.0,76,E5,0.125,0,71,4.875,violin2
282.0,282.5,72,B#4,0.5,0,72,1.0,violin2
282.0,282.5,78,F#5,0.5,0,72,1.0,violin2
286.0,288.0,72,B#4,2.0,0,73,1.0,violin2
288.0,290.0,69,A4,2.0,0,73,3.0,violin2
290.0,292.0,71,B4,2.0,0,74,1.0,violin2
292.0,294.0,67,G4,2.0,0,74,3.0,violin2
292.0,294.0,70,A#4,2.0,0,74,3.0,violin2
294.0,297.0,66,F#4,3.0,0,75,1.0,violin2
294.0,297.0,69,A4,3.0,0,75,1.0,violin2
297.0,298.0,64,E4,1.0,0,75,4.0,violin2
298.0,302.5,63,D#4,4.5,0,76,1.0,violin2
307.5,308.0,56,G#3,0.5,0,78,2.5,violin2
307.5,308.0,64,E4,0.5,0,78,2.5,violin2
309.5,310.0,56,G#3,0.5,0,78,4.5,violin2
309.5,310.0,64,E4,0.5,0,78,4.5,violin2
311.5,312.0,57,A3,0.5,0,79,2.5,violin2
311.5,312.0,66,F#4,0.5,0,79,2.5,violin2
313.5,314.0,57,A3,0.5,0,79,4.5,violin2
313.5,314.0,66,F#4,0.5,0,79,4.5,violin2
315.5,316.0,56,G#3,0.5,0,80,2.5,violin2
315.5,316.0,68,G#4,0.5,0,80,2.5,violin2
317.5,318.0,64,E4,0.5,0,80,4.5,violin2
317.5,318.0,73,C#5,0.5,0,80,4.5,violin2
319.5,320.0,61,C#4,0.5,0,81,2.5,violin2
319.5,320.0,69,A4,0.5,0,81,2.5,violin2
321.5,322.0,56,G#3,0.5,0,81,4.5,violin2
321.5,322.0,68,G#4,0.5,0,81,4.5,violin2
323.5,324.0,61,C#4,0.5,0,82,2.5,violin2
323.5,324.0,68,G#4,0.5,0,82,2.5,violin2
325.5,326.0,56,G#3,0.5,0,82,4.5,violin2
325.5,326.0,68,G#4,0.5,0,82,4.5,violin2
327.5,328.0,61,C#4,0.5,0,83,2.5,violin2
327.5,328.0,68,G#4,0.5,0,83,2.5,violin2
329.5,330.0,56,G#3,0.5,0,83,4.5,violin2
329.5,330.0,64,E4,0.5,0,83,4.5,violin2
331.5,332.0,63,D#4,0.5,0,84,2.5,violin2
331.5,332.0,66,F#4,0.5,0,84,2.5,violin2
333.5,334.0,59,B3,0.5,0,84,4.5,violin2
333.5,334.0,68,G#4,0.5,0,84,4.5,violin2
334.0,334.5,57,A3,0.5,0,85,1.0,violin2
334.0,334.5,69,A4,0.5,0,85,1.0,violin2
335.5,336.0,62,D4,0.5,0,85,2.5,violin2
335.5,336.0,74,D5,0.5,0,85,2.5,violin2
336.0,336.5,64,E4,0.5,0,85,3.0,violin2
336.0,336.5,73,C#5,0.5,0,85,3.0,violin2
337.0,337.5,56,G#3,0.5,0,85,4.0,violin2
337.0,337.5,68,G#4,0.5,0,85,4.0,violin2
338.0,338.5,61,C#4,0.5,0,86,1.0,violin2
338.0,338.5,69,A4,0.5,0,86,1.0,violin2
339.5,340.0,61,C#4,0.5,0,86,2.5,violin2
339.5,340.0,69,A4,0.5,0,86,2.5,violin2
341.5,342.0,56,G#3,0.5,0,86,4.5,violin2
341.5,342.0,68,G#4,0.5,0,86,4.5,violin2
342.0,344.0,56,G#3,2.0,0,87,1.0,violin2
344.0,346.0,57,A3,2.0,0,87,3.0,violin2
346.0,348.0,56,G#3,2.0,0,88,1.0,violin2
348.0,350.0,57,A3,2.0,0,88,3.0,violin2
350.0,354.5,56,G#3,4.5,0,89,1.0,violin2
362.0,366.0,61,C#4,4.0,0,92,1.0,violin2
362.0,366.0,68,G#4,4.0,0,92,1.0,violin2
366.0,366.1666666666667,65,E#4,0.1666666666666666,0,93,1.0,violin2
366.1666666666667,366.33333333333337,66,F#4,0.1666666666666666,0,93,1.1666666666666667,violin2
366.3333333333333,366.5,68,G#4,0.1666666666666666,0,93,1.3333333333333333,violin2
366.5,366.6666666666667,65,E#4,0.1666666666666666,0,93,1.5,violin2
366.6666666666667,366.83333333333337,63,D#4,0.1666666666666666,0,93,1.6666666666666667,violin2
366.8333333333333,367.0,61,C#4,0.1666666666666666,0,93,1.8333333333333333,violin2
367.0,367.1666666666667,63,D#4,0.1666666666666666,0,93,2.0,violin2
367.1666666666667,367.33333333333337,65,E#4,0.1666666666666666,0,93,2.1666666666666665,violin2
367.3333333333333,367.5,66,F#4,0.1666666666666666,0,93,2.333333333333333,violin2
367.5,367.6666666666667,65,E#4,0.1666666666666666,0,93,2.5,violin2
367.6666666666667,367.83333333333337,63,D#4,0.1666666666666666,0,93,2.6666666666666665,violin2
367.8333333333333,368.0,61,C#4,0.1666666666666666,0,93,2.833333333333333,violin2
368.0,368.1666666666667,63,D#4,0.1666666666666666,0,93,3.0,violin2
368.1666666666667,368.33333333333337,65,E#4,0.1666666666666666,0,93,3.1666666666666665,violin2
368.3333333333333,368.5,66,F#4,0.1666666666666666,0,93,3.333333333333333,violin2
368.5,368.6666666666667,65,E#4,0.1666666666666666,0,93,3.5,violin2
368.6666666666667,368.83333333333337,68,G#4,0.1666666666666666,0,93,3.6666666666666665,violin2
369.0,369.1666666666667,66,F#4,0.1666666666666666,0,93,4.0,violin2
369.1666666666667,369.33333333333337,65,E#4,0.1666666666666666,0,93,4.166666666666667,violin2
369.3333333333333,369.5,63,D#4,0.1666666666666666,0,93,4.333333333333333,violin2
369.5,369.6666666666667,65,E#4,0.1666666666666666,0,93,4.5,violin2
369.6666666666667,369.83333333333337,61,C#4,0.1666666666666666,0,93,4.666666666666667,violin2
370.0,370.5,68,G#4,0.5,0,94,3.0,violin2
370.0,370.125,68,G#4,0.125,0,94,3.0,violin2
370.125,370.25,70,A#4,0.125,0,94,3.125,violin2
370.25,370.375,68,G#4,0.125,0,94,3.25,violin2
370.375,370.5,70,A#4,0.125,0,94,3.375,violin2
370.5,370.75,73,C#5,0.25,0,94,3.5,violin2
371.0,371.5,72,B#4,0.5,0,94,4.0,violin2
371.5,371.75,73,C#5,0.25,0,94,4.5,violin2
372.0,372.25,78,F#5,0.25,0,94,1.0,violin2
372.25,372.5,75,D#5,0.25,0,94,1.25,violin2
372.5,372.75,73,C#5,0.25,0,94,1.5,violin2
373.0,373.5,72,B#4,0.5,0,94,2.0,violin2
373.5,373.75,73,C#5,0.25,0,94,2.5,violin2
374.0,374.1666666666667,68,G#4,0.1666666666666666,0,95,1.0,violin2
374.1666666666667,374.33333333333337,80,G#5,0.1666666666666666,0,95,1.1666666666666667,violin2
374.3333333333333,374.5,80,G#5,0.1666666666666666,0,95,1.3333333333333333,violin2
374.5,374.6666666666667,80,G#5,0.1666666666666666,0,95,1.5,violin2
374.6666666666667,374.83333333333337,80,G#5,0.1666666666666666,0,95,1.6666666666666667,violin2
374.8333333333333,375.0,80,G#5,0.1666666666666666,0,95,1.8333333333333333,violin2
375.0,375.1666666666667,80,G#5,0.1666666666666666,0,95,2.0,violin2
375.1666666666667,375.33333333333337,80,G#5,0.1666666666666666,0,95,2.1666666666666665,violin2
375.3333333333333,375.5,80,G#5,0.1666666666666666,0,95,2.333333333333333,violin2
375.5,375.6666666666667,80,G#5,0.1666666666666666,0,95,2.5,violin2
375.6666666666667,375.83333333333337,80,G#5,0.1666666666666666,0,95,2.6666666666666665,violin2
375.8333333333333,376.0,80,G#5,0.1666666666666666,0,95,2.833333333333333,violin2
376.0,376.1666666666667,68,G#4,0.1666666666666666,0,95,3.0,violin2
376.1666666666667,376.33333333333337,80,G#5,0.1666666666666666,0,95,3.1666666666666665,violin2
376.3333333333333,376.5,80,G#5,0.1666666666666666,0,95,3.333333333333333,violin2
376.5,376.6666666666667,68,G#4,0.1666666666666666,0,95,3.5,violin2
376.6666666666667,376.83333333333337,80,G#5,0.1666666666666666,0,95,3.6666666666666665,violin2
376.8333333333333,377.0,80,G#5,0.1666666666666666,0,95,3.8333333333333335,violin2
377.0,377.1666666666667,68,G#4,0.1666666666666666,0,95,4.0,violin2
377.1666666666667,377.33333333333337,80,G#5,0.1666666666666666,0,95,4.166666666666667,violin2
377.3333333333333,377.5,80,G#5,0.1666666666666666,0,95,4.333333333333333,violin2
377.5,377.6666666666667,68,G#4,0.1666666666666666,0,95,4.5,violin2
377.6666666666667,377.83333333333337,80,G#5,0.1666666666666666,0,95,4.666666666666667,violin2
377.8333333333333,378.0,80,G#5,0.1666666666666666,0,95,4.833333333333333,violin2
378.0,378.0,69,A4,0.0,0,96,1.0,violin2
378.0,381.0,81,A5,3.0,0,96,1.0,violin2
381.0,381.0,69,A4,0.0,0,96,4.0,violin2
381.0,381.75,81,A5,0.75,0,96,4.0,violin2
381.75,382.0,81,A5,0.25,0,96,4.75,violin2
382.0,382.25,78,F#5,0.25,0,97,1.0,violin2
382.25,383.0,76,E5,0.75,0,97,1.25,violin2
383.0,383.0,69,A4,0.0,0,97,2.0,violin2
383.0,387.0,81,A5,4.0,0,97,2.0,violin2
387.0,387.75,81,A5,0.75,0,98,2.0,violin2
387.75,388.0,81,A5,0.25,0,98,2.75,violin2
388.0,388.25,78,F#5,0.25,0,98,3.0,violin2
388.25,389.0,76,E5,0.75,0,98,3.25,violin2
389.0,389.75,81,A5,0.75,0,98,4.0,violin2
389.75,390.0,81,A5,0.25,0,98,4.75,violin2
390.0,390.25,78,F#5,0.25,0,99,1.0,violin2
390.25,391.0,76,E5,0.75,0,99,1.25,violin2
391.0,391.75,81,A5,0.75,0,99,2.0,violin2
391.75,392.0,81,A5,0.25,0,99,2.75,violin2
392.0,392.25,78,F#5,0.25,0,99,3.0,violin2
392.25,393.0,76,E5,0.75,0,99,3.25,violin2
393.0,393.75,69,A4,0.75,0,99,4.0,violin2
393.75,394.0,69,A4,0.25,0,99,4.75,violin2
394.0,394.25,66,F#4,0.25,0,100,1.0,violin2
394.25,395.0,64,E4,0.75,0,100,1.25,violin2
395.0,395.75,69,A4,0.75,0,100,2.0,violin2
395.75,396.0,69,A4,0.25,0,100,2.75,violin2
396.0,396.25,66,F#4,0.25,0,100,3.0,violin2
396.25,397.0,64,E4,0.75,0,100,3.25,violin2
397.0,397.75,57,A3,0.75,0,100,4.0,violin2
397.75,398.0,57,A3,0.25,0,100,4.75,violin2
398.0,402.0,56,A-3,4.0,0,101,1.0,violin2
402.0,406.0,56,A-3,4.0,0,102,1.0,violin2
406.0,408.0,56,A-3,2.0,0,103,1.0,violin2
408.0,410.0,57,A3,2.0,0,103,3.0,violin2
410.0,411.0,58,B-3,1.0,0,104,1.0,violin2
411.0,412.0,60,C4,1.0,0,104,2.0,violin2
412.0,414.0,61,D-4,2.0,0,104,3.0,violin2
414.0,414.5,61,D-4,0.5,0,105,1.0,violin2
414.5,415.5,61,D-4,1.0,0,105,1.5,violin2
415.5,416.5,61,D-4,1.0,0,105,2.5,violin2
416.5,417.5,61,D-4,1.0,0,105,3.5,violin2
417.5,418.5,61,D-4,1.0,0,105,4.5,violin2
418.5,419.5,61,D-4,1.0,0,106,1.5,violin2
419.5,420.5,61,D-4,1.0,0,106,2.5,violin2
420.5,421.5,61,D-4,1.0,0,106,3.5,violin2
421.5,422.5,61,D-4,1.0,0,106,4.5,violin2
422.5,423.5,61,D-4,1.0,0,107,1.5,violin2
423.5,424.5,61,D-4,1.0,0,107,2.5,violin2
424.5,425.0,61,D-4,0.5,0,107,3.5,violin2
426.0,426.5,61,D-4,0.5,0,108,1.0,violin2
426.5,427.5,61,D-4,1.0,0,108,1.5,violin2
427.5,428.0,61,D-4,0.5,0,108,2.5,violin2
429.0,429.5,61,D-4,0.5,0,108,4.0,violin2
429.5,430.5,61,D-4,1.0,0,108,4.5,violin2
430.5,431.5,61,D-4,1.0,0,109,1.5,violin2
431.5,432.5,61,D-4,1.0,0,109,2.5,violin2
432.5,433.0,61,D-4,0.5,0,109,3.5,violin2
442.0,443.0,61,D-4,1.0,0,112,1.0,violin2
443.0,444.0,63,E-4,1.0,0,112,2.0,violin2
444.0,446.0,61,D-4,2.0,0,112,3.0,violin2
446.0,448.0,66,G-4,2.0,0,113,3.0,violin2
446.0,448.0,57,B--3,2.0,0,113,3.0,violin2
448.0,450.0,65,F4,2.0,0,113,1.0,violin2
448.0,450.0,56,A-3,2.0,0,113,1.0,violin2
490.5,491.0,65,F4,0.5,0,124,1.5,violin2
491.0,491.5,73,D-5,0.5,0,124,2.0,violin2
491.5,492.0,75,E-5,0.5,0,124,2.5,violin2
492.0,492.5,77,F5,0.5,0,124,3.0,violin2
492.5,493.0,80,A-5,0.5,0,124,3.5,violin2
493.0,493.5,85,D-6,0.5,0,124,4.0,violin2
493.5,494.0,87,E-6,0.5,0,124,4.5,violin2
494.0,499.0,89,F6,5.0,0,125,1.0,violin2
