onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
16.0,18.0,49,D-3,2.0,0,5,1.0,violoncello
18.0,20.5,49,D-3,2.5,0,5,3.0,violoncello
20.5,21.0,44,A-2,0.5,0,6,1.5,violoncello
21.0,24.0,49,D-3,3.0,0,6,2.0,violoncello
21.0,24.0,44,A-2,3.0,0,6,2.0,violoncello
24.0,28.0,37,D-2,4.0,0,7,1.0,violoncello
24.0,28.0,44,A-2,4.0,0,7,1.0,violoncello
28.0,32.0,37,D-2,4.0,0,8,1.0,violoncello
28.0,32.0,44,A-2,4.0,0,8,1.0,violoncello
32.0,34.0,44,A-2,2.0,0,9,1.0,violoncello
32.0,34.0,37,D-2,2.0,0,9,1.0,violoncello
34.0,36.0,49,D-3,2.0,0,9,3.0,violoncello
34.0,36.0,41,F2,2.0,0,9,3.0,violoncello
36.0,37.0,49,D-3,1.0,0,10,1.0,violoncello
36.0,37.0,42,G-2,1.0,0,10,1.0,violoncello
37.0,38.0,44,A-2,1.0,0,10,2.0,violoncello
37.0,38.0,44,A-2,1.0,0,10,2.0,violoncello
38.0,40.0,44,A-2,2.0,0,10,3.0,violoncello
38.0,40.0,37,D-2,2.0,0,10,3.0,violoncello
40.0,48.0,42,G-2,8.0,0,11,1.0,violoncello
48.0,56.0,42,G-2,8.0,0,13,1.0,violoncello
56.0,64.0,37,D-2,8.0,0,15,1.0,violoncello
64.0,65.0,49,D-3,1.0,0,17,1.0,violoncello
65.0,66.0,48,C3,1.0,0,17,2.0,violoncello
66.0,67.0,46,B-2,1.0,0,17,3.0,violoncello
67.0,72.0,44,A-2,5.0,0,17,4.0,violoncello
241/3,242/3,37,D-2,1/3,0,21,4/3,violoncello
242/3,81,44,A-2,1/3,0,21,5/3,violoncello
81.0,81.33333333333333,49,D-3,1/3,0,21,2.0,violoncello
244/3,245/3,53,F3,1/3,0,21,7/3,violoncello
245/3,82,56,A-3,1/3,0,21,8/3,violoncello
82.0,82.5,61,D-4,0.5,0,21,3.0,violoncello
102.0,104.5,61,D-4,2.5,0,26,3.0,violoncello
104.5,105.0,65,F4,0.5,0,27,1.5,violoncello
105.0,106.0,65,F4,1.0,0,27,2.0,violoncello
106.0,106.5,63,E-4,0.5,0,27,3.0,violoncello
106.5,107.0,60,C4,0.5,0,27,3.5,violoncello
107.0,108.0,61,D-4,1.0,0,27,4.0,violoncello
108.0,108.5,58,B-3,0.5,0,28,1.0,violoncello
108.5,109.0,61,D-4,0.5,0,28,1.5,violoncello
109.0,109.5,60,C4,0.5,0,28,2.0,violoncello
109.5,110.0,56,A-3,0.5,0,28,2.5,violoncello
110.0,112.0,58,B-3,2.0,0,28,3.0,violoncello
112.0,112.5,61,D-4,0.5,0,29,1.0,violoncello
112.5,113.0,65,F4,0.5,0,29,1.5,violoncello
113.0,114.0,65,F4,1.0,0,29,2.0,violoncello
114.0,114.5,63,E-4,0.5,0,29,3.0,violoncello
114.5,115.0,60,C4,0.5,0,29,3.5,violoncello
115.0,116.0,61,D-4,1.0,0,29,4.0,violoncello
116.0,116.5,58,B-3,0.5,0,30,1.0,violoncello
116.5,117.0,61,D-4,0.5,0,30,1.5,violoncello
117.0,117.5,60,C4,0.5,0,30,2.0,violoncello
117.5,118.0,56,A-3,0.5,0,30,2.5,violoncello
118.0,120.0,58,B-3,2.0,0,30,3.0,violoncello
120.0,120.5,58,B-3,0.5,0,31,1.0,violoncello
120.5,121.0,61,D-4,0.5,0,31,1.5,violoncello
121.0,121.5,60,C4,0.5,0,31,2.0,violoncello
121.5,122.0,56,A-3,0.5,0,31,2.5,violoncello
122.0,124.0,58,B-3,2.0,0,31,3.0,violoncello
