onset,offset,role
0,12,rhythm+harm
12,21,mel
21,60,harm
97,121,mel
121,145,rhythm
145,177,mel
177,189,rhythm+harm
189,198,mel
198,237,harm
274,298,mel
298,322,rhythm
322,354,mel
450,471,rhythm
471,495,harm
495,513,harm
513,531,rhythm
531,543,mel
543,564,mel
564,576,rhythm
576,597,rhythm
702,797,rhythm
798,846,rhythm
891,939,rhythm
939,987,rhythm
1032,1080,rhythm
1094,1107,rhythm+harm
1107,1119,rhythm+harm
1119,1128,mel
1128,1167,harm
1204,1228,mel
1228,1252,rhythm
1252,1284,mel
1380,1401,rhythm
1401,1425,harm
1425,1443,harm
1443,1461,rhythm
1461,1473,mel
1473,1494,mel
1494,1506,rhythm
1530,1596,harm
1596,1614,rhythm
1614,1626,harm
1626,1656,harm
1662,1665,mel
1674,1680,rhythm
1683,1684,rhythm
