onset,offset,role
0,12,rhythm
64,85,rhythm
96,99,rhythm
108,111,rhythm
144,177,rhythm
177,189,rhythm
241,262,rhythm
273,276,rhythm
285,288,rhythm
321,354,rhythm
450,471,rhythm
474,498,rhythm
525,543,rhythm
543,564,rhythm
564,576,rhythm
576,597,rhythm
600,637,rhythm
702,797,rhythm
891,939,rhythm
1032,1080,rhythm
1107,1119,rhythm
1171,1192,rhythm
1203,1206,rhythm
1215,1218,rhythm
1251,1284,rhythm
1380,1401,rhythm
1404,1428,rhythm
1455,1473,rhythm
1473,1494,rhythm
1494,1506,rhythm
1506,1527,rhythm
1614,1626,rhythm
1626,1669,rhythm
1683,1684,rhythm
