onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.5,1.0,52,E3,0.5,0,1,1.5,horn2
1.0,6.0,52,E3,5.0,0,1,2.0,horn2
6.5,7.0,47,B2,0.5,0,3,1.5,horn2
7.0,12.0,47,B2,5.0,0,3,2.0,horn2
121.0,123.0,64,E4,2.0,0,41,2.0,horn2
123.0,125.0,62,D4,2.0,0,42,1.0,horn2
125.0,127.0,61,C#4,2.0,0,42,3.0,horn2
127.0,129.0,60,C4,2.0,0,43,2.0,horn2
129.0,131.0,59,B3,2.0,0,44,1.0,horn2
131.0,133.0,52,E3,2.0,0,44,3.0,horn2
133.0,135.0,64,E4,2.0,0,45,2.0,horn2
135.0,137.0,62,D4,2.0,0,46,1.0,horn2
137.0,139.0,61,C#4,2.0,0,46,3.0,horn2
139.0,141.0,60,C4,2.0,0,47,2.0,horn2
141.0,143.0,59,B3,2.0,0,48,1.0,horn2
143.0,145.0,52,E3,2.0,0,48,3.0,horn2
145.0,147.0,64,E4,2.0,0,49,2.0,horn2
147.0,149.0,64,E4,2.0,0,50,1.0,horn2
149.0,151.0,64,E4,2.0,0,50,3.0,horn2
151.0,153.0,64,E4,2.0,0,51,2.0,horn2
153.0,155.0,64,E4,2.0,0,52,1.0,horn2
155.0,157.0,64,E4,2.0,0,52,3.0,horn2
157.0,159.0,64,E4,2.0,0,53,2.0,horn2
159.0,161.0,64,E4,2.0,0,54,1.0,horn2
161.0,163.0,64,E4,2.0,0,54,3.0,horn2
163.0,165.0,64,E4,2.0,0,55,2.0,horn2
165.0,165.5,64,E4,0.5,0,56,1.0,horn2
165.5,166.0,64,E4,0.5,0,56,1.5,horn2
166.0,167.0,64,E4,1.0,0,56,2.0,horn2
167.0,168.0,66,F#4,1.0,0,56,3.0,horn2
168.0,168.5,64,E4,0.5,0,57,1.0,horn2
168.5,169.0,64,E4,0.5,0,57,1.5,horn2
169.0,170.0,64,E4,1.0,0,57,2.0,horn2
170.0,171.0,66,F#4,1.0,0,57,3.0,horn2
171.0,171.5,64,E4,0.5,0,58,1.0,horn2
171.5,172.0,64,E4,0.5,0,58,1.5,horn2
172.0,173.0,64,E4,1.0,0,58,2.0,horn2
173.0,174.0,66,F#4,1.0,0,58,3.0,horn2
174.0,175.0,64,E4,1.0,0,59,1.0,horn2
177.5,178.0,52,E3,0.5,0,1,1.5,horn2
178.0,183.0,52,E3,5.0,0,1,2.0,horn2
183.5,184.0,47,B2,0.5,0,3,1.5,horn2
184.0,189.0,47,B2,5.0,0,3,2.0,horn2
298.0,300.0,64,E4,2.0,0,41,2.0,horn2
300.0,302.0,62,D4,2.0,0,42,1.0,horn2
302.0,304.0,61,C#4,2.0,0,42,3.0,horn2
304.0,306.0,60,C4,2.0,0,43,2.0,horn2
306.0,308.0,59,B3,2.0,0,44,1.0,horn2
308.0,310.0,52,E3,2.0,0,44,3.0,horn2
310.0,312.0,64,E4,2.0,0,45,2.0,horn2
312.0,314.0,62,D4,2.0,0,46,1.0,horn2
314.0,316.0,61,C#4,2.0,0,46,3.0,horn2
316.0,318.0,60,C4,2.0,0,47,2.0,horn2
318.0,320.0,59,B3,2.0,0,48,1.0,horn2
320.0,322.0,52,E3,2.0,0,48,3.0,horn2
322.0,324.0,64,E4,2.0,0,49,2.0,horn2
324.0,326.0,64,E4,2.0,0,50,1.0,horn2
326.0,328.0,64,E4,2.0,0,50,3.0,horn2
328.0,330.0,64,E4,2.0,0,51,2.0,horn2
330.0,332.0,64,E4,2.0,0,52,1.0,horn2
332.0,334.0,64,E4,2.0,0,52,3.0,horn2
334.0,336.0,64,E4,2.0,0,53,2.0,horn2
336.0,338.0,64,E4,2.0,0,54,1.0,horn2
338.0,340.0,64,E4,2.0,0,54,3.0,horn2
340.0,342.0,64,E4,2.0,0,55,2.0,horn2
342.0,342.5,64,E4,0.5,0,56,1.0,horn2
342.5,343.0,64,E4,0.5,0,56,1.5,horn2
343.0,344.0,64,E4,1.0,0,56,2.0,horn2
344.0,345.0,66,F#4,1.0,0,56,3.0,horn2
345.0,345.5,64,E4,0.5,0,57,1.0,horn2
345.5,346.0,64,E4,0.5,0,57,1.5,horn2
346.0,347.0,64,E4,1.0,0,57,2.0,horn2
347.0,348.0,66,F#4,1.0,0,57,3.0,horn2
348.0,348.5,64,E4,0.5,0,58,1.0,horn2
348.5,349.0,64,E4,0.5,0,58,1.5,horn2
349.0,350.0,64,E4,1.0,0,58,2.0,horn2
