onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,3.0,0,Unpitched,3.0,0,1,1.0,triangle
3.0,6.0,0,Unpitched,3.0,0,2,1.0,triangle
6.0,9.0,0,Unpitched,3.0,0,3,1.0,triangle
9.0,12.0,0,Unpitched,3.0,0,4,1.0,triangle
21.0,22.0,0,Unpitched,1.0,0,8,1.0,triangle
42.0,43.0,0,Unpitched,1.0,0,15,1.0,triangle
123.0,124.0,0,Unpitched,1.0,0,42,1.0,triangle
138.0,139.0,0,Unpitched,1.0,0,47,1.0,triangle
156.0,157.0,0,Unpitched,1.0,0,53,1.0,triangle
177.0,180.0,0,Unpitched,3.0,0,1,1.0,triangle
180.0,183.0,0,Unpitched,3.0,0,2,1.0,triangle
183.0,186.0,0,Unpitched,3.0,0,3,1.0,triangle
186.0,189.0,0,Unpitched,3.0,0,4,1.0,triangle
198.0,199.0,0,Unpitched,1.0,0,8,1.0,triangle
219.0,220.0,0,Unpitched,1.0,0,15,1.0,triangle
300.0,301.0,0,Unpitched,1.0,0,42,1.0,triangle
315.0,316.0,0,Unpitched,1.0,0,47,1.0,triangle
333.0,334.0,0,Unpitched,1.0,0,53,1.0,triangle
403.0,404.0,0,Unpitched,1.0,0,76,2.0,triangle
406.0,407.0,0,Unpitched,1.0,0,77,2.0,triangle
409.0,410.0,0,Unpitched,1.0,0,78,2.0,triangle
412.0,413.0,0,Unpitched,1.0,0,79,2.0,triangle
415.0,416.0,0,Unpitched,1.0,0,80,2.0,triangle
418.0,419.0,0,Unpitched,1.0,0,81,2.0,triangle
421.0,422.0,0,Unpitched,1.0,0,82,2.0,triangle
424.0,425.0,0,Unpitched,1.0,0,83,2.0,triangle
451.0,452.0,0,Unpitched,1.0,0,92,2.0,triangle
454.0,455.0,0,Unpitched,1.0,0,93,2.0,triangle
457.0,458.0,0,Unpitched,1.0,0,94,2.0,triangle
460.0,461.0,0,Unpitched,1.0,0,95,2.0,triangle
463.0,464.0,0,Unpitched,1.0,0,96,2.0,triangle
466.0,467.0,0,Unpitched,1.0,0,97,2.0,triangle
469.0,470.0,0,Unpitched,1.0,0,98,2.0,triangle
471.0,472.0,0,Unpitched,1.0,0,99,1.0,triangle
495.0,496.0,0,Unpitched,1.0,0,107,1.0,triangle
513.0,514.0,0,Unpitched,1.0,0,113,1.0,triangle
531.0,532.0,0,Unpitched,1.0,0,119,1.0,triangle
552.0,553.0,0,Unpitched,1.0,0,126,1.0,triangle
573.0,574.0,0,Unpitched,1.0,0,133,1.0,triangle
600.0,601.0,0,Unpitched,1.0,0,142,1.0,triangle
624.0,625.0,0,Unpitched,1.0,0,150,1.0,triangle
