onset,Unnamed: 0,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
144.0,0,145.0,64,G---4,1.0,0,49,1.0,trumpet1
146.0,1,147.0,64,G---4,1.0,0,49,3.0,trumpet1
148.0,2,148.5,64,G---4,0.5,0,50,2.0,trumpet1
148.5,3,149.0,64,G---4,0.5,0,50,2.5,trumpet1
149.0,4,150.0,64,G---4,1.0,0,50,3.0,trumpet1
150.0,5,151.0,64,G---4,1.0,0,51,1.0,trumpet1
152.0,6,153.0,64,G---4,1.0,0,51,3.0,trumpet1
154.0,7,154.5,64,G---4,0.5,0,52,2.0,trumpet1
154.5,8,155.0,64,G---4,0.5,0,52,2.5,trumpet1
155.0,9,156.0,64,G---4,1.0,0,52,3.0,trumpet1
156.0,10,157.0,64,G---4,1.0,0,53,1.0,trumpet1
158.0,11,159.0,64,G---4,1.0,0,53,3.0,trumpet1
160.0,12,160.5,64,G---4,0.5,0,54,2.0,trumpet1
160.5,13,161.0,64,G---4,0.5,0,54,2.5,trumpet1
161.0,14,162.0,64,G---4,1.0,0,54,3.0,trumpet1
162.0,15,163.0,64,G---4,1.0,0,55,1.0,trumpet1
164.0,16,165.0,64,G---4,1.0,0,55,3.0,trumpet1
165.0,17,165.5,64,G---4,0.5,0,56,1.0,trumpet1
165.5,18,166.0,64,G---4,0.5,0,56,1.5,trumpet1
166.0,19,167.0,64,G---4,1.0,0,56,2.0,trumpet1
167.0,20,168.0,64,G---4,1.0,0,56,3.0,trumpet1
168.0,21,168.5,64,G---4,0.5,0,57,1.0,trumpet1
168.5,22,169.0,64,G---4,0.5,0,57,1.5,trumpet1
169.0,23,170.0,64,G---4,1.0,0,57,2.0,trumpet1
170.0,24,171.0,64,G---4,1.0,0,57,3.0,trumpet1
171.0,25,171.5,64,G---4,0.5,0,58,1.0,trumpet1
171.5,26,172.0,64,G---4,0.5,0,58,1.5,trumpet1
172.0,27,173.0,64,G---4,1.0,0,58,2.0,trumpet1
173.0,28,174.0,64,G---4,1.0,0,58,3.0,trumpet1
174.0,29,175.0,64,G---4,1.0,0,59,1.0,trumpet1
321.0,30,322.0,64,G---4,1.0,0,108,1.0,trumpet1
323.0,31,324.0,64,G---4,1.0,0,108,3.0,trumpet1
325.0,32,325.5,64,G---4,0.5,0,109,2.0,trumpet1
325.5,33,326.0,64,G---4,0.5,0,109,2.5,trumpet1
326.0,34,327.0,64,G---4,1.0,0,109,3.0,trumpet1
327.0,35,328.0,64,G---4,1.0,0,110,1.0,trumpet1
329.0,36,330.0,64,G---4,1.0,0,110,3.0,trumpet1
331.0,37,331.5,64,G---4,0.5,0,111,2.0,trumpet1
331.5,38,332.0,64,G---4,0.5,0,111,2.5,trumpet1
332.0,39,333.0,64,G---4,1.0,0,111,3.0,trumpet1
333.0,40,334.0,64,G---4,1.0,0,112,1.0,trumpet1
335.0,41,336.0,64,G---4,1.0,0,112,3.0,trumpet1
337.0,42,337.5,64,G---4,0.5,0,113,2.0,trumpet1
337.5,43,338.0,64,G---4,0.5,0,113,2.5,trumpet1
338.0,44,339.0,64,G---4,1.0,0,113,3.0,trumpet1
339.0,45,340.0,64,G---4,1.0,0,114,1.0,trumpet1
341.0,46,342.0,64,G---4,1.0,0,114,3.0,trumpet1
342.0,47,342.5,64,G---4,0.5,0,115,1.0,trumpet1
342.5,48,343.0,64,G---4,0.5,0,115,1.5,trumpet1
343.0,49,344.0,64,G---4,1.0,0,115,2.0,trumpet1
344.0,50,345.0,64,G---4,1.0,0,115,3.0,trumpet1
345.0,51,345.5,64,G---4,0.5,0,116,1.0,trumpet1
345.5,52,346.0,64,G---4,0.5,0,116,1.5,trumpet1
346.0,53,347.0,64,G---4,1.0,0,116,2.0,trumpet1
347.0,54,348.0,64,G---4,1.0,0,116,3.0,trumpet1
348.0,55,348.5,64,G---4,0.5,0,117,1.0,trumpet1
348.5,56,349.0,64,G---4,0.5,0,117,1.5,trumpet1
349.0,57,350.0,64,G---4,1.0,0,117,2.0,trumpet1
350.0,58,351.0,64,G---4,1.0,0,117,3.0,trumpet1
351.0,59,352.0,64,G---4,1.0,0,118,1.0,trumpet1
451.0,60,452.0,59,D---4,1.0,0,151,2.0,trumpet1
454.0,61,455.0,59,D---4,1.0,0,152,2.0,trumpet1
457.0,62,458.0,59,D---4,1.0,0,153,2.0,trumpet1
460.0,63,461.0,59,D---4,1.0,0,154,2.0,trumpet1
463.0,64,464.0,59,D---4,1.0,0,155,2.0,trumpet1
466.0,65,467.0,59,D---4,1.0,0,156,2.0,trumpet1
469.0,66,470.0,59,D---4,1.0,0,157,2.0,trumpet1
532.0,67,538.0,66,A---4,6.0,0,178,2.0,trumpet1
543.0,68,546.0,64,G---4,3.0,0,182,1.0,trumpet1
547.0,69,547.5,64,G---4,0.5,0,183,2.0,trumpet1
547.5,70,548.0,64,G---4,0.5,0,183,2.5,trumpet1
548.0,71,549.0,64,G---4,1.0,0,183,3.0,trumpet1
549.0,72,550.0,64,G---4,1.0,0,184,1.0,trumpet1
550.0,73,551.0,64,G---4,1.0,0,184,2.0,trumpet1
553.0,74,554.0,64,G---4,1.0,0,185,2.0,trumpet1
554.0,75,555.0,64,G---4,1.0,0,185,3.0,trumpet1
555.0,76,555.5,64,G---4,0.5,0,186,1.0,trumpet1
555.5,77,556.0,64,G---4,0.5,0,186,1.5,trumpet1
556.0,78,557.0,64,G---4,1.0,0,186,2.0,trumpet1
559.0,79,559.5,64,G---4,0.5,0,187,2.0,trumpet1
559.5,80,560.0,64,G---4,0.5,0,187,2.5,trumpet1
560.0,81,561.0,64,G---4,1.0,0,187,3.0,trumpet1
561.0,82,562.0,64,G---4,1.0,0,188,1.0,trumpet1
562.0,83,563.0,64,G---4,1.0,0,188,2.0,trumpet1
564.0,84,565.0,64,G---4,1.0,0,189,1.0,trumpet1
565.0,85,565.5,64,G---4,0.5,0,189,2.0,trumpet1
565.5,86,566.0,64,G---4,0.5,0,189,2.5,trumpet1
566.0,87,567.0,64,G---4,1.0,0,189,3.0,trumpet1
567.0,88,568.0,64,G---4,1.0,0,190,1.0,trumpet1
568.0,89,568.5,64,G---4,0.5,0,190,2.0,trumpet1
568.5,90,569.0,64,G---4,0.5,0,190,2.5,trumpet1
569.0,91,570.0,64,G---4,1.0,0,190,3.0,trumpet1
570.0,92,571.0,64,G---4,1.0,0,191,1.0,trumpet1
571.0,93,571.5,64,G---4,0.5,0,191,2.0,trumpet1
571.5,94,572.0,64,G---4,0.5,0,191,2.5,trumpet1
572.0,95,573.0,64,G---4,1.0,0,191,3.0,trumpet1
573.0,96,574.0,64,G---4,1.0,0,192,1.0,trumpet1
574.0,97,574.5,64,G---4,0.5,0,192,2.0,trumpet1
574.5,98,575.0,64,G---4,0.5,0,192,2.5,trumpet1
575.0,99,576.0,64,G---4,1.0,0,192,3.0,trumpet1
576.0,100,577.0,64,G---4,1.0,0,193,1.0,trumpet1
579.0,101,580.0,64,G---4,1.0,0,194,1.0,trumpet1
582.0,102,583.0,64,G---4,1.0,0,195,1.0,trumpet1
585.0,103,586.0,64,G---4,1.0,0,196,1.0,trumpet1
588.0,104,589.0,64,G---4,1.0,0,197,1.0,trumpet1
594.0,105,595.0,64,G---4,1.0,0,199,1.0,trumpet1
891.0,106,892.5,64,F-4,1.5,0,298,1.0,trumpet1
892.5,107,893.0,64,F-4,0.5,0,298,2.5,trumpet1
893.0,108,893.5,64,F-4,0.5,0,298,3.0,trumpet1
894.0,109,895.5,64,F-4,1.5,0,299,1.0,trumpet1
895.5,110,896.0,64,F-4,0.5,0,299,2.5,trumpet1
896.0,111,896.5,64,F-4,0.5,0,299,3.0,trumpet1
897.0,112,901.5,64,F-4,4.5,0,300,1.0,trumpet1
901.5,113,902.0,64,F-4,0.5,0,301,2.5,trumpet1
902.0,114,902.5,64,F-4,0.5,0,301,3.0,trumpet1
903.0,115,904.5,64,F-4,1.5,0,302,1.0,trumpet1
904.5,116,905.0,64,F-4,0.5,0,302,2.5,trumpet1
905.0,117,905.5,64,F-4,0.5,0,302,3.0,trumpet1
906.0,118,907.5,59,C-4,1.5,0,303,1.0,trumpet1
907.5,119,908.0,59,C-4,0.5,0,303,2.5,trumpet1
908.0,120,908.5,59,C-4,0.5,0,303,3.0,trumpet1
909.0,121,910.5,64,F-4,1.5,0,304,1.0,trumpet1
910.5,122,911.0,64,F-4,0.5,0,304,2.5,trumpet1
911.0,123,912.0,64,F-4,1.0,0,304,3.0,trumpet1
912.0,124,913.5,64,F-4,1.5,0,305,1.0,trumpet1
913.5,125,914.0,64,F-4,0.5,0,305,2.5,trumpet1
914.0,126,915.0,64,F-4,1.0,0,305,3.0,trumpet1
915.0,127,916.5,64,F-4,1.5,0,306,1.0,trumpet1
916.5,128,917.0,64,F-4,0.5,0,306,2.5,trumpet1
