onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
0.0,1.0,64,E4,1.0,0,1,1.0,viola
6.0,7.0,59,B3,1.0,0,3,1.0,viola
18.0,18.5,55,G3,0.5,0,7,1.0,viola
18.5,19.0,55,G3,0.5,0,7,1.5,viola
19.0,21.0,55,G3,2.0,0,7,2.0,viola
21.0,60.0,55,G3,39.0,0,8,1.0,viola
60.0,61.0,64,E4,1.0,0,21,1.0,viola
61.0,62.0,52,E3,1.0,0,21,2.0,viola
66.0,67.0,64,E4,1.0,0,23,1.0,viola
67.0,68.0,52,E3,1.0,0,23,2.0,viola
72.0,73.0,64,E4,1.0,0,25,1.0,viola
73.0,74.0,52,E3,1.0,0,25,2.0,viola
78.0,79.0,64,E4,1.0,0,27,1.0,viola
79.0,80.0,52,E3,1.0,0,27,2.0,viola
85.0,86.0,64,E4,1.0,0,29,2.0,viola
86.0,87.0,67,G4,1.0,0,29,3.0,viola
87.0,87.5,64,E4,0.5,0,30,1.0,viola
87.5,88.0,62,D4,0.5,0,30,1.5,viola
88.0,89.0,59,B3,1.0,0,30,2.0,viola
89.0,89.5,62,D4,0.5,0,30,3.0,viola
89.5,90.0,59,B3,0.5,0,30,3.5,viola
90.0,91.0,55,G3,1.0,0,31,1.0,viola
91.0,91.5,67,G4,0.5,0,31,2.0,viola
91.5,92.0,64,E4,0.5,0,31,2.5,viola
92.0,92.5,62,D4,0.5,0,31,3.0,viola
92.5,93.0,67,G4,0.5,0,31,3.5,viola
93.0,93.5,64,E4,0.5,0,32,1.0,viola
93.5,94.0,62,D4,0.5,0,32,1.5,viola
94.0,94.5,59,B3,0.5,0,32,2.0,viola
94.5,95.0,64,E4,0.5,0,32,2.5,viola
95.0,95.5,62,D4,0.5,0,32,3.0,viola
95.5,96.0,59,B3,0.5,0,32,3.5,viola
97.0,97.5,59,B3,0.5,0,33,2.0,viola
97.5,98.0,59,B3,0.5,0,33,2.5,viola
98.0,99.0,59,B3,1.0,0,33,3.0,viola
99.0,100.0,59,B3,1.0,0,34,1.0,viola
100.0,101.0,59,B3,1.0,0,34,2.0,viola
