onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
0.0,1.0,64,E4,1.0,0,1,1.0,violoncello
6.0,7.0,59,B3,1.0,0,3,1.0,violoncello
21.0,21.5,40,E2,0.5,0,8,1.0,violoncello
21.5,22.0,40,E2,0.5,0,8,1.5,violoncello
22.0,25.0,40,E2,3.0,0,8,2.0,violoncello
25.0,26.0,40,E2,1.0,0,9,2.0,violoncello
26.0,27.0,40,E2,1.0,0,9,3.0,violoncello
27.0,28.0,40,E2,1.0,0,10,1.0,violoncello
28.0,29.0,40,E2,1.0,0,10,2.0,violoncello
29.0,30.0,40,E2,1.0,0,10,3.0,violoncello
30.0,31.0,40,E2,1.0,0,11,1.0,violoncello
31.0,32.0,40,E2,1.0,0,11,2.0,violoncello
32.0,33.0,40,E2,1.0,0,11,3.0,violoncello
33.0,34.0,40,E2,1.0,0,12,1.0,violoncello
34.0,35.0,40,E2,1.0,0,12,2.0,violoncello
35.0,36.0,40,E2,1.0,0,12,3.0,violoncello
36.0,37.0,40,E2,1.0,0,13,1.0,violoncello
37.0,38.0,40,E2,1.0,0,13,2.0,violoncello
38.0,39.0,40,E2,1.0,0,13,3.0,violoncello
39.0,40.0,40,E2,1.0,0,14,1.0,violoncello
40.0,41.0,40,E2,1.0,0,14,2.0,violoncello
41.0,42.0,40,E2,1.0,0,14,3.0,violoncello
42.0,43.0,40,E2,1.0,0,15,1.0,violoncello
43.0,44.0,40,E2,1.0,0,15,2.0,violoncello
44.0,45.0,40,E2,1.0,0,15,3.0,violoncello
45.0,46.0,40,E2,1.0,0,16,1.0,violoncello
46.0,47.0,40,E2,1.0,0,16,2.0,violoncello
47.0,48.0,40,E2,1.0,0,16,3.0,violoncello
48.0,49.0,40,E2,1.0,0,17,1.0,violoncello
49.0,50.0,40,E2,1.0,0,17,2.0,violoncello
50.0,51.0,40,E2,1.0,0,17,3.0,violoncello
51.0,52.0,40,E2,1.0,0,18,1.0,violoncello
52.0,53.0,40,E2,1.0,0,18,2.0,violoncello
53.0,54.0,40,E2,1.0,0,18,3.0,violoncello
54.0,55.0,40,E2,1.0,0,19,1.0,violoncello
55.0,56.0,40,E2,1.0,0,19,2.0,violoncello
56.0,57.0,40,E2,1.0,0,19,3.0,violoncello
57.0,58.0,40,E2,1.0,0,20,1.0,violoncello
58.0,59.0,40,E2,1.0,0,20,2.0,violoncello
59.0,60.0,40,E2,1.0,0,20,3.0,violoncello
91.0,91.5,55,G3,0.5,0,31,2.0,violoncello
91.5,92.0,52,E3,0.5,0,31,2.5,violoncello
92.0,92.5,50,D3,0.5,0,31,3.0,violoncello
92.5,93.0,55,G3,0.5,0,31,3.5,violoncello
93.0,93.5,52,E3,0.5,0,32,1.0,violoncello
93.5,94.0,50,D3,0.5,0,32,1.5,violoncello
94.0,94.5,47,B2,0.5,0,32,2.0,violoncello
