onset,offset,role
0,12,rhythm+harm
40,60,mel
60,85,mel
124,145,mel
145,177,mel
177,189,rhythm+harm
217,237,mel
237,262,mel
301,322,mel
322,354,mel
402,426,mel
450,471,rhythm
540,543,rhythm+harm
543,564,rhythm+harm
564,576,rhythm+harm
576,597,rhythm+harm
606,610,harm
612,624,harm
624,637,harm
650,653,mel
702,716,rhythm+harm
716,725,mel
725,797,rhythm+harm
822,846,mel
870,873,mel
876,879,mel
882,885,mel
888,891,mel
891,902,rhythm+harm
902,914,mel
914,939,rhythm+harm
963,987,mel
1011,1014,mel
1017,1020,mel
1023,1026,mel
1029,1032,mel
1032,1043,rhythm+harm
1043,1055,mel
1055,1080,rhythm+harm
1107,1119,rhythm+harm
1147,1167,mel
1167,1192,mel
1231,1252,mel
1252,1284,mel
1332,1356,mel
1380,1401,rhythm
1470,1473,rhythm+harm
1473,1494,rhythm+harm
1494,1506,rhythm+harm
1506,1527,rhythm+harm
1596,1602,mel
1602,1626,mel
1626,1639,harm
1650,1678,harm
1683,1684,rhythm
