onset,offset,role
0,12,rhythm+harm
18,21,mel
21,60,harm
60,85,rhythm
85,96,mel
97,121,mel
121,145,rhythm
145,153,harm
153,156,mel
156,165,harm
165,177,rhythm
177,189,rhythm+harm
195,198,mel
198,237,harm
237,262,rhythm
262,273,mel
274,298,mel
298,322,rhythm
322,330,harm
330,333,mel
333,342,harm
342,354,rhythm
357,360,rhythm
366,378,rhythm
378,451,rhythm+harm
471,495,rhythm
495,543,rhythm
543,564,harm
564,576,rhythm+harm
576,600,mel
615,621,mel
624,636,mel
653,656,mel
671,690,mel
690,698,harm
822,846,rhythm
846,867,rhythm
867,870,mel
873,876,mel
879,882,mel
885,888,mel
891,939,mel+rhythm
963,987,rhythm
987,1008,rhythm
1008,1011,mel
1014,1017,mel
1020,1023,mel
1026,1029,mel
1032,1080,mel+rhythm
1080,1107,rhythm+harm
1107,1119,rhythm+harm
1125,1128,mel
1128,1167,harm
1167,1192,rhythm
1192,1203,mel
1204,1228,mel
1228,1252,rhythm
1252,1260,harm
1260,1263,mel
1263,1272,harm
1272,1284,rhythm
1287,1290,rhythm
1296,1308,rhythm
1308,1381,rhythm+harm
1401,1425,rhythm
1425,1473,rhythm
1473,1494,harm
1494,1506,rhythm+harm
1506,1530,mel
1530,1596,harm
1596,1626,harm
1626,1650,rhythm
1650,1664,harm
1662,1678,rhythm
1683,1684,rhythm
