onset,resolve time,offset,cadence type,,phrase onset,phrase offset,section,theme
0,36,37,AC,1,0,37,Introduction,Introduction
60,2,68,AC,2,36,68,Exposition,1st
92,2,100,AC,3,68,100,Exposition,1st
100,32,133,AC,4,100,133,Exposition,1st
156,16,173,AC,5,132,173,Exposition,1st
192,2,196,AC,6,172,196,Exposition,1st
196,16,213,AC,7,196,213,Exposition,1st
228,4,236,HC,8,212,236,Exposition,1st
236,32,269,AC,9,236,269,Exposition,Transition
284,8,300,AC,10,268,300,Exposition,2nd
320,4,328,AC,11,300,332,Exposition,2nd
356,8,365,AC,12,332,365,Exposition,2nd
436,8,452,PC,13,364,508,Exposition,Codetta
588,24,613,AC,14,508,613,Development,Development
780,8,788,HC,15,612,788,Development,Development
824,4,829,AC,16,788,829,Recapitulation,1st
888,16,905,AC,17,828,905,Recapitulation,Transition
920,8,936,AC,18,904,936,Recapitulation,2nd
952,8,964,AC,19,936,968,Recapitulation,2nd
992,8,1001,AC,20,968,1001,Recapitulation,2nd
1060,4,1065,AC,21,1000,1096,Recapitulation,Codetta
1112,40,1153,DC,22,1096,1153,Coda,Coda
1190,2,1193,AC,23,1152,1193,Coda,Coda
1312,8,1328,AC,24,1192,1392,Coda,Coda
