onset,offset,key,degree,quality,inversion,roman number
0,20,e,5,M,0,V
20,21,e,5,M,0,V
21,22,e,6,M,2,VI64
22,23,e,5,M,0,V
23,24,e,2,h7,0,ii=7
24,25,e,5,M,0,V
25,26,e,+6,d,1,+vi-6
26,27,e,5,M,0,V
27,28,e,7,M,0,VII
29,30,e,7,M,0,VII
30,32,e,6,D7,0,+VI7
32,36,e,5,D7,0,V7
36,40,e,1,m,0,i
40,44,e,2,h7,1,ii=65
44,46,e,1,m,0,i
46,48,e,5,m,0,v
48,52,e,1,m,0,i
52,56,e,1,m,0,i
56,60,e,2,h7,1,ii=65
60,62,e,1,m,1,i6
62,64,e,5,D7,2,V43
64,68,e,1,m,0,i
68,72,e,1,m,0,i
72,76,e,2,h7,1,ii=65
76,78,e,1,m,0,i
78,80,e,3,m,0,iii
80,84,e,1,m,0,i
84,88,e,1,m,0,i
88,92,e,2,h7,1,ii=65
92,94,e,1,m,0,i
94,96,e,5,D7,2,V43
96,100,e,1,m,0,i
100,102,e,5,M,0,V
102,103,e,5,M,2,VI64
103,104,e,5,M,1,V6
104,106,e,6,M,2,VI64
106,108,e,5,D7,3,V42
108,110,e,5,M,0,V
110,111.5,e,5,D7,2,V65
111.5,112,e,4,m,1,iv6
112,116,e,5,M,0,V
116,118,e,5,M,0,V
118,119,e,6,M,2,VI64
119,120,e,5,M,1,V6
120,122,e,6,M,2,VI64
122,124,e,5,D7,3,V42
124,126,e,5,M,0,V
126,127.5,e,7,M,0,VII
127.5,128,e,4,m,1,iv6
128,132,e,5,M,0,V
132,136,e,1,m,0,i
136,140,e,2,h7,2,ii=65
140,142,e,1,m,0,i
142,144,e,3,m,0,iii
144,148,e,1,m,0,i
148,152,e,1,m,0,i
152,154,e,4,m,1,iv6
154,156,e,1,m,1,i6
156,158,e,4,m7,0,iv7
158,159,e,2,h7,2,ii=65
159,160,e,5,M,0,V
160,162,e,4,m7,0,iv7
162,163,e,2,h7,2,ii=65
163,164,e,5,M,0,V
164,165,e,4,m7,0,iv7
165,165.5,e,2,h7,2,ii=65
165.5,166,e,5,M,0,V
166,167,e,4,m7,0,iv7
167,167.5,e,2,h7,2,ii=65
167.5,168,e,5,M,0,V
168,169,e,4,m7,0,iv7
169,169.5,e,2,h7,2,ii=65
169.5,170,e,5,M,0,V
170,170.5,e,2,h7,2,ii=65
170.5,171,e,5,M,0,V
171,171.5,e,2,h7,2,ii=65
171.5,172,e,5,M,0,V
172,173,e,1,m,0,i
173,174,e,5,m,0,v
174,175,e,1,m,0,i
175,176,e,5,m,0,v
176,177,e,1,m,0,i
177,178,e,7,M,1,VII6
178,179,e,3,m,0,iii
179,180,e,5/7,M,0,V/VII
180,184,e,7,M,0,VII
184,185,e,1,m,0,i
185,186,e,5,m,0,v
186,187,e,1,m,0,i
187,188,e,5,m,0,v
188,189,e,1,m,0,i
189,190,e,5/3,M,1,V6/iii
190,191,e,3,m,0,iii
191,192,e,2,h7,1,ii=65
192,193,e,1,m,2,i64
193,194,e,5,M,0,V
