onset,offset,role,instrument
0,12,mel,violin1
0,12,mel,violin2
0,12,mel,viola
0,12,mel,violoncello
0,12,mel,doublebass
12,20,mel,violin1
12,20,mel+rhythm,violin2
12,20,mel+rhythm,viola
12,20,mel+rhythm,violoncello
12,20,rhythm,doublebass
20,28,mel,violin1
20,28,mel+harm,violin2
20,28,mel+harm,viola
20,28,mel+harm,violoncello
20,28,mel+harm,doublebass
28,32,rhythm+harm,oboe
28,32,rhythm+harm,clarinet
28,32,rhythm+harm,bassoon
28,32,rhythm+harm,horn12
28,32,rhythm+harm,horn34
28,32,rhythm+harm,trumpet
28,32,rhythm+harm,trombone12
28,32,rhythm+harm,trombone3
28,32,rhythm+harm,violin2
28,32,rhythm+harm,viola
28,32,rhythm+harm,violoncello
28,32,rhythm+harm,doublebass
28,40,mel,flute
28,40,mel,violin1
32,36,harm,oboe
32,36,harm,clarinet
32,36,harm,horn12
32,36,harm,horn34
32,36,harm,trombone2
32,36,rhythm,bassoon
32,36,rhythm,trumpet
32,36,rhythm,trombone1
32,36,rhythm,trombone3
32,36,rhythm+harm,timpani
32,36,rhythm+harm,violin2
32,36,rhythm+harm,viola
32,36,rhythm,violoncello
32,36,rhythm,doublebass
36,64,rhythm+harm,timpani
36,64,rhythm+harm,violin1
36,64,rhythm+harm,violin2
36,64,rhythm+harm,viola
36,64,rhythm+harm,violoncello
36,64,rhythm+harm,doublebass
36,100,mel,horn34
36,100,mel,trumpet
36,100,rhythm+harm,flute
36,100,rhythm+harm,oboe
36,100,rhythm+harm,clarinet
36,100,rhythm+harm,bassoon
36,100,rhythm+harm,horn12
36,100,rhythm+harm,trombone12
36,100,rhythm+harm,trombone3
64,68,rhythm,timpani
64,68,mel+rhythm,violin1
64,68,mel+rhythm,violin2
64,68,rhythm,viola
64,68,rhythm,violoncello
64,68,rhythm,doublebass
68,96,rhythm+harm,violin1
68,96,rhythm+harm,violin2
68,96,rhythm+harm,timpani
68,100,rhythm+harm,viola
68,96,rhythm+harm,violoncello
68,96,rhythm+harm,doublebass
96,100,mel+rhythm,violin1
96,100,mel+rhythm,violin2
96,100,rhythm,timpani
96,100,rhythm,violoncello
96,100,rhythm,doublebass
100,131,mel,violin1
100,131,mel,violin2
100,131,mel,viola
100,131,mel,violoncello
100,131,mel,doublebass
131,172,mel,flute1
131,152,mel,flute2
152,164,rhythm+harm,flute2
164,172,rhythm,flute2
131,172,mel,oboe1
131,152,mel,oboe2
152,164,rhythm+harm,oboe2
164,172,rhythm,oboe2
131,172,mel,clarinet1
131,152,mel,clarinet2
152,164,rhythm+harm,clarinet2
164,172,rhythm,clarinet2
131,152,mel,bassoon
152,164,rhythm+harm,bassoon
164,172,rhythm,bassoon
132,164,rhythm+harm,horn12
132,164,rhythm+harm,horn34
132,164,rhythm+harm,trombone12
132,164,rhythm+harm,trombone3
132,164,rhythm+harm,timpani
132,152,rhythm+harm,trumpet
152,156,mel,trumpet
156,164,rhythm+harm,trumpet
164,172,rhythm,horn12
164,172,rhythm,horn34
164,172,rhythm,trumpet
164,172,rhythm,trombone12
164,172,rhythm,trombone3
164,172,rhythm,timpani
131,172,mel,violin1
131,172,rhythm,violin2
131,172,rhythm,viola
131,164,rhythm+harm,violoncello
131,164,rhythm+harm,doublebass
164,172,rhythm,violoncello
164,172,rhythm,doublebass
172,196,mel,violin1
172,196,mel,violin2
172,192,harm,bassoon
192,196,rhythm,bassoon
172,196,rhythm+harm,flute
172,196,rhythm+harm,oboe
172,196,rhythm+harm,clarinet
172,196,rhythm+harm,horn12
172,196,rhythm+harm,horn34
172,196,rhythm+harm,trumpet
172,196,rhythm+harm,trombone12
172,196,rhythm+harm,trombone3
172,196,rhythm+harm,timpani
172,196,rhythm+harm,viola
172,196,rhythm+harm,violoncello
172,196,rhythm+harm,doublebass
196,212,mel,flute
196,212,mel,oboe
196,212,mel,clarinet
196,213,mel+harm,bassoon
196,212,rhythm,timpani
196,212,rhythm,violin1
196,213,rhythm,violin2
196,212,rhythm,viola
196,212,rhythm,violoncello
196,212,rhythm,doublebass
213,236,harm,bassoon
213,243,mel,violin2
212,264,mel,violin1
212,236,rhythm+harm,flute
212,236,rhythm+harm,oboe
212,236,rhythm+harm,clarinet
212,236,rhythm+harm,horn12
212,240,rhythm+harm,horn34
212,236,rhythm+harm,trumpet
212,236,rhythm+harm,trombone12
212,236,rhythm+harm,trombone3
212,236,rhythm+harm,timpani
212,236,rhythm,viola
212,228,rhythm+harm,violoncello
212,228,rhythm+harm,doublebass
228,236,harm,violoncello
228,236,harm,doublebass
236,244,rhythm,flute
236,244,rhythm,oboe
236,244,rhythm,clarinet
236,244,rhythm,bassoon
236,244,rhythm,horn12
236,244,rhythm,trumpet
236,244,rhythm,trombone12
236,244,rhythm,trombone3
236,244,rhythm,timpani
236,244,rhythm,viola
236,244,rhythm,violoncello
236,244,rhythm,doublebass
244,256,rhythm,flute
244,252,rhythm,clarinet
244,252,rhythm,bassoon
243,252,rhythm,violin2
244,252,rhythm,viola
256,264,harm,flute
252,264,harm,oboe
254,264,rhythm,cymbal
256,261,rhythm+harm,bassoon
256,260,rhythm+harm,violoncello
260,272,rhythm+harm,violoncello
260,344,mel,clarinet1
