onset,offset,role
28,32,rhythm+harm
32,36,harm
36,100,rhythm+harm
131,152,mel
152,164,rhythm+harm
164,172,rhythm
172,196,rhythm+harm
196,212,mel
212,236,rhythm+harm
236,244,rhythm
244,252,rhythm
364,396,harm
396,412,mel
412,420,harm
420,436,rhythm
436,452,mel
486,494,mel
576,580,rhythm
584,588,rhythm
636,642,harm
660,666,harm
680,684,mel
684,700,rhythm
700,708,harm
708,724,rhythm
724,732,harm
748,756,rhythm
756,772,harm
772,780,rhythm+harm
780,788,rhythm+harm
788,796,harm
796,812,rhythm
812,836,harm
836,852,rhythm+harm
852,868,harm
925,966,mel
984,1000,harm
1000,1032,mel
1052,1057,harm
1060,1064,harm
1064,1068,mel
1076,1081,mel
1096,1120,harm
1120,1144,rhythm
1144,1152,rhythm
1152,1168,harm
1168,1176,rhythm+harm
1176,1184,mel+rhythm
1184,1192,mel+rhythm
1192,1216,rhythm+harm
1216,1241,harm
1248,1280,mel
1288,1301,harm
1304,1312,mel
1312,1320,rhythm+harm
1320,1344,harm
1344,1356,mel+rhythm
1356,1373,rhythm
1376,1392,rhythm
