onset,offset,role
28,32,rhythm+harm
32,36,rhythm
36,100,mel
132,152,rhythm+harm
152,156,mel
156,164,rhythm+harm
164,172,rhythm
172,196,rhythm+harm
212,236,rhythm+harm
236,244,rhythm
364,396,rhythm
396,412,rhythm
412,420,rhythm
536,541,rhythm
700,708,mel
724,732,mel
732,756,rhythm
756,772,harm
772,780,rhythm+harm
788,812,mel
812,836,harm
836,852,rhythm+harm
1112,1016,harm
1112,1120,rhythm
1120,1145,rhythm
1159,1167,mel
1168,1192,rhythm
1192,1216,rhythm+harm
1216,1225,harm
1312,1320,rhythm+harm
1320,1344,mel
1344,1356,mel+rhythm
1356,1373,rhythm
1376,1392,rhythm
