onset,offset,role
0,12,mel
12,20,mel+rhythm
20,28,mel+harm
28,32,rhythm+harm
32,36,rhythm+harm
36,64,rhythm+harm
64,68,rhythm
68,100,rhythm+harm
100,131,mel
131,172,rhythm
172,196,rhythm+harm
196,212,rhythm
212,236,rhythm
236,244,rhythm
244,252,rhythm
260,332,harm
332,364,rhythm+harm
364,396,rhythm+harm
396,412,rhythm
412,420,rhythm
420,436,mel
444,452,rhythm
452,468,rhythm
468,484,harm
486,494,mel
508,520,mel+rhythm
520,540,rhythm+harm
540,552,mel+rhythm
552,572,rhythm+harm
572,576,rhythm
580,584,rhythm
588,592,rhythm
596,600,rhythm
604,605,rhythm+harm
608,613,mel
612,700,mel+rhythm
700,708,rhythm+harm
708,724,mel+rhythm
724,732,rhythm+harm
732,756,mel+rhythm
756,772,rhythm
772,780,rhythm+harm
780,788,rhythm+harm
788,796,rhythm
796,836,rhythm
836,852,rhythm+harm
860,868,rhythm
876,904,harm
904,968,harm
968,1000,rhythm+harm
1000,1008,harm
1008,1016,rhythm
1016,1024,harm
1024,1032,rhythm
1032,1048,harm
1048,1064,rhythm+harm
1096,1020,harm
1120,1152,mel+rhythm
1152,1176,harm
1176,1184,rhythm+harm
1184,1192,mel+rhythm
1192,1216,rhythm+harm
1216,1224,harm
1224,1248,rhythm+harm
1271,1273,rhythm
1296,1304,mel+rhythm
1304,1312,mel
1312,1320,rhythm+harm
1320,1328,harm
1328,1344,mel
1344,1356,mel+rhythm
1356,1373,mel+rhythm
1376,1389,rhythm+harm
