onset,offset,role
0,12,mel
12,20,mel+rhythm
20,28,mel+harm
28,32,rhythm+harm
32,36,rhythm
36,64,rhythm+harm
64,68,rhythm
68,96,rhythm+harm
96,100,rhythm
100,131,mel
131,164,rhythm+harm
164,172,rhythm
172,196,rhythm+harm
196,212,rhythm
212,228,rhythm+harm
228,236,harm
236,244,rhythm
256,260,rhythm+harm
260,272,rhythm+harm
278,284,mel
294,300,mel
308,314,mel
324,332,mel
332,356,mel
356,364,mel
364,396,rhythm
396,412,rhythm
412,420,rhythm
420,436,mel
444,452,mel+rhythm
452,468,mel+rhythm
468,484,harm
494,501,mel
508,520,mel+rhythm
520,540,rhythm+harm
540,552,mel+rhythm
552,572,rhythm+harm
572,576,mel
580,584,mel
588,592,mel
596,600,mel
604,605,rhythm+harm
608,613,mel
613,630,harm
631,634,rhythm
636,654,harm
655,658,rhythm
660,684,harm
684,700,rhythm
700,708,rhythm+harm
708,724,rhythm
724,732,rhythm+harm
732,756,mel
756,772,mel
772,780,rhythm
780,788,rhythm+harm
788,796,rhythm
796,836,rhythm
836,852,rhythm+harm
868,876,rhythm
876,904,harm
904,919,harm
919,965,mel
968,1000,mel
1000,1032,rhythm+harm
1032,1048,harm
1048,1060,rhythm+harm
1062,1081,harm
1096,1112,mel
1112,1020,harm
1120,1152,mel+rhythm
1152,1176,harm
1184,1192,rhythm
1192,1216,rhythm+harm
1216,1249,rhythm
1275,1277,rhythm
1302,1304,mel+rhythm
1304,1312,mel
1312,1320,rhythm+harm
1320,1328,harm
1328,1344,mel
1344,1356,mel+rhythm
1356,1373,mel+rhythm
1376,1389,rhythm
