onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
29.0,30.0,87,D#6,1.0,0,8,2.0,flute1
30.0,31.0,87,D#6,1.0,0,8,3.0,flute1
31.0,32.0,87,D#6,1.0,0,8,4.0,flute1
32.0,36.0,87,D#6,4.0,0,9,1.0,flute1
36.0,37.0,88,E6,1.0,0,10,1.0,flute1
40.0,41.0,84,C6,1.0,0,11,1.0,flute1
44.0,45.0,83,B5,1.0,0,12,1.0,flute1
46.0,47.0,83,B5,1.0,0,12,3.0,flute1
48.0,49.0,83,B5,1.0,0,13,1.0,flute1
52.0,53.0,83,B5,1.0,0,14,1.0,flute1
56.0,57.0,84,C6,1.0,0,15,1.0,flute1
60.0,61.0,83,B5,1.0,0,16,1.0,flute1
62.0,63.0,87,D#6,1.0,0,16,3.0,flute1
64.0,66.5,88,E6,2.5,0,17,1.0,flute1
68.0,69.0,88,E6,1.0,0,18,1.0,flute1
72.0,73.0,88,E6,1.0,0,19,1.0,flute1
76.0,77.0,83,B5,1.0,0,20,1.0,flute1
78.0,79.0,83,B5,1.0,0,20,3.0,flute1
80.0,81.0,83,B5,1.0,0,21,1.0,flute1
84.0,85.0,88,E6,1.0,0,22,1.0,flute1
88.0,89.0,88,E6,1.0,0,23,1.0,flute1
92.0,93.0,83,B5,1.0,0,24,1.0,flute1
94.0,95.0,87,D#6,1.0,0,24,3.0,flute1
96.0,98.5,88,E6,2.5,0,25,1.0,flute1
131.0,132.0,83,B5,1.0,0,33,4.0,flute1
132.0,134.0,88,E6,2.0,0,34,1.0,flute1
134.0,135.0,90,F#6,1.0,0,34,3.0,flute1
135.0,136.0,91,G6,1.0,0,34,4.0,flute1
136.0,137.5,90,F#6,1.5,0,35,1.0,flute1
137.5,138.0,88,E6,0.5,0,35,2.5,flute1
138.0,140.0,88,E6,2.0,0,35,3.0,flute1
140.0,142.0,88,E6,2.0,0,36,1.0,flute1
142.0,143.0,86,D6,1.0,0,36,3.0,flute1
143.0,143.5,83,B5,0.5,0,36,4.0,flute1
143.5,144.0,86,D6,0.5,0,36,4.5,flute1
144.0,147.0,88,E6,3.0,0,37,1.0,flute1
147.0,148.0,88,E6,1.0,0,37,4.0,flute1
148.0,150.0,88,E6,2.0,0,38,1.0,flute1
150.0,151.0,90,F#6,1.0,0,38,3.0,flute1
151.0,152.0,91,G6,1.0,0,38,4.0,flute1
152.0,154.0,88,E6,2.0,0,39,1.0,flute1
154.0,156.0,88,E6,2.0,0,39,3.0,flute1
156.0,158.0,84,C6,2.0,0,40,1.0,flute1
158.0,159.0,90,F#6,1.0,0,40,3.0,flute1
159.0,160.0,86,D6,1.0,0,40,4.0,flute1
160.0,162.0,84,C6,2.0,0,41,1.0,flute1
162.0,163.0,84,C6,1.0,0,41,3.0,flute1
162.0,163.0,90,F#6,1.0,0,41,3.0,flute1
163.0,164.0,83,B5,1.0,0,41,4.0,flute1
163.0,164.0,87,D#6,1.0,0,41,4.0,flute1
164.0,165.0,84,C6,1.0,0,42,1.0,flute1
165.0,165.5,90,F#6,0.5,0,42,2.0,flute1
165.5,166.0,87,D#6,0.5,0,42,2.5,flute1
166.0,167.0,84,C6,1.0,0,42,3.0,flute1
167.0,167.5,90,F#6,0.5,0,42,4.0,flute1
167.5,168.0,87,D#6,0.5,0,42,4.5,flute1
168.0,169.0,84,C6,1.0,0,43,1.0,flute1
169.0,169.5,90,F#6,0.5,0,43,2.0,flute1
169.5,170.0,87,D#6,0.5,0,43,2.5,flute1
170.0,170.5,90,F#6,0.5,0,43,3.0,flute1
170.5,171.0,87,D#6,0.5,0,43,3.5,flute1
171.0,171.5,90,F#6,0.5,0,43,4.0,flute1
171.5,172.0,87,D#6,0.5,0,43,4.5,flute1
172.0,172.5,88,E6,0.5,0,44,1.0,flute1
173.0,173.5,86,D6,0.5,0,44,2.0,flute1
174.0,174.5,88,E6,0.5,0,44,3.0,flute1
175.0,175.5,86,D6,0.5,0,44,4.0,flute1
176.0,176.5,88,E6,0.5,0,45,1.0,flute1
177.0,177.5,86,D6,0.5,0,45,2.0,flute1
178.0,178.5,86,D6,0.5,0,45,3.0,flute1
179.0,179.5,81,A5,0.5,0,45,4.0,flute1
180.0,180.5,81,A5,0.5,0,46,1.0,flute1
181.0,181.5,86,D6,0.5,0,46,2.0,flute1
182.0,182.5,86,D6,0.5,0,46,3.0,flute1
184.0,184.5,88,E6,0.5,0,47,1.0,flute1
185.0,185.5,86,D6,0.5,0,47,2.0,flute1
186.0,186.5,88,E6,0.5,0,47,3.0,flute1
187.0,187.5,86,D6,0.5,0,47,4.0,flute1
188.0,188.5,88,E6,0.5,0,48,1.0,flute1
189.0,189.5,86,D6,0.5,0,48,2.0,flute1
190.0,190.5,86,D6,0.5,0,48,3.0,flute1
191.0,191.5,81,A5,0.5,0,48,4.0,flute1
192.0,192.5,88,E6,0.5,0,49,1.0,flute1
193.0,193.5,87,D#6,0.5,0,49,2.0,flute1
194.0,194.5,88,E6,0.5,0,49,3.0,flute1
196.0,196.33333333333331,83,B5,0.3333333333333333,0,50,1.0,flute1
196.33333333333331,196.66666666666669,84,C6,0.3333333333333333,0,50,1.3333333333333333,flute1
196.66666666666663,197.0,86,D6,0.3333333333333333,0,50,1.6666666666666667,flute1
