onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
29.0,30.0,87,D#6,1.0,0,8,2.0,flute2
30.0,31.0,87,D#6,1.0,0,8,3.0,flute2
31.0,32.0,87,D#6,1.0,0,8,4.0,flute2
32.0,36.0,87,D#6,4.0,0,9,1.0,flute2
36.0,37.0,88,E6,1.0,0,10,1.0,flute2
40.0,41.0,84,C6,1.0,0,11,1.0,flute2
44.0,45.0,83,B5,1.0,0,12,1.0,flute2
46.0,47.0,83,B5,1.0,0,12,3.0,flute2
48.0,49.0,83,B5,1.0,0,13,1.0,flute2
52.0,53.0,83,B5,1.0,0,14,1.0,flute2
56.0,57.0,84,C6,1.0,0,15,1.0,flute2
60.0,61.0,83,B5,1.0,0,16,1.0,flute2
62.0,63.0,83,B5,1.0,0,16,3.0,flute2
64.0,66.5,83,B5,2.5,0,17,1.0,flute2
68.0,69.0,88,E6,1.0,0,18,1.0,flute2
72.0,73.0,84,C6,1.0,0,19,1.0,flute2
76.0,77.0,83,B5,1.0,0,20,1.0,flute2
78.0,79.0,83,B5,1.0,0,20,3.0,flute2
80.0,81.0,83,B5,1.0,0,21,1.0,flute2
84.0,85.0,88,E6,1.0,0,22,1.0,flute2
88.0,89.0,84,C6,1.0,0,23,1.0,flute2
92.0,93.0,83,B5,1.0,0,24,1.0,flute2
94.0,95.0,83,B5,1.0,0,24,3.0,flute2
96.0,98.5,83,B5,2.5,0,25,1.0,flute2
131.0,132.0,83,B5,1.0,0,33,4.0,flute2
132.0,134.0,88,E6,2.0,0,34,1.0,flute2
134.0,135.0,90,F#6,1.0,0,34,3.0,flute2
135.0,136.0,91,G6,1.0,0,34,4.0,flute2
136.0,137.5,90,F#6,1.5,0,35,1.0,flute2
137.5,138.0,88,E6,0.5,0,35,2.5,flute2
138.0,140.0,88,E6,2.0,0,35,3.0,flute2
140.0,142.0,88,E6,2.0,0,36,1.0,flute2
142.0,143.0,86,D6,1.0,0,36,3.0,flute2
143.0,143.5,83,B5,0.5,0,36,4.0,flute2
143.5,144.0,86,D6,0.5,0,36,4.5,flute2
144.0,147.0,88,E6,3.0,0,37,1.0,flute2
147.0,148.0,88,E6,1.0,0,37,4.0,flute2
148.0,150.0,88,E6,2.0,0,38,1.0,flute2
150.0,151.0,90,F#6,1.0,0,38,3.0,flute2
151.0,152.0,91,G6,1.0,0,38,4.0,flute2
152.0,153.5,93,A6,1.5,0,39,1.0,flute2
153.5,153.75,91,G6,0.25,0,39,2.5,flute2
153.75,154.0,93,A6,0.25,0,39,2.75,flute2
154.0,156.0,95,B6,2.0,0,39,3.0,flute2
156.0,156.25,91,G6,0.25,0,40,1.0,flute2
156.25,156.5,90,F#6,0.25,0,40,1.25,flute2
156.5,157.0,88,E6,0.5,0,40,1.5,flute2
157.0,158.0,84,C6,1.0,0,40,2.0,flute2
158.0,159.0,84,C6,1.0,0,40,3.0,flute2
159.0,160.0,83,B5,1.0,0,40,4.0,flute2
160.0,160.25,91,G6,0.25,0,41,1.0,flute2
160.25,160.5,90,F#6,0.25,0,41,1.25,flute2
160.5,161.0,88,E6,0.5,0,41,1.5,flute2
161.0,162.0,84,C6,1.0,0,41,2.0,flute2
162.0,163.0,84,C6,1.0,0,41,3.0,flute2
163.0,164.0,83,B5,1.0,0,41,4.0,flute2
164.0,164.25,91,G6,0.25,0,42,1.0,flute2
164.25,164.5,90,F#6,0.25,0,42,1.25,flute2
164.5,165.0,88,E6,0.5,0,42,1.5,flute2
165.0,165.5,84,C6,0.5,0,42,2.0,flute2
165.5,166.0,83,B5,0.5,0,42,2.5,flute2
166.0,166.25,91,G6,0.25,0,42,3.0,flute2
166.25,166.5,90,F#6,0.25,0,42,3.25,flute2
166.5,167.0,88,E6,0.5,0,42,3.5,flute2
167.0,167.5,84,C6,0.5,0,42,4.0,flute2
167.5,168.0,83,B5,0.5,0,42,4.5,flute2
168.0,168.25,91,G6,0.25,0,43,1.0,flute2
168.25,168.5,90,F#6,0.25,0,43,1.25,flute2
168.5,169.0,88,E6,0.5,0,43,1.5,flute2
169.0,169.5,84,C6,0.5,0,43,2.0,flute2
169.5,170.0,83,B5,0.5,0,43,2.5,flute2
170.0,170.5,84,C6,0.5,0,43,3.0,flute2
170.5,171.0,83,B5,0.5,0,43,3.5,flute2
171.0,171.5,84,C6,0.5,0,43,4.0,flute2
171.5,172.0,83,B5,0.5,0,43,4.5,flute2
172.0,172.5,83,B5,0.5,0,44,1.0,flute2
173.0,173.5,79,G5,0.5,0,44,2.0,flute2
174.0,174.5,83,B5,0.5,0,44,3.0,flute2
175.0,175.5,79,G5,0.5,0,44,4.0,flute2
176.0,176.5,83,B5,0.5,0,45,1.0,flute2
177.0,177.5,81,A5,0.5,0,45,2.0,flute2
178.0,178.5,83,B5,0.5,0,45,3.0,flute2
179.0,179.5,81,A5,0.5,0,45,4.0,flute2
180.0,180.5,81,A5,0.5,0,46,1.0,flute2
181.0,181.5,86,D6,0.5,0,46,2.0,flute2
182.0,182.5,86,D6,0.5,0,46,3.0,flute2
184.0,184.5,83,B5,0.5,0,47,1.0,flute2
185.0,185.5,79,G5,0.5,0,47,2.0,flute2
186.0,186.5,83,B5,0.5,0,47,3.0,flute2
187.0,187.5,79,G5,0.5,0,47,4.0,flute2
188.0,188.5,83,B5,0.5,0,48,1.0,flute2
189.0,189.5,81,A5,0.5,0,48,2.0,flute2
190.0,190.5,83,B5,0.5,0,48,3.0,flute2
191.0,191.5,81,A5,0.5,0,48,4.0,flute2
192.0,192.5,88,E6,0.5,0,49,1.0,flute2
193.0,193.5,87,D#6,0.5,0,49,2.0,flute2
194.0,194.5,88,E6,0.5,0,49,3.0,flute2
196.0,196.33333333333334,83,B5,1/3,0,50,1.0,flute2
589/3,590/3,84,C6,1/3,0,50,4/3,flute2
590/3,197,86,D6,1/3,0,50,5/3,flute2
197.0,197.33333333333334,84,C6,1/3,0,50,2.0,flute2
592/3,593/3,79,G5,1/3,0,50,7/3,flute2
593/3,198,84,C6,1/3,0,50,8/3,flute2
198.0,198.33333333333334,83,B5,1/3,0,50,3.0,flute2
595/3,596/3,84,C6,1/3,0,50,10/3,flute2
596/3,199,83,B5,1/3,0,50,11/3,flute2
199.0,199.33333333333334,81,A5,1/3,0,50,4.0,flute2
598/3,599/3,79,G5,1/3,0,50,13/3,flute2
599/3,200,81,A5,1/3,0,50,14/3,flute2
