onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
32.0,36.0,59,B3,4.0,0,9,1.0,timpani
36.0,37.0,52,E3,1.0,0,10,1.0,timpani
40.0,41.0,52,E3,1.0,0,11,1.0,timpani
44.0,45.0,52,E3,1.0,0,12,1.0,timpani
46.0,47.0,59,B3,1.0,0,12,3.0,timpani
48.0,49.0,52,E3,1.0,0,13,1.0,timpani
52.0,53.0,52,E3,1.0,0,14,1.0,timpani
56.0,57.0,52,E3,1.0,0,15,1.0,timpani
60.0,61.0,52,E3,1.0,0,16,1.0,timpani
62.0,63.0,59,B3,1.0,0,16,3.0,timpani
64.0,66.0,52,E3,2.0,0,17,1.0,timpani
66.0,66.5,52,E3,0.5,0,17,3.0,timpani
68.0,69.0,52,E3,1.0,0,18,1.0,timpani
72.0,73.0,52,E3,1.0,0,19,1.0,timpani
76.0,77.0,52,E3,1.0,0,20,1.0,timpani
77.5,78.0,52,E3,0.5,0,20,2.5,timpani
78.0,79.0,59,B3,1.0,0,20,3.0,timpani
79.5,80.0,59,B3,0.5,0,20,4.5,timpani
80.0,81.0,52,E3,1.0,0,21,1.0,timpani
84.0,85.0,52,E3,1.0,0,22,1.0,timpani
88.0,89.0,52,E3,1.0,0,23,1.0,timpani
92.0,93.0,52,E3,1.0,0,24,1.0,timpani
93.5,94.0,52,E3,0.5,0,24,2.5,timpani
94.0,95.0,59,B3,1.0,0,24,3.0,timpani
95.5,96.0,59,B3,0.5,0,24,4.5,timpani
96.0,98.0,52,E3,2.0,0,25,1.0,timpani
98.0,98.5,52,E3,0.5,0,25,3.0,timpani
132.0,132.0,52,E3,0.0,0,34,1.0,timpani
132.0,133.0,52,E3,1.0,0,34,1.0,timpani
136.0,136.0,52,E3,0.0,0,35,1.0,timpani
136.0,137.0,52,E3,1.0,0,35,1.0,timpani
140.0,141.0,52,E3,1.0,0,36,1.0,timpani
142.0,143.0,59,B3,1.0,0,36,3.0,timpani
144.0,144.0,52,E3,0.0,0,37,1.0,timpani
144.0,145.0,52,E3,1.0,0,37,1.0,timpani
148.0,148.0,52,E3,0.0,0,38,1.0,timpani
148.0,149.0,52,E3,1.0,0,38,1.0,timpani
152.0,152.0,52,E3,0.0,0,39,1.0,timpani
152.0,153.0,52,E3,1.0,0,39,1.0,timpani
154.0,154.0,52,E3,0.0,0,39,3.0,timpani
154.0,155.0,52,E3,1.0,0,39,3.0,timpani
156.0,157.0,52,E3,1.0,0,40,1.0,timpani
158.0,159.0,52,E3,1.0,0,40,3.0,timpani
159.0,160.0,59,B3,1.0,0,40,4.0,timpani
160.0,161.0,52,E3,1.0,0,41,1.0,timpani
162.0,163.0,52,E3,1.0,0,41,3.0,timpani
163.0,164.0,59,B3,1.0,0,41,4.0,timpani
164.0,165.0,52,E3,1.0,0,42,1.0,timpani
165.0,165.5,52,E3,0.5,0,42,2.0,timpani
165.5,166.0,59,B3,0.5,0,42,2.5,timpani
166.0,167.0,52,E3,1.0,0,42,3.0,timpani
167.0,167.5,52,E3,0.5,0,42,4.0,timpani
167.5,168.0,59,B3,0.5,0,42,4.5,timpani
168.0,169.0,52,E3,1.0,0,43,1.0,timpani
169.0,169.5,52,E3,0.5,0,43,2.0,timpani
169.5,170.0,59,B3,0.5,0,43,2.5,timpani
170.0,170.5,52,E3,0.5,0,43,3.0,timpani
170.5,171.0,59,B3,0.5,0,43,3.5,timpani
171.0,171.5,52,E3,0.5,0,43,4.0,timpani
171.5,172.0,59,B3,0.5,0,43,4.5,timpani
172.0,172.5,52,E3,0.5,0,44,1.0,timpani
173.0,173.5,59,B3,0.5,0,44,2.0,timpani
174.0,174.5,52,E3,0.5,0,44,3.0,timpani
175.0,175.5,59,B3,0.5,0,44,4.0,timpani
176.0,176.5,52,E3,0.5,0,45,1.0,timpani
184.0,185.0,52,E3,1.0,0,47,1.0,timpani
185.0,186.0,59,B3,1.0,0,47,2.0,timpani
186.0,187.0,52,E3,1.0,0,47,3.0,timpani
187.0,188.0,59,B3,1.0,0,47,4.0,timpani
188.0,189.0,52,E3,1.0,0,48,1.0,timpani
191.0,192.0,52,E3,1.0,0,48,4.0,timpani
192.0,193.0,59,B3,1.0,0,49,1.0,timpani
193.0,194.0,59,B3,1.0,0,49,2.0,timpani
194.0,195.0,52,E3,1.0,0,49,3.0,timpani
196.0,197.0,59,B3,1.0,0,50,1.0,timpani
200.0,201.0,59,B3,1.0,0,51,1.0,timpani
204.0,205.0,59,B3,1.0,0,52,1.0,timpani
208.0,209.0,59,B3,1.0,0,53,1.0,timpani
212.0,213.0,52,E3,1.0,0,54,1.0,timpani
213.0,214.0,59,B3,1.0,0,54,2.0,timpani
214.0,215.0,52,E3,1.0,0,54,3.0,timpani
215.0,216.0,59,B3,1.0,0,54,4.0,timpani
216.0,217.0,52,E3,1.0,0,55,1.0,timpani
224.0,225.0,52,E3,1.0,0,57,1.0,timpani
225.0,226.0,59,B3,1.0,0,57,2.0,timpani
226.0,227.0,52,E3,1.0,0,57,3.0,timpani
227.0,228.0,59,B3,1.0,0,57,4.0,timpani
228.0,229.0,52,E3,1.0,0,58,1.0,timpani
232.0,233.0,59,B3,1.0,0,59,1.0,timpani
236.0,236.5,52,E3,0.5,0,60,1.0,timpani
237.0,238.0,52,E3,1.0,0,60,2.0,timpani
239.0,240.0,52,E3,1.0,0,60,4.0,timpani
241.0,242.0,52,E3,1.0,0,61,2.0,timpani
243.0,244.0,52,E3,1.0,0,61,4.0,timpani
269.0,269.5,50,D3,0.5,0,68,2.0,timpani
269.5,270.0,50,D3,0.5,0,68,2.5,timpani
285.0,285.5,50,D3,0.5,0,72,2.0,timpani
285.5,286.0,50,D3,0.5,0,72,2.5,timpani
360.0,364.0,50,D3,4.0,0,91,1.0,timpani
364.0,364.5,55,G3,0.5,0,92,1.0,timpani
364.5,365.0,55,G3,0.5,0,92,1.5,timpani
365.0,365.5,55,G3,0.5,0,92,2.0,timpani
365.5,366.0,55,G3,0.5,0,92,2.5,timpani
366.0,367.0,55,G3,1.0,0,92,3.0,timpani
368.0,368.5,55,G3,0.5,0,93,1.0,timpani
368.5,369.0,55,G3,0.5,0,93,1.5,timpani
369.0,369.5,55,G3,0.5,0,93,2.0,timpani
369.5,370.0,55,G3,0.5,0,93,2.5,timpani
370.0,371.0,55,G3,1.0,0,93,3.0,timpani
372.0,372.5,55,G3,0.5,0,94,1.0,timpani
372.5,373.0,55,G3,0.5,0,94,1.5,timpani
373.0,373.5,55,G3,0.5,0,94,2.0,timpani
373.5,374.0,55,G3,0.5,0,94,2.5,timpani
374.0,375.0,55,G3,1.0,0,94,3.0,timpani
376.0,376.5,55,G3,0.5,0,95,1.0,timpani
376.5,377.0,55,G3,0.5,0,95,1.5,timpani
377.0,377.5,55,G3,0.5,0,95,2.0,timpani
377.5,378.0,55,G3,0.5,0,95,2.5,timpani
378.0,379.0,55,G3,1.0,0,95,3.0,timpani
380.0,380.5,55,G3,0.5,0,96,1.0,timpani
380.5,381.0,55,G3,0.5,0,96,1.5,timpani
381.0,381.5,55,G3,0.5,0,96,2.0,timpani
381.5,382.0,55,G3,0.5,0,96,2.5,timpani
382.0,383.0,55,G3,1.0,0,96,3.0,timpani
